
[00:00:00.000 --> 00:00:02.000]  每次回來敬拜
[00:00:02.000 --> 00:00:05.760]  中日的回來了大概兩個月
[00:00:05.760 --> 00:00:09.440]  我不知道你對於回來敬拜有什麼體會和感受
[00:00:09.440 --> 00:00:12.800]  我覺得每次回來敬拜的時候
[00:00:12.800 --> 00:00:17.360]  其實都幫我們看見原來我們信的主是什麼主
[00:00:17.360 --> 00:00:19.480]  原來今天透過敬拜
[00:00:19.480 --> 00:00:24.240]  我們知道原來信神是一個跟我們同在的主
[00:00:24.240 --> 00:00:27.720]  所以鼓勵大家每個星期回來唱詩歌的時候
[00:00:27.720 --> 00:00:29.480]  不要只唱歌詞
[00:00:29.480 --> 00:00:32.280]  都想想歌詞跟我們有什麼關係
[00:00:32.280 --> 00:00:37.120]  同樣鼓勵大家聽到都想想今天跟我們有什麼關係
[00:00:37.120 --> 00:00:39.680]  今天很想跟大家分享一個題目
[00:00:39.680 --> 00:00:41.880]  叫《神在場》掌管的證明
[00:00:41.880 --> 00:00:44.440]  在進入經文之前我想問大家一個問題
[00:00:44.440 --> 00:00:45.880]  問大家一個什麼問題呢?
[00:00:45.880 --> 00:00:48.120]  不知道你們認不認同這句話
[00:00:48.120 --> 00:00:52.720]  基督徒是一群要展現神同在的群體
[00:00:52.720 --> 00:00:55.680]  我不知道你們認不認同這句話
[00:00:55.680 --> 00:01:02.000]  我猜這幾年我們經常都會說神同在、神掌管這些主題
[00:01:02.000 --> 00:01:04.480]  因為我們經歷很多環境的轉變
[00:01:04.480 --> 00:01:08.640]  我們經常透過講道、祈禱、不同的範疇
[00:01:08.640 --> 00:01:15.200]  都會提醒我們要去找這兩個是我們所相信的信仰之一
[00:01:15.200 --> 00:01:18.520]  不過當我們回到實際的場景的時候
[00:01:18.520 --> 00:01:22.040]  可能我們有時候又會經歷另一個圖畫
[00:01:22.040 --> 00:01:25.800]  好像當我們面對生活的struggle的時候
[00:01:25.800 --> 00:01:28.000]  面對很大壓力的時候
[00:01:28.000 --> 00:01:30.520]  可能我不知道這是否你的寫字
[00:01:30.520 --> 00:01:31.880]  可能你有感覺就是
[00:01:31.880 --> 00:01:34.720]  糟了,神你在哪裡?
[00:01:34.720 --> 00:01:36.960]  好像你不在這裡
[00:01:36.960 --> 00:01:39.080]  為什麼好像神你不工作?
[00:01:39.080 --> 00:01:41.080]  好像我只可以靠自己
[00:01:41.080 --> 00:01:44.280]  今天很想跟大家分享一段經文
[00:01:44.280 --> 00:01:45.480]  分享《但義》
[00:01:45.480 --> 00:01:47.960]  上個月跟大家已經分享過
