
[00:00:00.000 --> 00:00:03.000]  今晚我給他一個主題
[00:00:03.000 --> 00:00:04.720]  有一個PowerPoint
[00:00:04.720 --> 00:00:07.480]  如果你有看報告就知道
[00:00:07.480 --> 00:00:11.560]  那個題目叫「露營必須走」
[00:00:11.560 --> 00:00:13.880]  我不知道大家知道這是甚麼
[00:00:13.880 --> 00:00:14.680]  如果你知道的話
[00:00:14.680 --> 00:00:18.080]  恭喜你,你跟我是同一個年代的人
[00:00:18.080 --> 00:00:21.400]  現在潮流流行復古
[00:00:21.400 --> 00:00:25.760]  大家最近很流行玩爆旋陀螺
[00:00:25.760 --> 00:00:27.240]  很厲害
[00:00:27.240 --> 00:00:29.320]  我不知道今晚我弟弟是否回崇拜
[00:00:29.400 --> 00:00:30.360]  我想揭穿他
[00:00:30.360 --> 00:00:32.400]  因為我弟弟現在很迷戀玩爆旋陀螺
[00:00:32.400 --> 00:00:33.920]  他買了一個很大的盒
[00:00:33.920 --> 00:00:36.240]  一個盒裡放了十多個爆旋陀螺
[00:00:36.240 --> 00:00:40.960]  今天同樣很想回到復古
[00:00:40.960 --> 00:00:42.520]  我跟大家說說
[00:00:42.520 --> 00:00:46.520]  我兒時看的一個動漫
[00:00:46.520 --> 00:00:49.640]  叫「數碼暴龍」
[00:00:49.640 --> 00:00:51.760]  不知道大家有否看過
[00:00:51.760 --> 00:00:53.600]  如果你沒看過不要緊
[00:00:53.600 --> 00:00:55.640]  略略跟大家說說
[00:00:55.640 --> 00:00:58.640]  當年我看「數碼暴龍」時
[00:00:58.720 --> 00:01:00.240]  內容是甚麼
[00:01:00.240 --> 00:01:05.080]  故事是關於一群被揀選的小孩
[00:01:05.080 --> 00:01:08.680]  有一天,他們突然有數碼精靈
[00:01:08.680 --> 00:01:10.440]  成為了他們的夥伴
[00:01:10.440 --> 00:01:12.000]  他們有一個任務
[00:01:12.000 --> 00:01:18.800]  就是要對抗數碼世界裡的壞數碼暴龍
[00:01:18.800 --> 00:01:22.720]  而這個動漫
[00:01:22.720 --> 00:01:26.800]  其實冒險、團隊、成長、對抗邪惡
[00:01:26.880 --> 00:01:29.520]  都是數碼暴龍很核心的精神
[00:01:29.520 --> 00:01:33.520]  今晚我想跟大家探討成長這個課題
[00:01:33.520 --> 00:01:36.480]  我看這套動漫的時候
[00:01:36.480 --> 00:01:39.200]  我會想起一群小孩
[00:01:39.200 --> 00:01:41.200]  在環境的催逼下
[00:01:41.200 --> 00:01:45.360]  他們要成長、打怪獸、守護地球
[00:01:45.360 --> 00:01:47.040]  我小時候看的時候
[00:01:47.040 --> 00:01:49.400]  覺得這套動漫很熱血
[00:01:49.400 --> 00:01:51.120]  有一刻我想起
[00:01:51.120 --> 00:01:54.680]  原來成長是一件這麼熱血的事
[00:01:54.760 --> 00:01:58.520]  原來跟一群朋友一起打怪獸、一起成長
[00:01:58.520 --> 00:02:00.720]  原來是這麼美好的
[00:02:00.720 --> 00:02:03.640]  不過,現實中
[00:02:03.640 --> 00:02:06.680]  成長是否真的這麼熱血呢
[00:02:06.680 --> 00:02:08.520]  當我們想起成長
[00:02:08.520 --> 00:02:10.080]  我不知道我們會想起甚麼
[00:02:10.080 --> 00:02:12.600]  可能我們會想起
[00:02:12.600 --> 00:02:14.000]  到了某個階段
[00:02:14.000 --> 00:02:16.280]  就有很多不同的角色責任
[00:02:16.280 --> 00:02:19.040]  小時候,父母要教我們
[00:02:19.040 --> 00:02:20.440]  或者我也在教我的女兒
[00:02:20.440 --> 00:02:23.080]  怎樣去禮貌待人
[00:02:23.160 --> 00:02:27.280]  長大後,我們要學會怎樣去待人處事
[00:02:27.280 --> 00:02:28.560]  當我們成長的時候
[00:02:28.560 --> 00:02:30.640]  我們讀書時會想
[00:02:30.640 --> 00:02:32.800]  怎樣去努力做一個好學生
[00:02:32.800 --> 00:02:36.960]  年紀到了你們或我這個年紀
[00:02:36.960 --> 00:02:41.160]  就好像要去努力成為一個成熟的人
[00:02:41.160 --> 00:02:44.880]  當我們多了一些角色和身分的時候
[00:02:44.880 --> 00:02:47.600]  好像我們也要去成長
[00:02:47.600 --> 00:02:48.520]  到了一個地步
[00:02:48.520 --> 00:02:50.960]  要去滿足角色和責任
[00:02:51.040 --> 00:02:54.840]  即是角色裡所要履行的一些責任
[00:02:54.840 --> 00:02:57.640]  同樣,當這個世界定義成長
[00:02:57.640 --> 00:02:59.760]  會帶給我們甚麼呢
[00:02:59.760 --> 00:03:02.800]  可能我們要不斷地考取好的成績
[00:03:02.800 --> 00:03:05.160]  在工作上,我們要不斷地努力
[00:03:05.160 --> 00:03:06.640]  不斷地上升
[00:03:06.640 --> 00:03:10.920]  彷彿成長有時也會很累
[00:03:10.920 --> 00:03:12.480]  難怪我想這個年代
[00:03:12.480 --> 00:03:13.880]  經常有些人會說
[00:03:13.880 --> 00:03:15.720]  「真的沒甚麼力氣」
[00:03:15.720 --> 00:03:18.880]  「不如我們選擇躺平吧」
[00:03:18.960 --> 00:03:23.920]  我覺得環境和時間好像都很催迫人成長
[00:03:23.920 --> 00:03:25.320]  甚至我會想
[00:03:25.320 --> 00:03:27.840]  當我們回到教會
[00:03:27.840 --> 00:03:29.480]  在信仰裡
[00:03:29.480 --> 00:03:30.680]  可能我們也會想
[00:03:30.680 --> 00:03:33.160]  好像經常要做些甚麼
[00:03:33.160 --> 00:03:35.680]  當我們說要讀經、靈修、祈禱
[00:03:35.680 --> 00:03:37.920]  教會要有門徒的成長路
[00:03:37.920 --> 00:03:39.920]  有很大一條路要走
[00:03:39.920 --> 00:03:41.600]  好像有很多事情要面對
[00:03:41.600 --> 00:03:44.880]  很不容易,甚至好像很麻煩
[00:03:44.880 --> 00:03:47.080]  露營必須走
[00:03:47.160 --> 00:03:50.600]  我會想,人生好像仍然要這樣走
