
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹,早安
[00:00:02.000 --> 00:00:06.000]  今天是父親節的主日
[00:00:06.000 --> 00:00:09.000]  很感恩與大家分享神的說話
[00:00:09.000 --> 00:00:14.000]  早前,不知道大家有沒有留意一宗新聞
[00:00:14.000 --> 00:00:17.000]  又是關於粉嶺皇后山王
[00:00:17.000 --> 00:00:21.000]  有一個低層單位住了一對夫婦
[00:00:21.000 --> 00:00:25.000]  有兩個年幼的兒子
[00:00:25.000 --> 00:00:29.000]  分別有五歲和三歲
[00:00:29.000 --> 00:00:31.000]  話說這兩位小兄弟
[00:00:31.000 --> 00:00:33.000]  有一天早上
[00:00:33.000 --> 00:00:36.000]  有途人發現這兩位小兄弟
[00:00:36.000 --> 00:00:41.000]  坐在家中的外牆的石壆內
[00:00:41.000 --> 00:00:43.000]  不知道大家有沒有留意一宗新聞
[00:00:43.000 --> 00:00:46.000]  當時我看完這宗新聞的時候
[00:00:46.000 --> 00:00:49.000]  我自己也有些很驚嚇的地方
[00:00:49.000 --> 00:00:52.000]  於是途人見到這樣的情況
[00:00:52.000 --> 00:00:54.000]  當然是去報警
[00:00:54.000 --> 00:00:55.000]  很感恩
[00:00:55.000 --> 00:01:04.000]  當時警方和消防員都成功地把兩位小朋友救出來
[00:01:04.000 --> 00:01:06.000]  進入家中
[00:01:06.000 --> 00:01:11.000]  兩位小朋友也沒有任何受傷的地方
[00:01:11.000 --> 00:01:14.000]  據報道這對小兄弟
[00:01:14.000 --> 00:01:16.000]  在前一晚因為鬧彆扭
[00:01:16.000 --> 00:01:21.000]  令家人到凌晨時分才有機會睡覺
[00:01:21.000 --> 00:01:26.000]  原來當時他的父母還在睡覺的時候
[00:01:26.000 --> 00:01:28.000]  這位五歲的哥哥
[00:01:28.000 --> 00:01:32.000]  拿了家中的鎖匙打開了窗花
[00:01:32.000 --> 00:01:35.000]  於是帶同三歲的弟弟
[00:01:35.000 --> 00:01:39.000]  爬出窗花外邊的外牆
[00:01:39.000 --> 00:01:41.000]  一個坐在下面
[00:01:41.000 --> 00:01:43.000]  一個坐在上面
[00:01:43.000 --> 00:01:47.000]  直至當時的父母很大聲聽到很嘈吵
[00:01:47.000 --> 00:01:49.000]  然後醒了
[00:01:49.000 --> 00:01:52.000]  才知道發生了這麼大的事
[00:01:52.000 --> 00:01:55.000]  當時警方經過調查後
[00:01:55.000 --> 00:02:00.000]  也去拘捕男童的父母
[00:02:00.000 --> 00:02:04.000]  覺得他們涉嫌疏忽照顧
[00:02:04.000 --> 00:02:08.000]  不知道大家聽完這宗新聞後
[00:02:08.000 --> 00:02:11.000]  會有什麼感覺呢?
[00:02:11.000 --> 00:02:14.000]  對於這次事件
[00:02:14.000 --> 00:02:17.000]  你們會覺得究竟是誰的錯呢?
[00:02:17.000 --> 00:02:22.000]  是父母還是那對小朋友呢?
[00:02:22.000 --> 00:02:25.000]  今天在父親節
[00:02:25.000 --> 00:02:27.000]  我也想和大家一起看看
[00:02:27.000 --> 00:02:31.000]  聖經中其中一位父親就是雅各
