
[00:00:00.000 --> 00:00:04.480]  剛才建立牧師提到跑步
[00:00:04.480 --> 00:00:07.960]  前幾天看過新聞
[00:00:07.960 --> 00:00:10.160]  有位伯伯好像是國內的
[00:00:10.160 --> 00:00:14.360]  跑100米是13點多秒
[00:00:14.360 --> 00:00:16.400]  大家有沒有留意這個新聞?
[00:00:16.400 --> 00:00:18.760]  很快的
[00:00:18.760 --> 00:00:21.200]  不知道是不是看完這個廣告
[00:00:21.200 --> 00:00:25.280]  前天當我下樓準備坐巴士的時候
[00:00:25.280 --> 00:00:27.400]  一看應用程式就只剩下7分鐘
[00:00:28.200 --> 00:00:31.000]  距離巴士站應該有幾百米
[00:00:31.000 --> 00:00:33.000]  我就想著發力
[00:00:33.000 --> 00:00:35.680]  但我走了十幾米已經氣喘了
[00:00:35.680 --> 00:00:39.480]  不過我沒有停下來
[00:00:39.480 --> 00:00:41.480]  換了另一個方式
[00:00:41.480 --> 00:00:43.280]  就是急步走
[00:00:43.280 --> 00:00:47.160]  最後也追上巴士
[00:00:47.160 --> 00:00:50.680]  我們每個人都有不同的步速
[00:00:50.680 --> 00:00:53.320]  不過我相信最重要的是在過程中
[00:00:53.320 --> 00:00:55.400]  我們如何去經歷上帝的恩典
[00:00:56.000 --> 00:01:01.080]  今天按照第四子堂的《釋經》系列
[00:01:01.080 --> 00:01:03.280]  就是《文素記》第20章
[00:01:03.280 --> 00:01:06.080]  我給了一個題目叫做
[00:01:06.080 --> 00:01:08.080]  「領袖難為」
[00:01:08.080 --> 00:01:12.400]  我鼓勵如果我們中間的頂姐妹
[00:01:12.400 --> 00:01:15.160]  你是心裡善武善功的
[00:01:15.160 --> 00:01:18.120]  希望今天這個訊息、這個題目不會嚇到你
[00:01:18.120 --> 00:01:20.960]  如果我們在不同的崗位裡面
[00:01:20.960 --> 00:01:24.880]  都是負責做一個帶領的角色的時候
[00:01:25.000 --> 00:01:27.880]  希望我們繼續來到彼此的鼓勵
[00:01:27.880 --> 00:01:29.280]  一起去侍奉神
[00:01:29.280 --> 00:01:33.840]  經文在《文素記》第20章
[00:01:33.840 --> 00:01:36.280]  因為經文也比較長
[00:01:36.280 --> 00:01:38.480]  一到二十九節
[00:01:38.480 --> 00:01:43.160]  我就想先讀第一節和二十二到二十九節
[00:01:43.160 --> 00:01:45.120]  應該有了
[00:01:45.120 --> 00:01:47.760]  我們嘗試讀出來第一節
[00:01:47.760 --> 00:01:52.640]  「正月間以色列傳回眾到了岑的曠野」
[00:01:52.920 --> 00:01:54.920]  「就住在迦第斯」
[00:01:54.920 --> 00:01:59.720]  「米利撼死在那裡就葬在那裡」二十二節
[00:01:59.720 --> 00:02:05.200]  「從迦第斯到了河爾山」
[00:02:05.200 --> 00:02:09.640]  「也和在附近的東界的地方」
[00:02:09.640 --> 00:02:12.280]  「表如那世阿倫說」
[00:02:12.280 --> 00:02:15.960]  「阿倫要歸到他祖那裡」
[00:02:15.960 --> 00:02:20.360]  「他必不得入我所出於其他以色列人的地」
[00:02:20.360 --> 00:02:25.360]  「因為在米利跋水你代了我的名」
[00:02:25.360 --> 00:02:28.040]  「你代阿倫到他的兒子」
[00:02:28.040 --> 00:02:30.440]  「以利亞上河列山」
[00:02:30.440 --> 00:02:33.280]  「把阿倫的聖衣以他來」
[00:02:33.280 --> 00:02:36.600]  「給他的兒子以利亞薩村上」
[00:02:36.600 --> 00:02:40.440]  「阿倫必死在那裡歸他列祖」
