
[00:00:00.000 --> 00:00:02.240]  鄧炳師父 早安
[00:00:02.240 --> 00:00:06.440]  我們很感謝神讓我們有機會在此一同參與敬拜
[00:00:06.440 --> 00:00:09.880]  特別感恩今天透過我們早上的敬拜
[00:00:09.880 --> 00:00:14.720]  讓我回憶許多剛剛信耶穌時的感覺
[00:00:14.720 --> 00:00:17.480]  我記得我剛剛信耶穌就立志
[00:00:17.480 --> 00:00:20.760]  希望我一生都願意擺上為主去工作
[00:00:20.760 --> 00:00:22.880]  我記得我神學畢業時
[00:00:22.880 --> 00:00:25.600]  我熱心地想回應神的呼召
[00:00:25.600 --> 00:00:27.720]  就是去做青少年的工作
[00:00:27.720 --> 00:00:30.200]  我去見工到一間教會裡
[00:00:30.200 --> 00:00:31.520]  一個傳道人問我
[00:00:31.520 --> 00:00:34.240]  你究竟懂不懂踢球呢?
[00:00:34.240 --> 00:00:36.200]  我回想了一會
[00:00:36.200 --> 00:00:37.440]  我說我不是很懂
[00:00:37.440 --> 00:00:39.240]  但也可以試試踢兩腳
[00:00:39.240 --> 00:00:40.520]  但我有熱心
[00:00:40.520 --> 00:00:42.920]  因為神父召我來福事青少年的
[00:00:42.920 --> 00:00:44.400]  哦 這樣啊
[00:00:44.400 --> 00:00:45.400]  他再問
[00:00:45.400 --> 00:00:48.160]  你懂不懂彈結他 敬拜 音樂那些
[00:00:48.160 --> 00:00:50.080]  我也有帶過一下敬拜
[00:00:50.080 --> 00:00:51.520]  但我又不懂彈結他
[00:00:51.520 --> 00:00:52.520]  但我會學的
[00:00:52.520 --> 00:00:53.240]  因為我有什麼
[00:00:53.240 --> 00:00:55.520]  我有熱心和神父召我來做的
[00:00:55.520 --> 00:00:57.400]  哦 這樣啊
[00:00:57.400 --> 00:00:59.160]  好啊 主祝福你
[00:00:59.160 --> 00:01:00.360]  你回去等消息吧
[00:01:00.360 --> 00:01:04.280]  最後的結果當然是不能獲得聘用
[00:01:04.280 --> 00:01:06.720]  我又想起另一個弟兄
[00:01:06.720 --> 00:01:09.000]  他剛剛畢業的時候去見工
[00:01:09.000 --> 00:01:10.680]  一份工作是很好的
[00:01:10.680 --> 00:01:12.520]  因為工作前途又好
[00:01:12.520 --> 00:01:13.840]  人工又好
[00:01:13.840 --> 00:01:17.680]  而且他可以去到世界不同的地方工作
[00:01:17.680 --> 00:01:20.160]  有機會他覺得可以透過這份工作
[00:01:20.160 --> 00:01:22.520]  為主去作見證 去傳福音
[00:01:22.520 --> 00:01:24.240]  但他去見工的時候
[00:01:24.240 --> 00:01:25.760]  那個人暗示
[00:01:25.760 --> 00:01:30.040]  你究竟懂不懂做一些數字可以誇大一點
[00:01:30.040 --> 00:01:33.200]  或者令公司的業績可以亮麗一點
[00:01:33.200 --> 00:01:35.560]  他就說我是信耶穌的
[00:01:35.560 --> 00:01:37.160]  我是不會做這些事
[00:01:37.160 --> 00:01:40.520]  當然最後這份工作也不會請他
[00:01:40.520 --> 00:01:44.800]  他也以後找不到一份好像這麼好的工作
[00:01:44.800 --> 00:01:48.720]  以上說的其實都是一些很有熱血的基督徒
[00:01:48.720 --> 00:01:50.040]  我自己說的
[00:01:50.040 --> 00:01:51.960]  其實也是誇大一點
[00:01:51.960 --> 00:01:55.520]  但是面對現實的時候是有些殘酷的
[00:01:55.520 --> 00:01:58.800]  剛才說的已經是最輕微的殘酷
[00:01:58.800 --> 00:02:01.320]  最大的殘酷就是你走神的道
[00:02:01.320 --> 00:02:03.200]  你講神的真理的時候
[00:02:03.200 --> 00:02:04.880]  你是會被誣告
[00:02:04.880 --> 00:02:06.600]  被抓去監獄
[00:02:06.600 --> 00:02:07.720]  被毆打
[00:02:07.720 --> 00:02:09.520]  甚至乎家散人亡
[00:02:09.520 --> 00:02:10.520]  要殉道
[00:02:10.520 --> 00:02:14.400]  究竟我們基督徒面對這麼殘酷的現實
[00:02:14.400 --> 00:02:16.240]  但是我們在主裡面
[00:02:16.240 --> 00:02:18.960]  仍然要是勇氣不滅的
[00:02:18.960 --> 00:02:21.200]  我們低頭去祈禱吧
[00:02:22.200 --> 00:02:24.000]  慈悲的愛父神
