
[00:00:00.000 --> 00:00:02.000]  各位頂屎妹早安
[00:00:02.000 --> 00:00:04.000]  網上的頂屎妹早安
[00:00:04.000 --> 00:00:06.000]  今天很感恩
[00:00:06.000 --> 00:00:08.000]  有機會在這裡
[00:00:08.000 --> 00:00:10.000]  跟大家一起分享
[00:00:10.000 --> 00:00:12.000]  神的話
[00:00:12.000 --> 00:00:14.000]  在開始之前我們一起做一個禱告
[00:00:14.000 --> 00:00:16.000]  赤外天父
[00:00:16.000 --> 00:00:18.000]  我們再次去感謝你
[00:00:18.000 --> 00:00:20.000]  因為我們每一個
[00:00:20.000 --> 00:00:22.000]  都是屬於你的
[00:00:22.000 --> 00:00:24.000]  我們今天能夠來到你的面前
[00:00:24.000 --> 00:00:26.000]  一起去敬拜
[00:00:26.000 --> 00:00:28.000]  一起去讚美,全是恩典
[00:00:28.000 --> 00:00:30.000]  求你保守
[00:00:30.000 --> 00:00:32.000]  帶領我們以下這段時間去聽你的說話
[00:00:32.000 --> 00:00:34.000]  求你的靈充滿我們
[00:00:34.000 --> 00:00:36.000]  幫助說的,聽的
[00:00:36.000 --> 00:00:38.000]  一同在你面前去蒙恩
[00:00:38.000 --> 00:00:40.000]  我們感謝祈禱
[00:00:40.000 --> 00:00:42.000]  奉耶穌基督的名字,阿們
[00:00:42.000 --> 00:00:44.000]  過去這幾個月
[00:00:44.000 --> 00:00:46.000]  都有不同的
[00:00:46.000 --> 00:00:48.000]  牧者在崇拜
[00:00:48.000 --> 00:00:50.000]  跟大家分享有關
[00:00:50.000 --> 00:00:52.000]  以西傑書的主題
[00:00:52.000 --> 00:00:54.000]  今天也是
[00:00:54.000 --> 00:00:56.000]  講轉變之中
[00:00:56.000 --> 00:00:58.000]  我們很盼望這個系列
[00:00:58.000 --> 00:01:00.000]  題目叫做回歸上主
[00:01:00.000 --> 00:01:02.000]  今天主要是講
[00:01:02.000 --> 00:01:04.000]  以西傑書的第十四章
[00:01:04.000 --> 00:01:06.000]  十四章是屬於
[00:01:06.000 --> 00:01:08.000]  以西傑書裡面
[00:01:08.000 --> 00:01:10.000]  第二個大的段落
[00:01:10.000 --> 00:01:12.000]  主要是講到
[00:01:12.000 --> 00:01:14.000]  有關神對以色列的審判
[00:01:14.000 --> 00:01:16.000]  在上一章
[00:01:16.000 --> 00:01:18.000]  即是說在第十三章
[00:01:18.000 --> 00:01:20.000]  裡面
[00:01:20.000 --> 00:01:22.000]  最主要是講到
[00:01:22.000 --> 00:01:24.000]  神透過以西傑的先知
[00:01:24.000 --> 00:01:26.000]  去斥責一群
[00:01:26.000 --> 00:01:28.000]  假先知的惡行
[00:01:28.000 --> 00:01:30.000]  而那些男先知
[00:01:30.000 --> 00:01:32.000]  是去宣講一些
[00:01:32.000 --> 00:01:34.000]  虛假的平安的訊息
[00:01:34.000 --> 00:01:36.000]  而女的先知
[00:01:36.000 --> 00:01:38.000]  就用很多的邪術
[00:01:38.000 --> 00:01:40.000]  拜偶像,以及用一些
[00:01:40.000 --> 00:01:42.000]  愛邦的異教的儀式
[00:01:42.000 --> 00:01:44.000]  去為自己
[00:01:44.000 --> 00:01:46.000]  去謀取一些利潤
[00:01:46.000 --> 00:01:48.000]  去欺騙百姓
[00:01:48.000 --> 00:01:50.000]  所以神對這群假先知
[00:01:50.000 --> 00:01:52.000]  所作所為
[00:01:52.000 --> 00:01:54.000]  是非常憤怒
[00:01:54.000 --> 00:01:56.000]  並且要指出這群假先知
[00:01:56.000 --> 00:01:58.000]  所犯的罪
[00:01:58.000 --> 00:02:00.000]  之後的後果究竟是什麼
[00:02:00.000 --> 00:02:02.000]  來到十四章
[00:02:02.000 --> 00:02:04.000]  神同樣是透過
