
[00:00:00.000 --> 00:00:03.840]  各位在網上看直播的電影節目
[00:00:03.840 --> 00:00:04.640]  你們好
[00:00:04.640 --> 00:00:08.440]  或者有些從來未認識你的信仰
[00:00:08.440 --> 00:00:10.720]  很想盼望透過上帝的說話
[00:00:10.720 --> 00:00:12.040]  成為你們的安慰
[00:00:12.040 --> 00:00:15.800]  剛才極快為我們唱的詩歌
[00:00:15.800 --> 00:00:17.800]  盼望在心裏讓我們知道一件事
[00:00:17.800 --> 00:00:19.520]  無論人生去到哪裏
[00:00:19.520 --> 00:00:21.840]  這個世界上沒有甚麼可以依靠
[00:00:21.840 --> 00:00:25.320]  唯有我們的天父上帝才值得我們依靠
[00:00:25.320 --> 00:00:27.120]  因為感言鼓的時候
[00:00:28.080 --> 00:00:30.840]  很想藉著這篇詩篇成為大家的幫助
[00:00:30.840 --> 00:00:33.080]  不知道你們還記不記得
[00:00:33.080 --> 00:00:35.360]  在一月十五日
[00:00:35.360 --> 00:00:36.680]  十四十五日左右
[00:00:36.680 --> 00:00:40.000]  在太平洋島角湯家發生一次
[00:00:40.000 --> 00:00:44.760]  很巨大的海底火山地震的爆發
[00:00:44.760 --> 00:00:47.800]  不知道你們有沒有看過網上的新聞片段
[00:00:47.800 --> 00:00:51.720]  據說火山是在海底下
[00:00:51.720 --> 00:00:53.920]  當它爆發的時候
[00:00:53.920 --> 00:00:56.640]  那一刻我看網上的片段的時候
[00:00:57.120 --> 00:00:59.120]  看到有人突然爆發
[00:00:59.120 --> 00:01:00.440]  我馬上逃跑
[00:01:00.440 --> 00:01:01.400]  因為我在海邊
[00:01:01.400 --> 00:01:04.360]  很害怕海嘯衝擊的時候
[00:01:04.360 --> 00:01:06.480]  據說科學家說
[00:01:06.480 --> 00:01:11.280]  這個火山爆發是難得一見的現象
[00:01:11.280 --> 00:01:14.680]  當時火山灰的雲
[00:01:14.680 --> 00:01:17.480]  直衝向天空
[00:01:17.480 --> 00:01:18.880]  大約二十公里高
[00:01:18.880 --> 00:01:24.440]  而雲的灰塵直徑大約三百公里
[00:01:24.920 --> 00:01:31.920]  當時發出的能量相當於一千枚投入廣島的原子彈
[00:01:31.920 --> 00:01:35.440]  衝擊波席捲全球
[00:01:35.440 --> 00:01:37.600]  當時在山川的全景
[00:01:37.600 --> 00:01:39.040]  你會發覺很可怕
[00:01:39.040 --> 00:01:40.000]  很可怕
[00:01:40.000 --> 00:01:45.600]  在片段中看到人們的震撼和恐慌
[00:01:45.600 --> 00:01:46.400]  馬上逃跑
[00:01:46.400 --> 00:01:49.400]  似乎這個現象
[00:01:49.400 --> 00:01:51.280]  我們看新聞的時候距離我們很遠
[00:01:51.280 --> 00:01:53.880]  可能我們覺得這是大自然的現象
[00:01:53.880 --> 00:01:54.880]  但回到問題上
[00:01:54.880 --> 00:01:57.200]  在我們人生中
[00:01:57.200 --> 00:01:59.640]  我們可能會面對這些海嘯
[00:01:59.640 --> 00:02:01.120]  這些火山爆發
[00:02:01.120 --> 00:02:03.680]  可能這些不是大自然的現象
[00:02:03.680 --> 00:02:06.480]  而是在我們人生的生活處境中發生
[00:02:06.480 --> 00:02:13.240]  要數算一下我們在幾十年前的內戰
[00:02:13.240 --> 00:02:14.880]  日本侵華
[00:02:14.880 --> 00:02:18.280]  又或者是六十年代的暴動
[00:02:18.280 --> 00:02:20.480]  七十年代的石油危機
[00:02:20.480 --> 00:02:21.600]  股市塌陷
[00:02:21.600 --> 00:02:24.600]  八十年代回歸的問題
[00:02:24.600 --> 00:02:29.320]  接著九十年代回歸的經濟危機
[00:02:29.320 --> 00:02:31.480]  然後零三年的沙士
[00:02:31.480 --> 00:02:32.600]  再數下去
[00:02:32.600 --> 00:02:36.160]  好像我們人生有很多風風浪浪
[00:02:36.160 --> 00:02:40.080]  我們走過很多一波又一波的困難
[00:02:40.080 --> 00:02:43.320]  在當今的疫情之下
[00:02:43.320 --> 00:02:45.000]  我早幾天
[00:02:45.000 --> 00:02:47.840]  吃完飯後傍晚時分
[00:02:47.840 --> 00:02:50.120]  出去超級市場買必需品
[00:02:50.520 --> 00:02:52.560]  我其實不是刻意去買甚麼
[00:02:52.560 --> 00:02:55.320]  一到超級市場我看到甚麼
[00:02:55.320 --> 00:02:57.400]  一架空空如也
[00:02:57.400 --> 00:03:00.400]  有些可能因為遲了下班的緣故
[00:03:00.400 --> 00:03:01.840]  去買東西的時候
[00:03:01.840 --> 00:03:03.240]  推著一部車很不小心
[00:03:03.240 --> 00:03:04.120]  不知道買甚麼好
[00:03:04.120 --> 00:03:05.440]  有甚麼可以買
[00:03:05.440 --> 00:03:08.200]  這種情景好像歷歷在目
[00:03:08.200 --> 00:03:10.600]  過去三四十年
[00:03:10.600 --> 00:03:12.400]  我們香港好像不斷發生這些事
[00:03:12.400 --> 00:03:16.280]  接著很多店舖變成吉舖
[00:03:16.280 --> 00:03:19.880]  我們不知道會否擔心經濟危機
[00:03:20.400 --> 00:03:21.320]  我們要裁員
[00:03:21.320 --> 00:03:23.720]  據說有一萬間食肆會倒閉
[00:03:23.720 --> 00:03:26.600]  當你面對這種情況時
[00:03:26.600 --> 00:03:29.800]  你會否覺得這件事在人生中有很多衝擊風浪
[00:03:29.800 --> 00:03:33.000]  如果我們不是面對大自然
[00:03:33.000 --> 00:03:34.360]  而是面對人生中的風浪
[00:03:34.360 --> 00:03:39.200]  究竟今天我們如何靠甚麼去面對風浪
[00:03:39.200 --> 00:03:43.160]  盼望透過C篇46篇成為我們的幫助
[00:03:43.160 --> 00:03:47.040]  若我們一同翻開C篇第46篇
[00:03:47.040 --> 00:03:49.560]  我們一同重讀這篇C篇
[00:03:49.560 --> 00:03:53.560]  C篇46篇說
[00:03:53.560 --> 00:03:56.080]  神是我們的避難所
[00:03:56.080 --> 00:03:58.000]  是我們的力量
[00:03:58.000 --> 00:04:01.960]  是我們在患難中隨時的幫助
[00:04:01.960 --> 00:04:04.760]  所以地需改變
[00:04:04.760 --> 00:04:07.080]  山需搖動到海深
[00:04:07.080 --> 00:04:10.240]  其中的水需攀崑翻騰
[00:04:10.240 --> 00:04:13.040]  山水因海浪而戰鬥
[00:04:13.040 --> 00:04:15.640]  我也不害怕
[00:04:15.640 --> 00:04:17.440]  有一道河
