
[00:00:00.000 --> 00:00:02.760]  今天說的經文就是詩篇145篇
[00:00:02.760 --> 00:00:06.080]  用心讚美神生活更安心
[00:00:06.080 --> 00:00:08.840]  有時如何可以安心一點呢
[00:00:08.840 --> 00:00:10.800]  就是和幾個弟兄
[00:00:10.800 --> 00:00:11.840]  大家都是老公的
[00:00:11.840 --> 00:00:14.800]  去研討一下如何去經營自己家庭更加安心
[00:00:14.800 --> 00:00:18.360]  發現有些老婆都會問一個問題
[00:00:18.360 --> 00:00:21.320]  就是你發現我今天有什麼不同呢
[00:00:21.320 --> 00:00:23.560]  這個問題是相當有深度的
[00:00:23.560 --> 00:00:24.800]  對於一個男士來說
[00:00:24.800 --> 00:00:27.320]  最後我們統計出一個統計
[00:00:27.320 --> 00:00:31.320]  大概70%的情況和他的髮型是有關係的
[00:00:31.320 --> 00:00:34.840]  剩下的大約30%
[00:00:34.840 --> 00:00:38.640]  就和他的衣著和耳環有些關係
[00:00:38.640 --> 00:00:40.640]  如果你兩樣都不中
[00:00:40.640 --> 00:00:43.040]  你只可以嘆你那次是不幸運
[00:00:43.040 --> 00:00:44.640]  但我就問我老婆
[00:00:44.640 --> 00:00:46.640]  為什麼你沒有問這些問題
[00:00:46.640 --> 00:00:48.640]  她說我們這些很灰心的
[00:00:48.640 --> 00:00:51.640]  我今天換了一隻耳環你覺得如何
[00:00:51.640 --> 00:00:54.240]  給了我指引去讚美他
[00:00:54.240 --> 00:00:55.520]  就是讚他的耳環
[00:00:55.520 --> 00:00:57.000]  人家都給了你指引
[00:00:57.000 --> 00:00:58.560]  你當然是看著耳環
[00:00:58.560 --> 00:00:59.560]  看看有多少顆石頭
[00:00:59.560 --> 00:01:01.160]  真假閃不閃
[00:01:01.160 --> 00:01:03.440]  然後說好的一面
[00:01:03.440 --> 00:01:05.360]  但在這個過程中
[00:01:05.360 --> 00:01:07.240]  我們要體會到一件事
[00:01:07.240 --> 00:01:11.560]  原來讚美神是久經訓練的東西
[00:01:11.560 --> 00:01:13.160]  因為不是一朝一夕
[00:01:13.160 --> 00:01:15.680]  你一起就可以讚美神
[00:01:15.680 --> 00:01:18.680]  是一個需要很長時間訓練的東西
[00:01:18.680 --> 00:01:21.480]  但在這段大衛的詩篇
[00:01:21.480 --> 00:01:24.200]  你會發現他讚美神的時候
[00:01:24.200 --> 00:01:25.400]  是一步到位的
[00:01:25.400 --> 00:01:27.400]  他讚美詩裡面是充滿了
[00:01:27.400 --> 00:01:29.680]  一去就去到讚美的高峰
[00:01:29.680 --> 00:01:31.000]  讓我們體會一下
[00:01:31.000 --> 00:01:34.000]  他這個讚美的高峰背後教導我們的東西
[00:01:34.000 --> 00:01:35.200]  我們低頭祈禱
[00:01:35.200 --> 00:01:37.160]  慈悲人,我天父
[00:01:37.160 --> 00:01:38.960]  感謝祢讓我們有機會和祂學習
[00:01:38.960 --> 00:01:40.840]  如何透過詩篇去讚美祢
[00:01:40.840 --> 00:01:43.000]  特別透過這段大衛的詩篇
[00:01:43.000 --> 00:01:45.720]  讓我們知道我們要用心去讚美神
[00:01:45.720 --> 00:01:48.320]  也讓我們繼續讚美的時候
[00:01:48.320 --> 00:01:50.000]  更加能夠了解神
[00:01:50.000 --> 00:01:51.440]  是對我們生命的影響
[00:01:51.440 --> 00:01:53.200]  和對世界的影響
[00:01:53.200 --> 00:01:54.920]  讓我們更加懂得去愛祢
[00:01:54.920 --> 00:01:56.400]  和更加去走祢的道
[00:01:56.400 --> 00:01:57.120]  感謝主
[00:01:57.120 --> 00:01:58.520]  以上祈禱交上奉耶穌基督
[00:01:58.520 --> 00:01:59.440]  明治二球
[00:01:59.440 --> 00:02:00.240]  阿們
[00:02:00.240 --> 00:02:03.240]  我們先讀詩篇145篇
[00:02:03.240 --> 00:02:04.080]  新譯本這裡
[00:02:04.080 --> 00:02:07.280]  這裡是讚頌神偉大和慈愛
[00:02:07.280 --> 00:02:08.560]  我一邊讀的時候
[00:02:08.560 --> 00:02:10.120]  一邊解釋一點
[00:02:10.120 --> 00:02:12.720]  究竟這些詩篇對我們人生裡面
[00:02:12.720 --> 00:02:14.120]  是有什麼影響的
[00:02:14.120 --> 00:02:16.400]  第一二節就說
[00:02:16.400 --> 00:02:18.000]  我的神,我的王
[00:02:18.000 --> 00:02:19.240]  我要尊崇祢
[00:02:19.240 --> 00:02:21.240]  我要永永遠遠
[00:02:21.240 --> 00:02:22.440]  稱頌祢的名
[00:02:22.440 --> 00:02:24.720]  我要天天稱頌祢
[00:02:24.720 --> 00:02:26.720]  我要永永遠遠
[00:02:26.720 --> 00:02:27.920]  讚美祢的名
[00:02:27.920 --> 00:02:31.880]  這裡一定是開頭用了我的神
[00:02:31.880 --> 00:02:34.080]  就是說我的神就是這樣
[00:02:34.080 --> 00:02:36.480]  他不會說是偉大的神
[00:02:36.480 --> 00:02:37.200]  你的神
[00:02:37.200 --> 00:02:38.880]  因為他一開口
[00:02:38.880 --> 00:02:40.480]  就已經很肯定
[00:02:40.480 --> 00:02:41.280]  是我的神
[00:02:41.280 --> 00:02:42.200]  是我的王
[00:02:42.200 --> 00:02:43.160]  不僅是祂的神
[00:02:43.160 --> 00:02:43.720]  祂的王
[00:02:43.720 --> 00:02:45.600]  就是說他一生都是追隨祂
[00:02:45.600 --> 00:02:46.840]  去馴服祂
[00:02:46.840 --> 00:02:48.120]  要尊崇祂
[00:02:48.120 --> 00:02:49.960]  也要永永遠遠
[00:02:49.960 --> 00:02:50.880]  讚頌祂的名
[00:02:50.880 --> 00:02:52.480]  是不會停止的
[00:02:52.480 --> 00:02:54.520]  人世間很多事情都會令我們
[00:02:54.520 --> 00:02:57.120]  忘記了停止去讚美神
[00:02:57.120 --> 00:02:58.280]  如果在崇拜的時候
[00:02:58.280 --> 00:02:59.280]  有敬拜隊幫我們
[00:02:59.280 --> 00:03:00.880]  我們當然會比較容易
[00:03:00.880 --> 00:03:01.760]  但很多時候
