
[00:00:00.000 --> 00:00:03.320]  很感恩在三月聖餐的主日
[00:00:03.320 --> 00:00:05.080]  能夠和大家一起
[00:00:05.080 --> 00:00:08.280]  不單止一會兒藉著聖餐去紀念主的恩情
[00:00:08.280 --> 00:00:10.000]  我們同樣在聖經裏面
[00:00:10.000 --> 00:00:11.400]  我們能夠彼此鼓勵
[00:00:11.400 --> 00:00:13.000]  正如剛才師哥所說
[00:00:13.000 --> 00:00:14.840]  我們去同去奔走
[00:00:14.840 --> 00:00:16.440]  去得著天上的冠冕
[00:00:16.440 --> 00:00:18.600]  在講道之前我們一起禱告
[00:00:18.600 --> 00:00:21.360]  出去主我求你幫助我們
[00:00:21.360 --> 00:00:23.120]  在今天講道的裏面
[00:00:23.120 --> 00:00:24.880]  今天的敬拜的裏面
[00:00:24.880 --> 00:00:26.760]  你的靈與我們每一位同在
[00:00:26.760 --> 00:00:28.120]  充滿我們每一位
[00:00:28.120 --> 00:00:30.040]  你的靈同樣充滿這個會場
[00:00:30.040 --> 00:00:32.440]  我見到很多年輕的童工
[00:00:32.440 --> 00:00:33.560]  他們興起
[00:00:33.560 --> 00:00:34.800]  在我們後面
[00:00:34.800 --> 00:00:36.280]  無論在音響
[00:00:36.280 --> 00:00:37.240]  無論在燈光
[00:00:37.240 --> 00:00:38.920]  無論在整個的服事上
[00:00:38.920 --> 00:00:40.400]  他們都盡忠拜上
[00:00:40.400 --> 00:00:42.320]  願主你都一一報答他們
[00:00:42.320 --> 00:00:43.240]  我們都願意
[00:00:43.240 --> 00:00:44.800]  我們同樣來到你面前的時候
[00:00:44.800 --> 00:00:46.320]  我們自己都盡忠拜上
[00:00:46.320 --> 00:00:47.800]  得著永恆的冠冕
[00:00:47.800 --> 00:00:48.640]  我們這樣禱告
[00:00:48.640 --> 00:00:50.400]  奉耶穌基督的名而求
[00:00:50.400 --> 00:00:53.800]  剛剛近來
[00:00:53.800 --> 00:00:56.400]  大家可能看了財政司的
[00:00:56.400 --> 00:01:01.080]  2025-26年的財政預算報告
[00:01:01.080 --> 00:01:04.360]  我都賣一點點廣告
[00:01:04.360 --> 00:01:06.400]  我們下午教會
[00:01:06.400 --> 00:01:07.560]  都有祈禱會
[00:01:07.560 --> 00:01:10.440]  都有講我們教會的財政預算
[00:01:10.440 --> 00:01:11.480]  大家都要來看
[00:01:11.480 --> 00:01:13.440]  我看這個財政預算
[00:01:13.440 --> 00:01:14.760]  這個財政司這份
[00:01:14.760 --> 00:01:16.080]  我自己有很多感觸
[00:01:16.080 --> 00:01:17.160]  第一方面
[00:01:17.160 --> 00:01:19.720]  見到在市民的評分裏面
[00:01:19.720 --> 00:01:21.080]  就不是那麼高分
[00:01:21.080 --> 00:01:22.080]  很多市民都覺得
[00:01:22.080 --> 00:01:23.440]  真的一般般
[00:01:23.440 --> 00:01:25.160]  我自己有個深的感受
[00:01:25.160 --> 00:01:28.800]  就是有時都是巧富難為無米吹
[00:01:28.800 --> 00:01:31.440]  少了幾百億的收入
[00:01:31.440 --> 00:01:34.720]  無論是賣地或者印花稅
[00:01:34.720 --> 00:01:35.800]  都少了很多
[00:01:35.800 --> 00:01:39.000]  好像接下來就要靠借貸度日
[00:01:39.000 --> 00:01:40.120]  我們整個城市
[00:01:40.120 --> 00:01:41.920]  有些擔心
[00:01:41.920 --> 00:01:48.080]  甚至財政儲備跌到2011-2012年度的水平
[00:01:48.080 --> 00:01:51.520]  我今天就很想藉著針研
[00:01:51.520 --> 00:01:54.080]  跟大家思想面對一個經濟
[00:01:54.080 --> 00:01:55.320]  走的社會
[00:01:55.320 --> 00:01:56.840]  到底我們要怎樣預備
[00:01:56.840 --> 00:01:59.040]  藉著今天的針研
[00:01:59.040 --> 00:02:00.200]  從四方面去看
[00:02:00.200 --> 00:02:01.520]  世人怎樣看貧窮
[00:02:01.520 --> 00:02:03.800]  在舊約針研看貧窮
[00:02:03.800 --> 00:02:05.800]  在新約信徒怎樣看貧窮
[00:02:05.800 --> 00:02:07.320]  和神怎樣看貧窮
[00:02:07.320 --> 00:02:08.560]  世人
[00:02:08.560 --> 00:02:09.640]  舊約
[00:02:09.640 --> 00:02:10.440]  新約
[00:02:10.440 --> 00:02:11.920]  和神自己怎樣看
[00:02:11.920 --> 00:02:14.000]  我經常看
[00:02:14.000 --> 00:02:15.680]  很關心國內的動態
[00:02:15.680 --> 00:02:16.920]  我看到國內早前
[00:02:16.920 --> 00:02:19.120]  如果是去商體
[00:02:19.120 --> 00:02:20.240]  不要說樣貌
[00:02:20.240 --> 00:02:20.760]  不要說什麼
[00:02:20.760 --> 00:02:22.240]  先坐下來問你三個問題
[00:02:22.240 --> 00:02:24.560]  你開什麼車
[00:02:24.560 --> 00:02:25.560]  有沒有車
[00:02:25.560 --> 00:02:26.960]  第一個問題是那部是什麼車
[00:02:26.960 --> 00:02:28.640]  你有沒有樓
[00:02:28.640 --> 00:02:29.480]  那層是什麼樓
[00:02:29.480 --> 00:02:31.200]  還有銀行存款有多少
[00:02:31.200 --> 00:02:32.800]  回答完這三條問題
[00:02:32.800 --> 00:02:34.400]  我們才開始下一步
[00:02:34.400 --> 00:02:35.280]  回答這三條問題
[00:02:35.280 --> 00:02:39.320]  答錯就已經不能夠去處理下一步的商體
[00:02:39.320 --> 00:02:42.320]  可能我自己也很有感觸
[00:02:42.320 --> 00:02:43.200]  有時候看到
[00:02:43.200 --> 00:02:46.160]  可能在他們早一代窮得很厲害
[00:02:46.160 --> 00:02:47.400]  窮到害怕了
[00:02:48.040 --> 00:02:50.600]  所以金錢是帶來他們的追求
[00:02:50.600 --> 00:02:52.080]  帶來他們很大的安全感
[00:02:52.080 --> 00:02:53.760]  我想起二十多年前
[00:02:53.760 --> 00:02:55.320]  一位跟我一起長大的表哥
[00:02:55.320 --> 00:02:58.200]  因為五萬塊的債務就自殺死了
[00:02:58.200 --> 00:03:00.400]  五萬塊今天不是很多錢
[00:03:00.400 --> 00:03:01.960]  但當時是一筆大錢
[00:03:01.960 --> 00:03:05.960]  我們在經濟下行的時候
[00:03:05.960 --> 00:03:08.640]  我們很想用行動回應這個時代
[00:03:08.640 --> 00:03:10.760]  之前在《針研》說過公義
[00:03:10.760 --> 00:03:13.360]  鼓勵大家去思想世間沒有絕對的公義
[00:03:13.360 --> 00:03:15.600]  但是認識神對二人
[00:03:15.600 --> 00:03:16.760]  卻是有美好的結局
[00:03:16.760 --> 00:03:19.840]  因此我們從口到心到手
[00:03:19.840 --> 00:03:21.440]  都要作出回應
[00:03:21.440 --> 00:03:24.120]  效法基督為了罪承擔
[00:03:24.120 --> 00:03:27.120]  以至活出最美公義的榜樣
[00:03:27.120 --> 00:03:28.760]  再去肯定在日光之上
[00:03:28.760 --> 00:03:30.200]  神有公義的審判
[00:03:30.200 --> 00:03:34.040]  今天我再一次跟大家在《針研》裡面思想
[00:03:34.040 --> 00:03:34.920]  不單只是公義
[00:03:34.920 --> 00:03:36.680]  再思想經濟下行的社會
[00:03:36.680 --> 00:03:37.720]  我們怎樣去面對
[00:03:37.720 --> 00:03:39.600]  中國人做事很特別
[00:03:39.600 --> 00:03:41.080]  貧窮兩個字很奇妙
[00:03:41.080 --> 00:03:42.320]  貧就是分貝
[00:03:42.320 --> 00:03:43.600]  就是一個貝殼
[00:03:43.600 --> 00:03:44.440]  就是一個錢
[00:03:44.440 --> 00:03:45.280]  都要分開
[00:03:45.280 --> 00:03:46.720]  剛剛過了月底
[00:03:46.720 --> 00:03:48.280]  月底的時候大家可能經歷過
[00:03:48.280 --> 00:03:51.560]  就是20元都分開兩個來花
[00:03:51.560 --> 00:03:54.120]  所以我們記得寡婦
[00:03:54.120 --> 00:03:57.560]  其實就是將兩個小錢奉獻的心態
