
[00:00:00.000 --> 00:00:03.320]  今天我講到的題目是
[00:00:03.320 --> 00:00:04.920]  It is over
[00:00:04.920 --> 00:00:08.000]  不知道你想起這個字是什麼
[00:00:08.000 --> 00:00:09.720]  是呀,完啦
[00:00:09.720 --> 00:00:11.720]  如果我現在跟你說
[00:00:11.720 --> 00:00:12.920]  It is over
[00:00:12.920 --> 00:00:14.520]  即是崇拜It is over
[00:00:14.520 --> 00:00:15.920]  可能你就能離開了
[00:00:15.920 --> 00:00:19.720]  可能完結了,或者過去了
[00:00:19.720 --> 00:00:23.200]  又或者好像阿森幫我找的這個圖
[00:00:23.200 --> 00:00:26.400]  即是打完機了,Game over
[00:00:26.400 --> 00:00:30.800]  完結了又開一個新的一局
[00:00:30.800 --> 00:00:32.800]  是不是所有事情的發生
[00:00:32.800 --> 00:00:36.000]  特別是一些不幸或者苦難的事情
[00:00:36.000 --> 00:00:39.800]  過了,經過了就等於完結了呢?
[00:00:39.800 --> 00:00:42.000]  是不是說一句It is over
[00:00:42.000 --> 00:00:43.600]  就是完結了呢?
[00:00:43.600 --> 00:00:46.400]  是不是這些事情在我們生命裏面
[00:00:46.400 --> 00:00:48.400]  再沒有影響力
[00:00:48.400 --> 00:00:52.200]  就是可以畫上一個句號
[00:00:52.200 --> 00:00:54.400]  但是我又想,Over這個字
[00:00:54.400 --> 00:00:58.000]  其實是有超越的意思
[00:00:58.000 --> 00:01:01.800]  我們又有沒有可能在困難和不幸裏面
[00:01:01.800 --> 00:01:05.400]  能夠超越痛苦呢?
[00:01:05.400 --> 00:01:08.000]  很想今天透過約瑟的經歷
[00:01:08.000 --> 00:01:11.600]  讓上帝的話成為我們的提醒
[00:01:11.600 --> 00:01:17.000]  經文在《創世紀》41章46-52節
[00:01:17.000 --> 00:01:20.000]  我想邀請大家一起讀,好嗎?
[00:01:20.000 --> 00:01:21.600]  預備起
[00:01:21.600 --> 00:01:24.600]  約瑟在埃及王法老面前
[00:01:24.600 --> 00:01:27.800]  事立的時候,年三十歲
[00:01:27.800 --> 00:01:30.600]  約瑟從法老面前出去
[00:01:30.600 --> 00:01:33.000]  巡及埃及全地
[00:01:33.000 --> 00:01:37.800]  七個豐年之內地的出產極其豐富
[00:01:37.800 --> 00:01:42.400]  約瑟聚集埃及地七年一切的糧食
[00:01:42.400 --> 00:01:45.600]  把糧食積存在各城裏
[00:01:45.600 --> 00:01:49.000]  就是把各城周圍填地的糧食
[00:01:49.000 --> 00:01:52.800]  都積存在該城裏
[00:01:52.800 --> 00:01:55.600]  約瑟積存的五穀很多
[00:01:55.600 --> 00:01:57.600]  如同海邊的沙
[00:01:57.600 --> 00:02:01.400]  無法計算,數也數不清
[00:02:01.400 --> 00:02:03.200]  方年未到以前
[00:02:03.200 --> 00:02:07.200]  安城的祭司波提菲拉的女兒
[00:02:07.200 --> 00:02:11.200]  亞西納為約瑟生了兩個兒子
[00:02:11.200 --> 00:02:15.000]  約瑟給長子起名叫馬拉西
[00:02:15.000 --> 00:02:19.400]  因為他說:神使我忘了一切的困苦
[00:02:19.400 --> 00:02:22.000]  和我父的全家
[00:02:22.000 --> 00:02:25.400]  他給次子起名叫爾法蓮
[00:02:25.400 --> 00:02:30.600]  因為他說:神使我在受苦的地方興盛
[00:02:30.600 --> 00:02:33.400]  讓我們低頭禱告
[00:02:33.400 --> 00:02:37.800]  天上上帝,願祢親自與我們同在
