
[00:00:00.000 --> 00:00:05.000]  在開始聽到之前,我們一起來同心祈禱吧!
[00:00:05.000 --> 00:00:10.000]  親愛的天父上帝,多謝祢今天早上帶領我們
[00:00:10.000 --> 00:00:14.000]  滿有平安的腳步回到教會
[00:00:14.000 --> 00:00:19.000]  求神引領以下訊息的分享時間
[00:00:19.000 --> 00:00:23.000]  讓聖靈在各人心中來工作
[00:00:23.000 --> 00:00:28.000]  讓我們都能夠領會神給予我們各人的訊息
[00:00:28.000 --> 00:00:31.000]  使我們都能夠滿得幫助
[00:00:31.000 --> 00:00:34.000]  我們仰望祢,我們獻上祈禱
[00:00:34.000 --> 00:00:38.000]  奉耶穌基督的名求,阿們
[00:00:38.000 --> 00:00:42.000]  好,弟兄姊妹
[00:00:42.000 --> 00:00:45.000]  不知道你們是否覺得
[00:00:45.000 --> 00:00:49.000]  在我們所生活的世界裡
[00:00:49.000 --> 00:00:54.000]  經常都充滿著很嘈雜的聲音
[00:00:56.000 --> 00:01:01.000]  例如外來的噪音
[00:01:01.000 --> 00:01:04.000]  時時轟炸著我們的耳朵
[00:01:04.000 --> 00:01:11.000]  好像很靜的地方都會有一些空調的機械聲
[00:01:11.000 --> 00:01:18.000]  或者久不久就會有一些手機的聲音響起
[00:01:18.000 --> 00:01:26.000]  或者晚上又有一些震耳欲聾的跑車死氣喉聲
[00:01:26.000 --> 00:01:29.000]  這些就是我最厭惡的
[00:01:29.000 --> 00:01:34.000]  不知道你們覺得這些聲音是不是很騷擾
[00:01:34.000 --> 00:01:41.000]  除了這些之外,我們裡面也有噪音
[00:01:41.000 --> 00:01:45.000]  我們裡面時時都有一些聲音提醒著我們
[00:01:45.000 --> 00:01:49.000]  有些事情還沒做,要去做
[00:01:49.000 --> 00:01:53.000]  有些人我要去找他
[00:01:53.000 --> 00:01:58.000]  或者我答應了一些活動,我要去
[00:01:58.000 --> 00:02:02.000]  有些事情還沒完成,有些什麼我要去做
[00:02:02.000 --> 00:02:08.000]  這些不斷在我們心靈裡嘈吵著我們
[00:02:08.000 --> 00:02:11.000]  會嗎?會吧?
[00:02:12.000 --> 00:02:15.000]  或者進入到更深層了
[00:02:15.000 --> 00:02:18.000]  仍然都會有噪音
[00:02:18.000 --> 00:02:30.000]  就是我們裡面的憂慮、懼怕、猶疑、惆悵或者是愧疚
[00:02:30.000 --> 00:02:33.000]  在中世紀的修道熱潮裡
[00:02:33.000 --> 00:02:39.000]  有些修道士他們退隱到沙漠小屋來獨處
[00:02:39.000 --> 00:02:44.000]  周圍很清靜,沒人搞擾
[00:02:44.000 --> 00:02:47.000]  但是這些修道士他們就覺得
[00:02:47.000 --> 00:02:55.000]  在那時候,內裡有很多慾望在翻滾
[00:02:55.000 --> 00:03:01.000]  停不了的思想、意念在不停地滾動
[00:03:01.000 --> 00:03:04.000]  所以,靈媒姐妹
[00:03:04.000 --> 00:03:07.000]  要得到內心的平靜
[00:03:07.000 --> 00:03:15.000]  問題不是在於我們能不能找到一個獨處、安靜的時間和地方
[00:03:15.000 --> 00:03:21.000]  問題是在於我們如何在生活一切的噪音裡
[00:03:21.000 --> 00:03:24.000]  尋得到靈魂的平靜
[00:03:24.000 --> 00:03:30.000]  這個是不是你心靈深處的渴慕呢?
[00:03:30.000 --> 00:03:38.000]  你的內心是不是渴慕一種內心的平靜呢?
[00:03:38.000 --> 00:03:43.000]  我們可以在嘈雜的世界裡尋得內心的平靜
[00:03:43.000 --> 00:03:47.000]  今天我們會看詩篇131篇
[00:03:47.000 --> 00:03:51.000]  向我們指出一些方法
[00:03:51.000 --> 00:03:55.000]  我們一起來讀詩篇131篇
[00:03:55.000 --> 00:03:58.000]  我們選用了《聖經新譯本》
[00:03:58.000 --> 00:04:02.000]  我們會讀小人的標題
[00:04:02.000 --> 00:04:04.000]  我們一起讀吧
[00:04:04.000 --> 00:04:07.000]  大衛朝聖之歌
[00:04:07.000 --> 00:04:10.000]  原文作《往上行之歌》
[00:04:10.000 --> 00:04:14.000]  耶和華,我的心不驕傲
[00:04:14.000 --> 00:04:16.000]  我的眼不自高
[00:04:16.000 --> 00:04:20.000]  重大和測超過我能力的事
[00:04:20.000 --> 00:04:22.000]  我都不敢作
[00:04:22.000 --> 00:04:25.000]  我的心平靜安穩
[00:04:25.000 --> 00:04:27.000]  像斷過賴的孩子
[00:04:27.000 --> 00:04:30.000]  躺在他母親的懷中
[00:04:30.000 --> 00:04:32.000]  我的心在我裡面
[00:04:32.000 --> 00:04:35.000]  真像斷過賴的孩子
[00:04:35.000 --> 00:04:39.000]  以色列啊,你要仰望耶和華
[00:04:39.000 --> 00:04:43.000]  從現在直到永遠
[00:04:43.000 --> 00:04:46.000]  這首詩的小人標題是
[00:04:46.000 --> 00:04:49.000]  大衛朝聖之歌
[00:04:49.000 --> 00:04:52.000]  原文作《往上行之歌》
[00:04:52.000 --> 00:04:56.000]  很多學者都看這篇詩
[00:04:56.000 --> 00:04:59.000]  是秘魯之後的作品
[00:04:59.000 --> 00:05:02.000]  可能是在秘魯回歸的路上
[00:05:02.000 --> 00:05:04.000]  上耶路撒冷過節
[00:05:04.000 --> 00:05:06.000]  朝聖的時候
[00:05:06.000 --> 00:05:09.000]  踏上聖殿的台階的時候
[00:05:09.000 --> 00:05:12.000]  邊行邊唱的詩歌
