
[00:00:00.000 --> 00:00:02.400]  在我們教會裡面
[00:00:02.400 --> 00:00:03.400]  一樣東西很重要
[00:00:03.400 --> 00:00:05.000]  就是正如剛才施哥說的
[00:00:05.000 --> 00:00:06.400]  是要聽真理
[00:00:06.400 --> 00:00:07.800]  聽聖經的真理
[00:00:07.800 --> 00:00:09.000]  但是聽真理
[00:00:09.000 --> 00:00:10.400]  我們要懂得分真假的
[00:00:10.400 --> 00:00:12.200]  我給大家一個考驗
[00:00:12.200 --> 00:00:16.800]  讓大家踏著分真假的能力
[00:00:16.800 --> 00:00:19.400]  第一條真假新聞
[00:00:19.400 --> 00:00:22.600]  為了進一步促進夜間的經濟
[00:00:22.600 --> 00:00:23.800]  今年五月起
[00:00:23.800 --> 00:00:26.800]  每逢禮拜五六和公眾假期
[00:00:26.800 --> 00:00:29.400]  所有港鐵都通宵行走
[00:00:29.400 --> 00:00:30.800]  你覺得是真的新聞
[00:00:30.800 --> 00:00:31.600]  你舉手好嗎
[00:00:31.600 --> 00:00:34.000]  大家都說是假的
[00:00:34.000 --> 00:00:36.000]  這條是最低級的
[00:00:36.000 --> 00:00:37.400]  很低級的
[00:00:37.400 --> 00:00:38.800]  大家都懶得舉手
[00:00:38.800 --> 00:00:41.000]  第二條娛樂題
[00:00:41.000 --> 00:00:42.200]  有一個Crosser
[00:00:42.200 --> 00:00:43.200]  就是玩Crossplay的人
[00:00:43.200 --> 00:00:45.400]  沒有支付攝影師的工資
[00:00:45.400 --> 00:00:47.600]  結果被公開原版照片
[00:00:47.600 --> 00:00:48.800]  左右兩邊
[00:00:48.800 --> 00:00:50.800]  其實右邊都漂亮的
[00:00:50.800 --> 00:00:52.600]  不過美感是大家不同
[00:00:52.600 --> 00:00:55.000]  你覺得這段新聞是真的請舉手
[00:00:55.000 --> 00:00:56.800]  也有很多
[00:00:56.800 --> 00:00:58.800]  這段新聞是假的請舉手
[00:00:59.600 --> 00:01:01.400]  大家差不多了
[00:01:01.400 --> 00:01:03.800]  其實這段新聞都是假的
[00:01:03.800 --> 00:01:04.800]  都是假的
[00:01:04.800 --> 00:01:06.400]  都是作出來的
[00:01:06.400 --> 00:01:08.400]  這個很重要
[00:01:08.400 --> 00:01:09.600]  關於教會的
[00:01:09.600 --> 00:01:12.000]  有某間教會有位姓梁的牧者
[00:01:12.000 --> 00:01:13.800]  英文名有個C字頭
[00:01:13.800 --> 00:01:16.600]  近來為以前所犯的過錯道歉
[00:01:16.600 --> 00:01:19.800]  並願意為青少年人做個正向的導師
[00:01:19.800 --> 00:01:20.400]  好了
[00:01:20.400 --> 00:01:21.600]  你覺得是真的假的
[00:01:21.600 --> 00:01:22.800]  真的請舉手
[00:01:22.800 --> 00:01:25.000]  真的都這麼多舉手
[00:01:25.000 --> 00:01:26.800]  假的請舉手
[00:01:27.800 --> 00:01:29.800]  你又真又舉假又舉
[00:01:29.800 --> 00:01:33.400]  所以整個天下都在你掌控之中
[00:01:33.400 --> 00:01:35.800]  其實都很難分真假的
[00:01:35.800 --> 00:01:37.000]  你不知道哪有間教會
[00:01:37.000 --> 00:01:38.600]  真的有位姓梁的牧者
[00:01:38.600 --> 00:01:40.200]  真的會為過錯道歉
[00:01:40.200 --> 00:01:41.600]  兼且做導師
[00:01:41.600 --> 00:01:42.400]  很難說的
