
[00:00:00.000 --> 00:00:03.800]  今天也是講詩篇的
[00:00:03.800 --> 00:00:05.300]  因為我很喜歡詩篇
[00:00:05.300 --> 00:00:07.300]  今天的主題是
[00:00:07.300 --> 00:00:09.300]  Shall We Join?
[00:00:09.300 --> 00:00:11.300]  和我的快樂時代
[00:00:11.300 --> 00:00:14.000]  你覺得這兩個歌名有點熟悉嗎?
[00:00:14.000 --> 00:00:16.000]  就是一位男歌手
[00:00:16.000 --> 00:00:18.300]  我們今天不會唱這兩首歌的
[00:00:18.300 --> 00:00:19.500]  放心吧
[00:00:19.500 --> 00:00:21.500]  但我很喜歡詩篇
[00:00:21.500 --> 00:00:25.500]  因為它是可以中毒和唱的詩篇
[00:00:25.500 --> 00:00:28.500]  其實詩篇有很多類型的詩
[00:00:28.500 --> 00:00:35.000]  有讚美詩、哀求詩、感恩詩、智慧詩、君王詩
[00:00:35.000 --> 00:00:38.000]  今天我們會看金詩
[00:00:38.000 --> 00:00:39.500]  什麼是金詩?
[00:00:39.500 --> 00:00:41.000]  稍後再解釋
[00:00:41.000 --> 00:00:43.000]  並且今天的詩篇不單止是金詩
[00:00:43.000 --> 00:00:45.500]  還要是信教詩
[00:00:45.500 --> 00:00:48.000]  很多信徒都喜歡讀詩篇
[00:00:48.000 --> 00:00:50.000]  有沒有人也喜歡讀詩篇?
[00:00:50.000 --> 00:00:51.000]  可不可以?
[00:00:51.000 --> 00:00:53.000]  是呀,很開心
[00:00:53.000 --> 00:00:56.500]  我剛剛上季教了一個主要學
[00:00:56.500 --> 00:01:00.000]  就是默想詩篇與神對話
[00:01:00.000 --> 00:01:03.000]  網上試的,星期四問
[00:01:03.000 --> 00:01:05.000]  誰知有70人報名
[00:01:05.000 --> 00:01:07.000]  我覺得大家弟兄姊妹
[00:01:07.000 --> 00:01:09.000]  其實都很學慕神的話語
[00:01:09.000 --> 00:01:10.500]  而且很喜歡詩篇
[00:01:10.500 --> 00:01:12.500]  當中我們默想的時候
[00:01:12.500 --> 00:01:14.500]  大家都有很多得著
[00:01:14.500 --> 00:01:16.500]  為什麼這麼多信徒喜歡詩篇呢?
[00:01:16.500 --> 00:01:18.500]  有聖經學者就會說
[00:01:18.500 --> 00:01:21.500]  因為詩篇幫助我們親近神
