
[00:00:00.000 --> 00:00:03.880]  讓我們開始領受神的話,以致我們一起祈禱
[00:00:03.880 --> 00:00:07.520]  天主神,很感謝你
[00:00:07.520 --> 00:00:11.720]  藉著剛才一首詩歌提醒我們
[00:00:11.720 --> 00:00:14.800]  進入迦南地雖然不容易
[00:00:14.800 --> 00:00:17.680]  但沿途都有你的帶領
[00:00:17.680 --> 00:00:20.320]  所以我們可以昂首前進
[00:00:20.320 --> 00:00:22.040]  不單止如此
[00:00:22.040 --> 00:00:25.240]  我們還有弟兄姊妹和我們一起前進
[00:00:25.240 --> 00:00:27.280]  所以無論發生什麼事的時候
[00:00:27.280 --> 00:00:29.280]  我們知道不用懼怕
[00:00:29.280 --> 00:00:31.720]  更重要的是我們可以留意到的
[00:00:31.720 --> 00:00:33.720]  就是你給我們滿滿的恩典
[00:00:33.720 --> 00:00:35.920]  求神你也藉著一會
[00:00:35.920 --> 00:00:39.200]  我們一起領受你的話語去提醒我們
[00:00:39.200 --> 00:00:42.400]  可以怎樣一起為神做大事
[00:00:42.400 --> 00:00:44.800]  一起去經歷神你的信實
[00:00:44.800 --> 00:00:46.800]  你的恩典,你的應許
[00:00:46.800 --> 00:00:48.800]  感謝神你聽我們的祈禱
[00:00:48.800 --> 00:00:50.800]  祈禱是奉主耶穌得勝的名球
[00:00:50.800 --> 00:00:52.800]  阿們
[00:00:52.800 --> 00:00:56.800]  很感恩今天有機會
[00:00:56.800 --> 00:00:58.800]  可以跟大家分享神的話語
[00:00:59.800 --> 00:01:01.800]  弟兄姊妹我想問你
[00:01:01.800 --> 00:01:06.800]  當人們說到為神做大事的時候
[00:01:06.800 --> 00:01:08.800]  你會想到什麼呢?
[00:01:08.800 --> 00:01:13.800]  可能你會想到一些報道家
[00:01:13.800 --> 00:01:15.800]  好像葛培里
[00:01:15.800 --> 00:01:19.800]  又或者是來到中國宣教的戴德生、馬利信
[00:01:19.800 --> 00:01:22.800]  或者一些很有影響力的牧者
[00:01:22.800 --> 00:01:25.800]  好像鮑如元牧師、鮑維駒牧師
[00:01:25.800 --> 00:01:27.800]  還有蘇永志牧師等等
[00:01:27.800 --> 00:01:31.800]  沒錯,當我們提到為神做大事的人
[00:01:31.800 --> 00:01:34.800]  我們很自然地想到一些很出名
[00:01:34.800 --> 00:01:36.800]  人人都認識的名字
[00:01:36.800 --> 00:01:38.800]  因為這是我們身處的社會
[00:01:38.800 --> 00:01:40.800]  對偉大的定義
[00:01:40.800 --> 00:01:42.800]  然而在神的國度
[00:01:42.800 --> 00:01:46.800]  偉大的定義卻往往和世界的定義
[00:01:46.800 --> 00:01:48.800]  是有天淵之別的
[00:01:48.800 --> 00:01:50.800]  在神的國度
[00:01:50.800 --> 00:01:53.800]  只有神是最偉大
[00:01:53.800 --> 00:01:55.800]  然而每一個基督徒
[00:01:55.800 --> 00:01:58.800]  都可以為神做大事
[00:01:58.800 --> 00:02:02.800]  因此我們經常在聖經裡看到
[00:02:02.800 --> 00:02:04.800]  有很多重大的事
[00:02:04.800 --> 00:02:06.800]  神不一定會使用一些
[00:02:06.800 --> 00:02:08.800]  在當時被認為很有能力
[00:02:08.800 --> 00:02:10.800]  很有名望的人去完成
[00:02:10.800 --> 00:02:12.800]  相反的
[00:02:12.800 --> 00:02:17.800]  神會使用一些世人體力身份很低微的人
[00:02:17.800 --> 00:02:19.800]  去作祂的功
[00:02:19.800 --> 00:02:21.800]  就好像舊約那兩位
[00:02:21.800 --> 00:02:25.800]  沒有照著埃及法老的吩咐
[00:02:25.800 --> 00:02:28.800]  將以色列人初生的英孩男嬰
[00:02:28.800 --> 00:02:30.800]  殺死的修生婆一樣
[00:02:30.800 --> 00:02:31.800]  還有新約
[00:02:31.800 --> 00:02:34.800]  那個將自己僅有的五餅二魚
[00:02:34.800 --> 00:02:39.800]  獻上拿出來和全場的人分享的小孩一樣
[00:02:39.800 --> 00:02:42.800]  他們沒有想過自己幫到多少
[00:02:42.800 --> 00:02:43.800]  只是很單純地
[00:02:43.800 --> 00:02:45.800]  憑著神給他們的良心
[00:02:45.800 --> 00:02:48.800]  做他們當時可以做的事
[00:02:48.800 --> 00:02:52.800]  神就藉著他們和其他屬神的人
[00:02:52.800 --> 00:02:54.800]  一起去完成
[00:02:54.800 --> 00:02:56.800]  去國度的大事
[00:02:56.800 --> 00:03:00.800]  今天又讓我們一起看看
[00:03:00.800 --> 00:03:02.800]  在舊約列王記時代
[00:03:02.800 --> 00:03:04.800]  神是如何使用一位
[00:03:04.800 --> 00:03:06.800]  出名的先知
[00:03:06.800 --> 00:03:07.800]  以尼沙
[00:03:07.800 --> 00:03:10.800]  和另一位連名字都沒有
