
[00:00:00.000 --> 00:00:02.660]  我們開始今天的講道
[00:00:02.660 --> 00:00:06.620]  我今天講道的題目叫做Lost and Found
[00:00:06.620 --> 00:00:08.620]  即是失物認領處
[00:00:08.620 --> 00:00:14.720]  是不是所有東西都可以在失物認領處找得到呢?
[00:00:14.720 --> 00:00:19.720]  有沒有一些東西不見了,是找不到的呢?
[00:00:19.720 --> 00:00:22.520]  我不知道,如果有些人
[00:00:22.520 --> 00:00:26.020]  他Lose temper
[00:00:26.020 --> 00:00:28.020]  或者他很Lost
[00:00:28.020 --> 00:00:30.020]  或者他Lost mind
[00:00:30.020 --> 00:00:36.020]  這些又不知道在失物認領處找不找得到
[00:00:36.020 --> 00:00:39.020]  又或者如果在信仰上面
[00:00:39.020 --> 00:00:43.020]  我們都有些東西流失了,失去了
[00:00:43.020 --> 00:00:48.020]  可能是失去了信仰的熱情、熱心
[00:00:48.020 --> 00:00:52.020]  失去了積極、失去了投入
[00:00:52.020 --> 00:00:55.020]  失去了真理的立場
[00:00:55.020 --> 00:00:57.020]  失去了關係
[00:00:57.020 --> 00:01:00.020]  甚至失去了愛上帝的初心
[00:01:00.020 --> 00:01:04.020]  不知道能不能找得到呢?
[00:01:04.020 --> 00:01:09.020]  又或者什麼原因令我們失去了這些東西
[00:01:09.020 --> 00:01:12.020]  這些重要的東西
[00:01:12.020 --> 00:01:14.020]  不見了的物件
[00:01:14.020 --> 00:01:18.020]  可能真的可以在失物認領處找到
[00:01:18.020 --> 00:01:21.020]  再不然,買過都可以的
[00:01:21.020 --> 00:01:25.020]  不過失去信仰的熱情和初心
[00:01:25.020 --> 00:01:29.020]  失去了基督徒應有的生命特質
[00:01:29.020 --> 00:01:31.020]  又如何找得到呢?
[00:01:31.020 --> 00:01:33.020]  如何可以找得到呢?
[00:01:33.020 --> 00:01:37.020]  如果不見了,有它,又可不可以呢?
[00:01:37.020 --> 00:01:41.020]  今天很想繼續透過尼熙米的生命
[00:01:41.020 --> 00:01:45.020]  讓我們在當中看看有什麼提醒
[00:01:45.020 --> 00:01:49.020]  或者在當中找到一些答案和出路
[00:01:49.020 --> 00:01:53.020]  今天的經文是尼熙米十三章的七到十四節
[00:01:53.020 --> 00:01:57.020]  也邀請大家一起讀出以下的經文
[00:01:57.020 --> 00:01:59.020]  好,預備起
[00:01:59.020 --> 00:02:01.020]  我來到耶路撒冷
[00:02:01.020 --> 00:02:05.020]  才知道以利亞什維多比亞所造
[00:02:05.020 --> 00:02:07.020]  在神殿的院內
[00:02:07.020 --> 00:02:11.020]  為他預備屋子的那件惡事
[00:02:11.020 --> 00:02:15.020]  我起身於墾囊,就打倒地下的一家人
[00:02:15.020 --> 00:02:17.020]  到重紅之旅跑出去
[00:02:17.020 --> 00:02:21.020]  我有吩咐人們見識這件事
[00:02:21.020 --> 00:02:23.020]  然後將身邊的氣味
[00:02:23.020 --> 00:02:26.020]  塑製和其他人的污穢和大量
[00:02:26.020 --> 00:02:28.020]  我懷疑你們的人
[00:02:28.020 --> 00:02:31.020]  幫得了你們的父母和母親和家人
[00:02:31.020 --> 00:02:33.020]  甚至公職的你們的人
[00:02:33.020 --> 00:02:35.020]  結果卻被我所吩咐的
[00:02:35.020 --> 00:02:37.020]  不知情的你們的人滅
[00:02:37.020 --> 00:02:40.020]  我周子散和張雪
[00:02:40.020 --> 00:02:43.020]  你們為我不可信的你們的人
[00:02:43.020 --> 00:02:45.020]  只算我接受你們的人
[00:02:45.020 --> 00:02:48.020]  始終還不將自己的光輝上公席
[00:02:48.020 --> 00:02:51.020]  由大眾人就打倒
[00:02:51.020 --> 00:02:55.020]  深受我身為十分之一的寵人的苦惑
[00:02:55.020 --> 00:02:57.020]  我大使你們的恩人
[00:02:57.020 --> 00:02:59.020]  真是自知十分之深
[00:02:59.020 --> 00:03:02.020]  至於我給你們的家人
[00:03:02.020 --> 00:03:04.020]  作私護和給予我
[00:03:04.020 --> 00:03:06.020]  本受司大夫
[00:03:06.020 --> 00:03:08.020]  大日司三百多年之年
[00:03:08.020 --> 00:03:11.020]  殺不屍馬化的你們的兒子
[00:03:11.020 --> 00:03:13.020]  這四天都試圖親力
[00:03:13.020 --> 00:03:15.020]  打破敵席的安屍
[00:03:15.020 --> 00:03:18.020]  混帶大門大廈的所有人
[00:03:18.020 --> 00:03:21.020]  我一生下台為你們的姐姐
[00:03:21.020 --> 00:03:22.020]  自己的典範
[00:03:22.020 --> 00:03:24.020]  若要祷祷他們愛神的典範
[00:03:24.020 --> 00:03:26.020]  願你們將他們為之所念
[00:03:26.020 --> 00:03:27.020]  多謝
[00:03:27.020 --> 00:03:29.020]  向我們的同地頭禱告
[00:03:29.020 --> 00:03:32.020]  天父上帝我們要禱告你
[00:03:32.020 --> 00:03:33.020]  天父啊
[00:03:33.020 --> 00:03:34.020]  求你
[00:03:34.020 --> 00:03:35.020]  透過經文
[00:03:35.020 --> 00:03:38.020]  再一次去教導我們
[00:03:38.020 --> 00:03:39.020]  聖靈啊
[00:03:39.020 --> 00:03:41.020]  願你在我們生命裏面繼續去工作
[00:03:41.020 --> 00:03:42.020]  讓我們
[00:03:42.020 --> 00:03:44.020]  不只是認識一些知識
[00:03:44.020 --> 00:03:46.020]  一些大道理
[00:03:46.020 --> 00:03:48.020]  而是讓我們認認真真地
[00:03:48.020 --> 00:03:50.020]  去面對我們的生命
[00:03:50.020 --> 00:03:52.020]  並且願意靠著聖靈
[00:03:52.020 --> 00:03:54.020]  能夠去實踐這些真理
[00:03:54.020 --> 00:03:56.020]  多謝主聽我們的祈禱
[00:03:56.020 --> 00:03:57.020]  我們這樣祈禱交託
[00:03:57.020 --> 00:03:59.020]  奉耶穌基督的名祈求
[00:03:59.020 --> 00:04:01.020]  阿們
[00:04:01.020 --> 00:04:02.020]  尼西米
[00:04:02.020 --> 00:04:05.020]  在亞達舍西王二十年的時候
[00:04:05.020 --> 00:04:07.020]  第一次回耶路撒冷
[00:04:07.020 --> 00:04:08.020]  如果大家有印象
[00:04:08.020 --> 00:04:09.020]  應該記得
[00:04:09.020 --> 00:04:10.020]  當時很厲害
[00:04:10.020 --> 00:04:13.020]  波斯王恩准他回耶路撒冷
[00:04:13.020 --> 00:04:14.020]  重建家園
[00:04:14.020 --> 00:04:16.020]  還給他材料
[00:04:16.020 --> 00:04:18.020]  還給他通行證
[00:04:18.020 --> 00:04:19.020]  尼西米
[00:04:19.020 --> 00:04:22.020]  一流留在耶路撒冷
[00:04:22.020 --> 00:04:24.020]  12年那麼久
[00:04:24.020 --> 00:04:26.020]  重建好家園
[00:04:26.020 --> 00:04:27.020]  重建城牆
[00:04:27.020 --> 00:04:29.020]  並且帶領以色列人
[00:04:29.020 --> 00:04:31.020]  做一次謹守神的律法
[00:04:31.020 --> 00:04:33.020]  重新憲制
[00:04:33.020 --> 00:04:34.020]  敬拜
[00:04:34.020 --> 00:04:35.020]  帶來以色列人
[00:04:35.020 --> 00:04:38.020]  在宗教上的一個很大的復興
[00:04:38.020 --> 00:04:40.020]  不單回歸英許地
[00:04:40.020 --> 00:04:44.020]  更重要的是回歸上帝的心意
[00:04:44.020 --> 00:04:45.020]  在亞達舍西
[00:04:45.020 --> 00:04:47.020]  32年的時候
[00:04:47.020 --> 00:04:51.020]  尼西米被波斯王召回波斯
[00:04:51.020 --> 00:04:54.020]  之後耶路撒冷就出現了一些狀況
[00:04:54.020 --> 00:04:57.020]  以色列人對上帝的心
[00:04:57.020 --> 00:04:59.020]  對律法的要求
[00:04:59.020 --> 00:05:01.020]  開始鬆懈了
[00:05:01.020 --> 00:05:04.020]  在尼西米回到波斯之後
[00:05:04.020 --> 00:05:06.020]  可能是幾年後
[00:05:06.020 --> 00:05:08.020]  就收到一個消息
[00:05:08.020 --> 00:05:10.020]  就是管聖殿倉庫的
[00:05:10.020 --> 00:05:12.020]  那個以利亞祭司
[00:05:12.020 --> 00:05:14.020]  當然這個未必是大祭司
