
[00:00:00.000 --> 00:00:02.640]  敬拜隊帶領我們敬拜
[00:00:02.640 --> 00:00:06.760]  今天敬拜裡面其實都很體會到一樣東西
[00:00:06.760 --> 00:00:09.440]  上帝的榮耀真的很好
[00:00:09.440 --> 00:00:10.120]  好得無比
[00:00:10.120 --> 00:00:13.720]  以致我們心底裡從心而發很想去敬拜祂
[00:00:13.720 --> 00:00:17.240]  過去David牧師教我們敬拜的時候
[00:00:17.240 --> 00:00:19.080]  其實都不斷提醒我們一樣東西
[00:00:19.080 --> 00:00:19.640]  就是
[00:00:19.640 --> 00:00:21.080]  沒問題吧?沒事
[00:00:21.080 --> 00:00:23.840]  我看你忙了
[00:00:23.840 --> 00:00:26.680]  David牧師告訴我們
[00:00:26.680 --> 00:00:28.560]  敬拜是什麼一回事的時候
[00:00:28.560 --> 00:00:30.360]  他說最重要的一件事
[00:00:30.360 --> 00:00:33.040]  是人要認定自己的位置
[00:00:33.040 --> 00:00:35.520]  我們回到上帝的榮耀裡面
[00:00:35.520 --> 00:00:37.440]  其實我們要體會到自己渺小
[00:00:37.440 --> 00:00:40.120]  生命裡面才有很多東西可以放在手上
[00:00:40.120 --> 00:00:41.320]  讓上帝去工作
[00:00:41.320 --> 00:00:42.800]  讓上帝去拖大
[00:00:42.800 --> 00:00:44.680]  原來在敬拜裡面
[00:00:44.680 --> 00:00:48.840]  才要認定上帝是一個多麼偉大和奇妙的神
[00:00:48.840 --> 00:00:50.640]  所以今天我們敬拜裡面
[00:00:50.640 --> 00:00:52.480]  盼望你都可以去拿到一些東西
[00:00:52.480 --> 00:00:53.520]  可以提醒自己
[00:00:53.520 --> 00:00:58.040]  面對考試、功課、困難、挑戰的時候
[00:00:58.040 --> 00:01:00.880]  你要認定上帝是一個怎樣的神
[00:01:00.880 --> 00:01:02.320]  不如我們開始裡面
[00:01:02.320 --> 00:01:03.560]  我們先祈禱
[00:01:03.560 --> 00:01:04.560]  一起
[00:01:04.560 --> 00:01:07.760]  上帝天父很感謝你
[00:01:07.760 --> 00:01:08.760]  帶領我們
[00:01:08.760 --> 00:01:11.320]  讓我們可以去作你的子民
[00:01:11.320 --> 00:01:13.080]  可以回到你的裡面
[00:01:13.080 --> 00:01:14.080]  可以親近你
[00:01:14.080 --> 00:01:15.600]  主一這一切都是我們不配
[00:01:15.600 --> 00:01:16.600]  但我們感謝你
[00:01:16.600 --> 00:01:18.400]  你就是這樣呼召我們
[00:01:18.400 --> 00:01:20.320]  回到你的裡面
[00:01:20.320 --> 00:01:21.680]  主一求你的話語
[00:01:21.680 --> 00:01:22.520]  帶領我們
[00:01:22.520 --> 00:01:23.200]  拖大我們
[00:01:23.200 --> 00:01:25.520]  以致到我們生命可以更新
[00:01:25.520 --> 00:01:26.160]  可以改變
[00:01:26.160 --> 00:01:27.200]  主一感謝你
[00:01:27.200 --> 00:01:28.200]  基督交托
[00:01:28.200 --> 00:01:29.640]  奉主耶穌基督的名義祈求
[00:01:29.640 --> 00:01:30.640]  阿門
[00:01:30.640 --> 00:01:35.120]  那天說一點我們家裡的趣事給大家聽
[00:01:35.120 --> 00:01:36.400]  過去這一年
[00:01:36.400 --> 00:01:38.760]  我們家裡突然多了一個傳統
[00:01:38.760 --> 00:01:41.000]  就是叫Movie Night的一件事
[00:01:41.000 --> 00:01:42.720]  就是晚上一起看電影
[00:01:42.720 --> 00:01:45.840]  這件事一開始都挺開心的
[00:01:45.840 --> 00:01:48.080]  大家不知道你們幻想會幻想得怎樣
[00:01:48.080 --> 00:01:50.440]  大家拿著一張走模皮
[00:01:50.440 --> 00:01:51.400]  然後蓋著
[00:01:51.400 --> 00:01:52.200]  吃著爆谷
[00:01:52.200 --> 00:01:53.200]  然後看電影
