
[00:00:00.000 --> 00:00:02.360]  在我們今天開始正道之先
[00:00:02.360 --> 00:00:04.360]  我們一起來到神面前禱告
[00:00:04.360 --> 00:00:05.960]  將以下聖餐交給神
[00:00:05.960 --> 00:00:12.760]  請阿彌陀佛來感謝祢
[00:00:12.760 --> 00:00:17.560]  因為祢的說話歷久常新
[00:00:17.560 --> 00:00:22.920]  祢常常用祢的說話來帶領我們
[00:00:22.920 --> 00:00:27.360]  成為我們腳前的燈、路上的光
[00:00:27.840 --> 00:00:31.120]  願祢去預備我們眾人的心
[00:00:31.120 --> 00:00:34.240]  讓無論說的、聽的
[00:00:34.240 --> 00:00:36.040]  都是同感一靈
[00:00:36.040 --> 00:00:39.920]  將祢的說話傳入我們的心裡面
[00:00:39.920 --> 00:00:42.320]  遊行在我們的生活當中
[00:00:42.320 --> 00:00:45.760]  帶領我們以下時間聽我們祈禱
[00:00:45.760 --> 00:00:48.600]  是奉耶穌基督得聖名求
[00:00:48.600 --> 00:00:49.600]  阿們
[00:00:49.600 --> 00:00:53.240]  今天跟大家分享的題目就是
[00:00:53.240 --> 00:00:55.240]  作過會禱告的人
[00:00:55.680 --> 00:00:57.880]  而我們所分享的經文是
[00:00:57.880 --> 00:01:00.400]  《馬來福音》第六章九到十三節
[00:01:00.400 --> 00:01:02.760]  是非常熟悉的一段經文
[00:01:02.760 --> 00:01:05.320]  我們先來讀這段經文
[00:01:05.320 --> 00:01:07.840]  預備起
[00:01:07.840 --> 00:01:11.480]  「所以你們要這樣禱告
[00:01:11.480 --> 00:01:13.880]  我們在天上的乎
[00:01:13.880 --> 00:01:16.880]  願人都尊你的名為聖
[00:01:16.880 --> 00:01:18.960]  願你的國降臨
[00:01:18.960 --> 00:01:21.880]  願你的旨意行在地上
[00:01:21.880 --> 00:01:24.160]  如同行在天上
[00:01:24.400 --> 00:01:26.200]  我們日用的飲食
[00:01:26.200 --> 00:01:28.280]  今日賜給我們
[00:01:28.280 --> 00:01:29.960]  免我們的債
[00:01:29.960 --> 00:01:32.800]  如同我們免了人的債
[00:01:32.800 --> 00:01:35.400]  不叫我們遇見試探
[00:01:35.400 --> 00:01:38.280]  救我們脫離空殼者
