
[00:00:00.000 --> 00:00:12.000]  大家好,很開心今天可以來到廣東話的CYE跟大家分享整個華語
[00:00:12.000 --> 00:00:20.000]  我不知道你們聽我能不能明白我說什麼,我是台灣人,所以我的廣東話有一點點不同
[00:00:20.000 --> 00:00:25.000]  希望大家今天能夠明白我,透過整個幫助能夠明白我
[00:00:25.000 --> 00:00:34.000]  今天我的經文在菲律賓書第二章的五到十一節,可不可以幫我讀一下經文
[00:00:34.000 --> 00:00:39.000]  如果你有聖經的話,或者有Apps也可以打開的
[00:00:39.000 --> 00:00:42.000]  1,2,3,OK
[00:00:42.000 --> 00:01:11.000]  (聽不懂)
[00:01:11.000 --> 00:01:25.000]  (聽不懂)
[00:01:25.000 --> 00:01:28.000]  好,我們開始之前先祈禱好嗎
[00:01:28.000 --> 00:01:48.000]  (聽不懂)
[00:01:48.000 --> 00:02:02.000]  (聽不懂)
[00:02:02.000 --> 00:02:23.000]  (聽不懂)
[00:02:23.000 --> 00:02:34.000]  (聽不懂)
[00:02:34.000 --> 00:03:01.000]  (聽不懂)
[00:03:01.000 --> 00:03:14.000]  (聽不懂)
[00:03:14.000 --> 00:03:41.000]  (聽不懂)
[00:03:41.000 --> 00:04:06.000]  (聽不懂)
[00:04:06.000 --> 00:04:25.000]  (聽不懂)
[00:04:25.000 --> 00:04:52.000]  (聽不懂)
[00:04:52.000 --> 00:05:13.000]  (聽不懂)
[00:05:13.000 --> 00:05:27.000]  (聽不懂)
[00:05:27.000 --> 00:05:55.000]  (聽不懂)
[00:05:55.000 --> 00:06:15.000]  (聽不懂)
[00:06:15.000 --> 00:06:42.000]  (聽不懂)
[00:06:42.000 --> 00:07:00.000]  (聽不懂)
[00:07:00.000 --> 00:07:13.000]  (聽不懂)
[00:07:13.000 --> 00:07:33.000]  (聽不懂)
[00:07:33.000 --> 00:07:47.000]  (聽不懂)
[00:07:47.000 --> 00:08:02.000]  (聽不懂)
[00:08:02.000 --> 00:08:23.000]  (聽不懂)
[00:08:23.000 --> 00:08:50.000]  (聽不懂)
[00:08:50.000 --> 00:09:14.000]  (聽不懂)
[00:09:14.000 --> 00:09:42.000]  (聽不懂)
[00:09:42.000 --> 00:09:57.000]  (聽不懂)
[00:09:57.000 --> 00:10:14.000]  (聽不懂)
[00:10:14.000 --> 00:10:33.000]  (聽不懂)
[00:10:33.000 --> 00:10:52.000]  (聽不懂)
[00:10:52.000 --> 00:11:06.000]  (聽不懂)
[00:11:06.000 --> 00:11:28.000]  (聽不懂)
[00:11:28.000 --> 00:11:52.000]  (聽不懂)
[00:11:52.000 --> 00:12:20.000]  (聽不懂)
[00:12:20.000 --> 00:12:37.000]  (聽不懂)
[00:12:37.000 --> 00:13:01.000]  (聽不懂)
[00:13:01.000 --> 00:13:16.000]  (聽不懂)
[00:13:16.000 --> 00:13:33.000]  (聽不懂)
[00:13:33.000 --> 00:13:56.000]  (聽不懂)
[00:13:56.000 --> 00:14:13.000]  (聽不懂)
[00:14:13.000 --> 00:14:41.000]  (聽不懂)
[00:14:41.000 --> 00:14:55.000]  (聽不懂)
[00:14:55.000 --> 00:15:19.000]  (聽不懂)
[00:15:19.000 --> 00:15:30.000]  (聽不懂)
[00:15:30.000 --> 00:15:56.000]  (聽不懂)
[00:15:56.000 --> 00:16:10.000]  (聽不懂)
[00:16:10.000 --> 00:16:29.000]  (聽不懂)
[00:16:29.000 --> 00:16:57.000]  (聽不懂)
[00:16:57.000 --> 00:17:13.000]  (聽不懂)
[00:17:13.000 --> 00:17:34.000]  (聽不懂)
