
[00:00:00.000 --> 00:00:05.900]  原來我三年沒有來「父宗崇拜」講道
[00:00:05.900 --> 00:00:09.640]  不知道大家在過去三年在疫情當中如何呢?
[00:00:09.640 --> 00:00:13.880]  在過去三年我學習了一件很重要的事情
[00:00:13.880 --> 00:00:15.300]  叫做「明辨」
[00:00:15.300 --> 00:00:17.300]  即是如何去分辨神的心意
[00:00:17.300 --> 00:00:18.580]  我學了之後
[00:00:18.580 --> 00:00:23.000]  在這三年裏開了四次主日學
[00:00:23.000 --> 00:00:25.000]  叫做「如何分辨神的心意」
[00:00:25.000 --> 00:00:27.000]  亦帶了幾個退休
[00:00:27.000 --> 00:00:31.000]  弟兄姐妹都很想知道如何分辨神的心意
[00:00:31.000 --> 00:00:33.000]  如何聆聽神的聲音
[00:00:33.000 --> 00:00:35.000]  他們通常都有一個問題
[00:00:35.000 --> 00:00:38.000]  就是我聽到這些內心的聲音
[00:00:38.000 --> 00:00:45.000]  我怎知道這些聲音是來自神、魔鬼還是自己呢?
[00:00:45.000 --> 00:00:49.000]  於是我就預備了一篇講道
[00:00:49.000 --> 00:00:50.000]  就是這次的講題
[00:00:50.000 --> 00:00:54.000]  「分辨內心的聲音來自神、自己還是魔鬼?」
[00:00:54.000 --> 00:00:56.000]  你想不想知道如何去分辨?
[00:00:56.000 --> 00:00:57.000]  想呀
[00:00:57.000 --> 00:00:59.000]  但是我們要先了解一下
[00:00:59.000 --> 00:01:04.000]  究竟我們一天有多少這些內心的聲音浮現出來呢?
[00:01:04.000 --> 00:01:06.000]  可能是聽到的聲音
[00:01:06.000 --> 00:01:08.000]  或者是聽不到的
[00:01:08.000 --> 00:01:10.000]  一些心裏面的意念
[00:01:10.000 --> 00:01:11.000]  可能是看了廣告
[00:01:11.000 --> 00:01:12.000]  然後很想買
[00:01:12.000 --> 00:01:15.000]  這個意念都算是一個內心的聲音
[00:01:15.000 --> 00:01:20.000]  你猜平均一天一個人有多少個意念呢?
[00:01:20.000 --> 00:01:22.000]  不知道多少千、多少萬
[00:01:22.000 --> 00:01:25.000]  萬二至六萬個
[00:01:25.000 --> 00:01:28.000]  但是你時時刻刻都有很多這些內心的聲音
[00:01:28.000 --> 00:01:31.000]  這些心裏面的意念浮現出來
[00:01:31.000 --> 00:01:33.000]  所以分辨重不重要?
