
[00:00:00.000 --> 00:00:06.000]  梁美芬議員
[00:00:30.000 --> 00:00:40.000]  主持人:各位網友,各位觀眾,在螢幕上與我們一起敬拜,我們都很歡迎您。
[00:00:40.000 --> 00:00:58.000]  主持人:今天我們會講主耶穌是從天上來到世界的真光,剛才那三首詩歌都有關聯。我們先低頭禱告。
[00:00:58.000 --> 00:01:09.000]  主持人:阿爸、父神,多謝您理智下的啟示,讓我們在聖經裏面知道主耶穌基督是哪一位,對我們的生命有什麼幫助。
[00:01:09.000 --> 00:01:24.000]  主持人:所以今天願意我們講的聽的,都能夠同感一靈,藉著您給我們的啟示,我們的生命得著,給您光照和滋潤。我們這樣祈禱,奉主耶穌基督的名字而求。阿們。
[00:01:24.000 --> 00:01:34.000]  主持人:不知道有沒有人試過在很黑的地方行走,有吧?你的感覺是怎樣的?
[00:01:54.000 --> 00:02:08.000]  主持人:那時候真的很徬徨,很害怕,一直都不知道該怎麼辦,直到在路邊看到有房子,有一些光,才覺得安全一些,鬆了一口氣。
[00:02:08.000 --> 00:02:24.000]  主持人:有一次,有隻螞蟻走進了我的耳窩裏面,牠就很害怕,亂碰亂撞在我的耳窩裏面,弄得我的耳膜很痛,但是牠怎樣撞都逃不出生天。
[00:02:24.000 --> 00:02:42.000]  主持人:我記得有一篇文章說過,如果有昆蟲進了耳朵,你就可以用電筒把光照進去,昆蟲就會跑出來了,於是我就馬上做了,那隻螞蟻就跟著我一照,牠就跑出來了。
[00:02:42.000 --> 00:03:02.000]  主持人:牠一走出我的耳窩,我最記得在耳殼我馬上撥走牠,牠就馬上跑走了。其實我們在黑暗裏面真的很需要避光照,但是有誰可以引領我們在人生裏面由黑暗走進光明呢?
[00:03:02.000 --> 00:03:16.000]  主持人:主耶穌有一個宣告,剛才在崇拜開始最先的時候,多多已經跟我們讀了,我們再讀多一次好不好?
[00:03:32.000 --> 00:03:50.000]  主持人:其實事途若寒,記述耶穌說這個宣告的時候是發生在主彭節的,主彭節是紀念以色列人離開埃及的時候,上帝用雲柱和火柱去引領他們。
[00:03:50.000 --> 00:04:07.000]  主持人:在主彭節的第一個晚上,聖殿的女院就會有四個很大型的燭台,就會點起這四個燭台,這個儀式叫做聖殿的光輝。
[00:04:20.000 --> 00:04:44.000]  主持人:第二天雞蹄的時候,利美人就會吹號角呼籲人去敬拜上帝,以色列他們被認為最聖潔、最有智慧、最偉大的人,就會拿著火柱一路跳舞、唱頌讚美的詩篇,而以色列人就很開心地在場觀禮。
[00:04:50.000 --> 00:05:12.000]  主持人:第八章二十節,在聖殿的庫房做這個宣告,聖殿的庫房可能是指導女院擺放奉獻箱的地方,耶穌宣告說:我是世界的光,一切人為的光都會熄滅的,唯有我是永不熄滅的真光。
[00:05:20.000 --> 00:05:32.000]  主持人:第八章十三到二十九節,就記載著他們對耶穌的指控、諷刺,而耶穌也跟他們解釋或者反駁。
[00:05:50.000 --> 00:06:07.000]  主持人:所以在十七節,耶穌就說:你們的律法也記載著,兩個人的見證才算為真。
[00:06:20.000 --> 00:06:28.000]  主持人:我知道我從哪裡來,以及將會去到哪裡,你們卻不知道我從哪裡來,以及將會去到哪裡。
[00:06:50.000 --> 00:06:56.000]  主持人:他從哪裡來,以及將會去到哪裡,會證明他說的話是真的,是世界的真光呢?
[00:06:56.000 --> 00:07:08.000]  主持人:在啟示錄第二十一章第八節,就說:一切說謊話的人,他們將會燒著流亡的火壺裡面有份,這是第二次的死。
[00:07:08.000 --> 00:07:18.000]  主持人:換言之,說謊話的人根本不能回到天上去,不能上天堂的,但是耶穌能夠回天上去,所以他沒有說謊話。
