
[00:00:00.000 --> 00:00:09.520]  開始的時候容許我文奏奏跟大家分享唐朝詩人道府的一首詩
[00:00:09.520 --> 00:00:11.520]  叫做《客字》
[00:00:11.520 --> 00:00:16.440]  它描寫有客人來探自己那種開心的心情
[00:00:16.440 --> 00:00:18.920]  詩的最後兩句是這樣的
[00:00:18.920 --> 00:00:26.000]  就是「肯與鄰翁相對飲,隔離夫娶盡如杯」
[00:00:26.000 --> 00:00:34.120]  意思就是問客人你介不介意我叫鄰居一起喝一杯
[00:00:34.120 --> 00:00:40.400]  如果你接受的話我就隔著個籬笆招呼他過來一起喝最後這幾杯
[00:00:40.400 --> 00:00:43.400]  詩人道府一定是很好客的
[00:00:43.400 --> 00:00:48.600]  也跟他隔離屋的鄰居肯定關係非常好
[00:00:48.600 --> 00:00:52.360]  所以興之所至就可以叫他過來說「喝一杯吧」
[00:00:52.360 --> 00:00:56.320]  不過現在在香港的生活環境裡面
[00:00:56.320 --> 00:01:01.920]  鄰居鄰舍之間應該很少會用籬笆來隔著
[00:01:01.920 --> 00:01:04.400]  會不會有啊?可能有啊
[00:01:04.400 --> 00:01:05.400]  但是很少啊
[00:01:05.400 --> 00:01:08.200]  更加多是密封的牆壁
[00:01:08.200 --> 00:01:12.280]  不過廣東話有時候說到鄰居的時候
[00:01:12.280 --> 00:01:15.080]  都仍然會用隔離鄰舍這四個字
[00:01:15.080 --> 00:01:19.200]  不過今時今日我們跟隔離鄰舍
[00:01:19.200 --> 00:01:21.440]  跟鄰舍之間的關係又是怎樣的呢?
[00:01:21.440 --> 00:01:24.520]  會不會都被牆壁隔離了呢?
[00:01:24.520 --> 00:01:30.680]  道府這個性情都令我想起阿加皮一位很好客
[00:01:30.680 --> 00:01:33.880]  又很喜歡喝東西的團友
[00:01:33.880 --> 00:01:37.200]  他都招呼了很多的團友
[00:01:37.200 --> 00:01:39.600]  頂姐妹和導師
[00:01:39.600 --> 00:01:42.400]  我和Monna都去過他家吃飯的
[00:01:42.400 --> 00:01:45.120]  不知道大家猜不猜得到是哪一位呢?
[00:01:45.120 --> 00:01:49.480]  雖然我跟這個團友不是住隔離的
[00:01:49.480 --> 00:01:55.560]  但是我都是同住在香港這個地方的鄰舍
[00:01:55.560 --> 00:01:58.200]  其實不會很遠的
[00:01:58.200 --> 00:01:59.960]  很快就去到另外一個人的家了
[00:01:59.960 --> 00:02:00.960]  在香港
[00:02:00.960 --> 00:02:03.680]  不過因為疫情
[00:02:03.680 --> 00:02:07.080]  我們都有一段時間沒有去到這個團友家裡吃飯
[00:02:07.080 --> 00:02:08.360]  聊天喝東西的了
[00:02:08.360 --> 00:02:11.880]  不知道大家會不會說
[00:02:11.880 --> 00:02:14.520]  這樣都說是鄰舍這麼茅的
[00:02:14.520 --> 00:02:16.040]  不會吧
[00:02:16.040 --> 00:02:18.800]  因為鄰舍的定義可以很闊的
[00:02:18.800 --> 00:02:20.800]  例如我們都會說
[00:02:20.800 --> 00:02:22.120]  荔枝角的街坊
[00:02:22.120 --> 00:02:23.240]  深水埗的街坊
[00:02:23.240 --> 00:02:25.040]  都是我們教會的鄰舍
[00:02:25.040 --> 00:02:26.040]  是不是? 弟兄姊妹
[00:02:26.040 --> 00:02:28.640]  今天的經文
[00:02:28.640 --> 00:02:32.560]  《路加福音》十章二十五至三十七節
[00:02:32.560 --> 00:02:36.520]  正正就是探討鄰舍的定義是什麼
[00:02:36.520 --> 00:02:38.680]  也是福音閱題
[00:02:38.680 --> 00:02:43.760]  福音讓人經歷愛與被愛的道理
[00:02:43.760 --> 00:02:47.680]  我們一起來看看主耶穌有什麼要跟我們說
