
[00:00:00.000 --> 00:00:03.000]  話說有一個水果檔的老闆
[00:00:03.000 --> 00:00:08.200]  他年紀大了,水果檔要傳給別人了
[00:00:08.200 --> 00:00:09.880]  他就貼街招聘人
[00:00:09.880 --> 00:00:11.720]  第一個年青人就來問
[00:00:11.720 --> 00:00:13.120]  你薪水多少
[00:00:13.120 --> 00:00:15.720]  很簡單,他說每天
[00:00:15.720 --> 00:00:19.440]  我發日薪的,每天多少就給你
[00:00:19.440 --> 00:00:20.720]  那怎麼算?
[00:00:20.720 --> 00:00:23.720]  那天賣到多少水果,十分之一就給你了
[00:00:23.720 --> 00:00:29.000]  換句話說,你上老人家,上年青人又如何?
[00:00:29.880 --> 00:00:32.960]  勤力一點,你賣多一點,你就多一點,鼓勵他
[00:00:32.960 --> 00:00:36.520]  年青人就上下打量這個水果檔
[00:00:36.520 --> 00:00:39.480]  夠爛殘,沒那麼多,不行
[00:00:39.480 --> 00:00:44.880]  我猜也不是很多客人,就算你給多少日薪也沒用
[00:00:44.880 --> 00:00:45.880]  他就離開了
[00:00:45.880 --> 00:00:47.800]  第二個年青人
[00:00:47.800 --> 00:00:49.880]  又來問他,你薪水多少
[00:00:49.880 --> 00:00:52.080]  老闆照樣回答他,日薪
[00:00:52.080 --> 00:00:53.480]  你賣到的十分之一
[00:00:53.480 --> 00:00:55.760]  他就問了
[00:00:55.760 --> 00:00:59.160]  你水果檔大概的營業額是多少
[00:00:59.160 --> 00:01:02.360]  這個老闆看見他,聰明
[00:01:02.360 --> 00:01:05.440]  懂得多問一點,就回答他,是這麼多
[00:01:05.440 --> 00:01:07.280]  那個年青人想了一會
[00:01:07.280 --> 00:01:13.160]  再看看那些水果,質素一般,是淘寶水果,不太行
[00:01:13.160 --> 00:01:14.960]  差一點點
[00:01:14.960 --> 00:01:17.760]  而且他又賣得這麼便宜
[00:01:17.760 --> 00:01:20.560]  我想,就算你給我一半也沒用
[00:01:20.560 --> 00:01:23.640]  所以他想了想,應該賺不到大錢,算了,走了
[00:01:23.640 --> 00:01:27.680]  第三個年青人來了
[00:01:27.680 --> 00:01:28.800]  同樣問他
[00:01:29.800 --> 00:01:30.800]  同樣的問題
[00:01:30.800 --> 00:01:33.200]  老闆照樣回答他同樣的答案
[00:01:33.200 --> 00:01:36.000]  這個年青人很聰明,他討價還價
[00:01:36.000 --> 00:01:39.200]  平日日薪十分之一
[00:01:39.200 --> 00:01:43.200]  星期六日和公眾假期,一半給我可以嗎
[00:01:43.200 --> 00:01:47.400]  如果你是老闆你會覺得怎樣
[00:01:47.400 --> 00:01:49.600]  用不著這麼誇張吧
[00:01:49.600 --> 00:01:52.600]  股市怎麼發展呢
[00:01:52.600 --> 00:01:54.400]  我先不說
[00:01:54.400 --> 00:01:57.400]  等一會後面再說,丟下你的癮
[00:01:58.400 --> 00:02:02.200]  究竟老闆怎樣回應這個年青人呢
[00:02:02.200 --> 00:02:06.800]  哇,開天殺價,星期六日公眾假期,要他的一半
[00:02:06.800 --> 00:02:09.800]  究竟這個年青人為什麼這樣做呢
[00:02:09.800 --> 00:02:15.200]  等一會我們再去看,為什麼他會這樣做
[00:02:15.200 --> 00:02:17.000]  老闆又怎樣回應他呢
[00:02:17.000 --> 00:02:22.000]  我們帶他去,都是兩個人的一個故事
[00:02:22.000 --> 00:02:25.800]  就是《盧家福音十八章》
[00:02:26.400 --> 00:02:28.800]  如果你有程序表可以看
[00:02:28.800 --> 00:02:31.800]  但你也可以聽我讀出
[00:02:31.800 --> 00:02:37.200]  今天是聲影畫來有經文的演繹
[00:02:37.200 --> 00:02:38.400]  所以大家留心
[00:02:38.400 --> 00:02:44.800]  《盧家福音十八章》35及43節都是說兩個重要的人物
[00:02:44.800 --> 00:02:48.800]  你可以看看程序表,或者你聽和看都可以
[00:02:51.400 --> 00:02:58.800]  耶穌將近耶利哥的時候,有一個盲人坐在路旁吃飯
[00:02:58.800 --> 00:03:04.800]  他聽到很多人經過,他就問:什麼事啊
[00:03:04.800 --> 00:03:10.800]  他們就跟他說:是拿撒族人耶穌經過
[00:03:10.800 --> 00:03:13.800]  他就很大聲地說
[00:03:13.800 --> 00:03:20.200]  (大衛之子,耶穌你可憐我吧)
[00:03:20.200 --> 00:03:22.200]  (我好醜啊)
[00:03:22.200 --> 00:03:24.200]  (走啊走啊)
[00:03:24.200 --> 00:03:27.200]  (耶穌好忙啊)
[00:03:27.200 --> 00:03:29.200]  走啊走啊
[00:03:29.200 --> 00:03:32.200]  走在前面的人就罵他罵,不准他出聲
[00:03:32.200 --> 00:03:34.200]  但他就越大聲叫
[00:03:34.200 --> 00:03:37.200]  (大衛之子,耶穌你可憐我吧)
[00:03:37.200 --> 00:03:39.200]  (好醜啊)
[00:03:39.200 --> 00:03:41.200]  (我好醜啊)
[00:03:41.200 --> 00:03:43.200]  (好忙啊)
[00:03:44.200 --> 00:03:47.600]  耶穌就站在那裡,吩咐人將他帶過來
[00:03:47.600 --> 00:03:49.000]  (走啊走啊)
[00:03:50.000 --> 00:03:54.400]  (大衛之子,耶穌你可憐我吧)
[00:03:54.400 --> 00:03:56.400]  (我好醜啊)
[00:03:56.400 --> 00:03:58.400]  (走啊走啊)
[00:03:58.400 --> 00:04:00.400]  (我好醜啊)
[00:04:00.400 --> 00:04:02.400]  (我好醜啊)
[00:04:02.400 --> 00:04:04.400]  (我好醜啊)
[00:04:04.400 --> 00:04:06.400]  (我好醜啊)
[00:04:06.400 --> 00:04:08.400]  (我好醜啊)
[00:04:08.400 --> 00:04:10.400]  (我好醜啊)
[00:04:10.400 --> 00:04:12.400]  (我好醜啊)
[00:04:12.400 --> 00:04:14.400]  (我好醜啊)
[00:04:14.400 --> 00:04:16.400]  (我好醜啊)
[00:04:16.400 --> 00:04:18.400]  (我好醜啊)
[00:04:18.400 --> 00:04:19.800]  (我好醜啊)
[00:04:19.800 --> 00:04:23.800]  他來到耶穌跟前,耶穌就問他
[00:04:23.800 --> 00:04:25.800]  (我好醜啊)
[00:04:25.800 --> 00:04:27.800]  (我好醜啊)
[00:04:27.800 --> 00:04:29.800]  耶穌就回答他
[00:04:29.800 --> 00:04:31.800]  (我好醜啊)
[00:04:31.800 --> 00:04:33.800]  (我好醜啊)
[00:04:33.800 --> 00:04:39.800]  那個盲人馬上就看回,他就跟隨耶穌,一路歸榮耀給上帝
[00:04:39.800 --> 00:04:43.800]  眾人看見這件事就讚美上帝了
[00:04:43.800 --> 00:04:49.200]  (掌聲)
[00:04:49.200 --> 00:04:53.200]  好,多謝他們這個很好的演繹
[00:04:53.200 --> 00:04:56.200]  好,很簡單的一段經文
[00:04:56.200 --> 00:04:59.200]  這個主角是一個視像人士
[00:04:59.200 --> 00:05:03.200]  如果你看路加福音,他沒有說的,只是說有一個盲人坐在路旁
[00:05:03.200 --> 00:05:06.200]  我們看馬可福音就會多些補充的資料
[00:05:06.200 --> 00:05:09.200]  他說他的父親抵馬,帶著巴抵馬
[00:05:09.200 --> 00:05:12.200]  來到城門口在這裡吃黑
[00:05:12.800 --> 00:05:14.200]  為什麼會這樣?
[00:05:14.200 --> 00:05:20.200]  當日有殘障的人士,無論是黑眼的,磕腿的等等,都不能進入聖殿
