
[00:00:00.000 --> 00:00:02.520]  我們還有幾天就大年初一?
[00:00:02.520 --> 00:00:05.480]  還有三天而已
[00:00:05.480 --> 00:00:08.800]  不知道你買了新衣服過新年沒有?
[00:00:08.800 --> 00:00:11.680]  現在衣櫃很多衣服
[00:00:11.680 --> 00:00:13.440]  可能很多新衣服都沒穿過
[00:00:13.440 --> 00:00:14.480]  那也不用買了
[00:00:14.480 --> 00:00:15.480]  我們環保
[00:00:15.480 --> 00:00:16.800]  但是不要緊
[00:00:16.800 --> 00:00:20.520]  愛我們的上帝已經為我們每一個人
[00:00:20.520 --> 00:00:22.080]  預備了新衣服
[00:00:22.080 --> 00:00:24.160]  你知道那件新衣服是怎樣的嗎?
[00:00:24.160 --> 00:00:26.720]  白色的
[00:00:26.720 --> 00:00:28.160]  還怎麼形容?
[00:00:28.680 --> 00:00:29.960]  我們今天就看看
[00:00:29.960 --> 00:00:32.320]  神為我們預備了一件新衣服是怎樣的
[00:00:32.320 --> 00:00:34.400]  今天我們是第四個主日
[00:00:34.400 --> 00:00:38.200]  所以繼續會有《已忽所書》的講道系列
[00:00:38.200 --> 00:00:39.960]  全教會的統一主題
[00:00:39.960 --> 00:00:44.120]  我們重溫一下《已忽所書》的大綱
[00:00:44.120 --> 00:00:45.600]  之前說過什麼
[00:00:45.600 --> 00:00:48.160]  很重要第二章就是講到得救
[00:00:48.160 --> 00:00:51.920]  得救本乎因也因著信
[00:00:51.920 --> 00:00:52.280]  是的
[00:00:52.280 --> 00:00:54.200]  藉著信心靠著神的恩典
[00:00:54.200 --> 00:00:55.320]  是一份禮物來的
[00:00:55.320 --> 00:00:56.480]  不是靠自己的
[00:00:56.480 --> 00:00:58.840]  完全是上帝的工作
[00:00:58.840 --> 00:01:00.800]  只要我們相信耶穌基督
[00:01:00.800 --> 00:01:01.480]  我們的罪
[00:01:01.480 --> 00:01:02.840]  釘在十字架上死
[00:01:02.840 --> 00:01:04.040]  相信耶穌基督
[00:01:04.040 --> 00:01:05.440]  從死裡復活
