
[00:00:00.000 --> 00:00:02.000]  謝謝敬拜的隊伍
[00:00:02.000 --> 00:00:04.000]  等一下
[00:00:04.000 --> 00:00:08.000]  帶領我們去敬拜
[00:00:08.000 --> 00:00:10.000]  不知道剛才你祈禱的時候
[00:00:10.000 --> 00:00:12.000]  你看到什麼
[00:00:12.000 --> 00:00:14.000]  當我祈禱的時候
[00:00:14.000 --> 00:00:16.000]  我會想起上帝的愛
[00:00:16.000 --> 00:00:18.000]  過去在我生活上
[00:00:18.000 --> 00:00:20.000]  生命上
[00:00:20.000 --> 00:00:22.000]  怎樣去經歷
[00:00:22.000 --> 00:00:24.000]  鼓勵大家
[00:00:24.000 --> 00:00:26.000]  當我們每個禮拜回來敬拜
[00:00:26.000 --> 00:00:28.000]  為什麼我們有時候唱詩歌
[00:00:28.000 --> 00:00:30.000]  當我們唱起來的時候
[00:00:30.000 --> 00:00:32.000]  可能會感動
[00:00:32.000 --> 00:00:34.000]  我猜是因為我們回想
[00:00:34.000 --> 00:00:36.000]  神在我們生命上的工作
[00:00:36.000 --> 00:00:38.000]  鼓勵大家
[00:00:38.000 --> 00:00:40.000]  當我們唱的時候
[00:00:40.000 --> 00:00:42.000]  我們思想上帝跟我們有關係的時候
[00:00:42.000 --> 00:00:44.000]  我們就會想起很多東西
[00:00:44.000 --> 00:00:46.000]  我們可以發出感恩、發出讚美
[00:00:46.000 --> 00:00:48.000]  所以鼓勵大家一起去嘗試
[00:00:48.000 --> 00:00:50.000]  一起去學習
[00:00:50.000 --> 00:00:52.000]  每個禮拜回來敬拜
[00:00:52.000 --> 00:00:54.000]  今天很想跟大家分享一個題目
[00:00:54.000 --> 00:00:56.000]  分享一個新的詞語
[00:00:56.000 --> 00:00:58.000]  不知道大家有沒有聽過這個詞語
[00:00:58.000 --> 00:01:00.000]  這個詞語叫做「偽椰青」
[00:01:00.000 --> 00:01:02.000]  不是喝得那些椰青
[00:01:02.000 --> 00:01:04.000]  其實是說
[00:01:04.000 --> 00:01:06.000]  跟隨耶穌的青年人
[00:01:06.000 --> 00:01:08.000]  就叫做椰青
[00:01:08.000 --> 00:01:10.000]  這個詞語是由一個字
[00:01:10.000 --> 00:01:12.000]  大家有聽過「偽文青」
[00:01:12.000 --> 00:01:14.000]  應該就會熟悉多一點
[00:01:14.000 --> 00:01:16.000]  我不知道大家
[00:01:16.000 --> 00:01:18.000]  你想起「偽文青」的時候
[00:01:18.000 --> 00:01:20.000]  你想起什麼
[00:01:20.000 --> 00:01:22.000]  可能你會想起一些人
[00:01:22.000 --> 00:01:24.000]  他很有默契
[00:01:24.000 --> 00:01:28.000]  他很有文學氣息
[00:01:28.000 --> 00:01:31.000]  然後穿一些很斯文的衣服
[00:01:31.000 --> 00:01:34.000]  很有感覺地坐在咖啡室上
[00:01:34.000 --> 00:01:36.000]  拖著頭
[00:01:36.000 --> 00:01:38.000]  看著窗戶
[00:01:38.000 --> 00:01:40.000]  拿起一本小說
[00:01:40.000 --> 00:01:42.000]  看著窗戶又看一本書
[00:01:42.000 --> 00:01:44.000]  看著窗戶又看一本書
[00:01:44.000 --> 00:01:46.000]  又拿著一杯咖啡在那邊喝
[00:01:46.000 --> 00:01:49.000]  然後在IG打個卡
[00:01:49.000 --> 00:01:51.000]  拍張好看的照片
[00:01:51.000 --> 00:01:53.000]  不過說得偽
[00:01:53.000 --> 00:01:55.000]  通常是什麼呢
[00:01:55.000 --> 00:01:57.000]  就是有感覺的
[00:01:57.000 --> 00:01:59.000]  打個卡在IG上
[00:01:59.000 --> 00:02:01.000]  有感覺就完結了
[00:02:01.000 --> 00:02:03.000]  你認識那個人的時候
[00:02:03.000 --> 00:02:05.000]  你會覺得原來粗聲粗氣不是這樣的
[00:02:05.000 --> 00:02:07.000]  我會問
[00:02:07.000 --> 00:02:09.000]  偽文青是什麼呢
[00:02:09.000 --> 00:02:11.000]  可能
[00:02:11.000 --> 00:02:13.000]  我不知道大家是不是都是這樣的人
[00:02:13.000 --> 00:02:15.000]  當回到教會的時候
[00:02:15.000 --> 00:02:17.000]  每個禮拜都很準備地回教會
[00:02:17.000 --> 00:02:21.000]  一身準備回教會的打扮
