
[00:00:00.000 --> 00:00:01.720]  Walter是我的團友,所以我很開心
[00:00:01.720 --> 00:00:03.360]  我看到熟臉孔的
[00:00:03.360 --> 00:00:05.000]  我就會安心得多
[00:00:05.000 --> 00:00:05.760]  大家好
[00:00:05.760 --> 00:00:07.640]  我叫Florence
[00:00:07.640 --> 00:00:11.600]  以防你們未見過我或不認識我
[00:00:11.600 --> 00:00:12.520]  我叫Florence
[00:00:12.520 --> 00:00:14.200]  因為我不常在12樓出現
[00:00:14.200 --> 00:00:16.560]  所以我就在這裡
[00:00:16.560 --> 00:00:19.080]  剛才主席問我們
[00:00:19.080 --> 00:00:21.440]  今天回來有甚麼感謝上帝的事情
[00:00:21.440 --> 00:00:24.000]  其實我禱告中感謝上帝
[00:00:24.000 --> 00:00:28.280]  我可以再次來青少部跟大家分享上帝的話
[00:00:28.280 --> 00:00:30.080]  因為過去我在青少部很多年
[00:00:30.080 --> 00:00:33.960]  每次有機會回來都是開心的
[00:00:33.960 --> 00:00:37.000]  雖然你們對我來說未必是熟悉的臉孔
[00:00:37.000 --> 00:00:38.360]  但有時熟悉下
[00:00:38.360 --> 00:00:41.600]  幾個月後回來看到你們長大了
[00:00:41.600 --> 00:00:43.400]  也是很開心的
[00:00:43.400 --> 00:00:45.280]  成長有盼望
[00:00:45.280 --> 00:00:46.720]  好了,不如我有個祈禱
[00:00:46.720 --> 00:00:48.360]  我們進入上帝的說話
[00:00:48.360 --> 00:00:50.320]  七天父我們感謝你
[00:00:50.320 --> 00:00:52.880]  我們可以有成長的盼望
[00:00:52.880 --> 00:00:54.360]  我們知道在成長中
[00:00:54.360 --> 00:00:56.600]  我們都會面對很多困難
[00:00:56.600 --> 00:00:59.000]  大神我們相信你的靈在我們裡面
[00:00:59.000 --> 00:01:00.600]  你一定會幫助我們
[00:01:00.600 --> 00:01:02.760]  讓我們今天從你的說話裡面
[00:01:02.760 --> 00:01:06.040]  看到你會幫助我們成長
[00:01:06.040 --> 00:01:09.200]  由我們的有限到你的無限的時候
[00:01:09.200 --> 00:01:11.640]  我們的生命是可以滿有盼望的
[00:01:11.640 --> 00:01:12.520]  就是你幫助我們
[00:01:12.520 --> 00:01:15.040]  你的話語提醒、鼓勵我們
[00:01:15.040 --> 00:01:17.800]  以致我們的生命可以有些不同
[00:01:17.800 --> 00:01:19.000]  求你幫助、帶領
[00:01:19.000 --> 00:01:20.600]  以神的禱告奉主命求
[00:01:20.600 --> 00:01:21.600]  阿門
[00:01:21.600 --> 00:01:24.400]  大家放暑假了,是嗎?
[00:01:25.000 --> 00:01:27.000]  大家放得怎麼樣?
[00:01:27.000 --> 00:01:29.600]  放得很開心?
[00:01:29.600 --> 00:01:32.000]  覺得很無聊?
[00:01:32.000 --> 00:01:34.600]  覺得不知道在做什麼?
[00:01:34.600 --> 00:01:39.000]  你們沒有反應,我習慣了
[00:01:39.000 --> 00:01:40.800]  因為成人都沒有反應
[00:01:40.800 --> 00:01:42.000]  OK的
[00:01:42.000 --> 00:01:45.200]  回想我放暑假的時候
[00:01:45.200 --> 00:01:47.000]  我覺得放得很無聊
[00:01:47.000 --> 00:01:50.600]  因為當時我家人上班
[00:01:50.600 --> 00:01:52.200]  所以放暑假時
[00:01:52.200 --> 00:02:01.400]  就將我放在我父母那邊的爺爺奶奶
[00:02:01.400 --> 00:02:03.600]  或者是公公婆婆那邊
[00:02:03.600 --> 00:02:06.000]  總之因為以前我的年代
[00:02:06.000 --> 00:02:10.000]  大家這個年代可以很多暑期班上班
[00:02:10.000 --> 00:02:10.600]  沒有的
[00:02:10.600 --> 00:02:14.200]  所以他們就將我放在上一代的家裡
[00:02:14.200 --> 00:02:15.400]  那就算了
[00:02:15.400 --> 00:02:17.200]  上一代的爺爺奶奶、公公婆婆
[00:02:17.200 --> 00:02:19.200]  都不太知道怎樣跟我相處
[00:02:19.200 --> 00:02:21.800]  總之日夜看電視
[00:02:21.800 --> 00:02:23.200]  都不知道看了什麼
[00:02:23.200 --> 00:02:25.200]  如果給我現在
[00:02:25.200 --> 00:02:28.200]  我就會很想善用我的暑假
[00:02:28.200 --> 00:02:31.200]  因為長大之後沒有暑假這回事
[00:02:31.200 --> 00:02:33.200]  也沒有長假期這回事
[00:02:33.200 --> 00:02:37.200]  我猜我用現在回望
[00:02:37.200 --> 00:02:38.800]  如果再有暑假的時候
[00:02:38.800 --> 00:02:41.200]  我會很想做一些新的事
[00:02:41.200 --> 00:02:43.400]  做一些我沒有做過的事
[00:02:43.400 --> 00:02:46.400]  做一些我可以挑戰自己的事
[00:02:46.400 --> 00:02:50.400]  我不知道你們喜不喜歡挑戰自己
