
[00:00:00.000 --> 00:00:04.000]  很開心能夠在這個下午來到大家當中
[00:00:04.000 --> 00:00:11.000]  今天來到很想和大家藉著《針研》去看上帝如何看待公義
[00:00:11.000 --> 00:00:14.000]  因為可能公義在過去的幾年
[00:00:14.000 --> 00:00:17.000]  我們都是一個覺得很稀有的商品
[00:00:17.000 --> 00:00:19.000]  或者很稀有的品質
[00:00:19.000 --> 00:00:24.000]  所以我首先想讀出《針研書》的第十章十六節到三十二節
[00:00:24.000 --> 00:00:26.000]  大家請聽我讀出來就行了
[00:00:26.000 --> 00:00:29.000]  《針研書》的第十章第十六節開始這麼寫
[00:00:29.000 --> 00:00:32.000]  惡人的報酬帶來生命
[00:00:32.000 --> 00:00:34.000]  惡人的所得用來犯罪
[00:00:34.000 --> 00:00:37.000]  遵守訓誨的行在生命道上
[00:00:37.000 --> 00:00:40.000]  離棄責備的走迷了路
[00:00:40.000 --> 00:00:43.000]  隱藏怨恨的有雪方的嘴唇
[00:00:43.000 --> 00:00:46.000]  口出誹謗的是如每人
[00:00:46.000 --> 00:00:48.000]  多言多語難免有過
[00:00:48.000 --> 00:00:51.000]  節制嘴唇時有自慰
[00:00:51.000 --> 00:00:53.000]  二人的舌如上選的銀紙
[00:00:53.000 --> 00:00:55.000]  惡人的心所值無幾
[00:00:55.000 --> 00:00:57.000]  二人的嘴唇目仰多人
[00:00:57.000 --> 00:01:00.000]  如往人因無知而死亡
[00:01:00.000 --> 00:01:02.000]  耶和華所賜的福使人富足
[00:01:02.000 --> 00:01:04.000]  並不加上憂慮
[00:01:04.000 --> 00:01:06.000]  如每人以行惡為樂
[00:01:06.000 --> 00:01:08.000]  聰明人以自慰為樂
[00:01:08.000 --> 00:01:10.000]  惡人所怕的必臨到他
[00:01:10.000 --> 00:01:12.000]  二人的心願必蒙應允
[00:01:12.000 --> 00:01:14.000]  暴風一過惡人歸於無尤
[00:01:14.000 --> 00:01:17.000]  二人卻有永久的根基
[00:01:17.000 --> 00:01:19.000]  冷待人使那猜他的人
[00:01:19.000 --> 00:01:22.000]  如燥倒牙如煙昏目
[00:01:22.000 --> 00:01:24.000]  敬畏耶和華使人長壽
[00:01:24.000 --> 00:01:26.000]  惡人的年歲必減少
[00:01:26.000 --> 00:01:29.000]  二人的盼望帶來喜樂
[00:01:29.000 --> 00:01:31.000]  惡人的指望必自滅沒
[00:01:31.000 --> 00:01:33.000]  耶和華的道士正值人的保障
[00:01:33.000 --> 00:01:36.000]  卻成了作惡人的敗壞
