
[00:00:00.000 --> 00:00:03.880]  不如我們開始說到之前我們來個祈禱
[00:00:03.880 --> 00:00:06.780]  三位天父我們很感謝祢
[00:00:06.780 --> 00:00:09.200]  感謝祢在我們生命裏面作王
[00:00:09.200 --> 00:00:11.200]  感謝祢作我們的主
[00:00:11.200 --> 00:00:12.200]  祢創造了我們
[00:00:12.200 --> 00:00:14.600]  並且將我們焦聚回到祢的裏面
[00:00:14.600 --> 00:00:18.800]  求祢帶領我們讓我們在生命裏面學習尋求祢更多
[00:00:18.800 --> 00:00:22.300]  也求祢的話語去觸動我們提醒我們
[00:00:22.300 --> 00:00:26.000]  以致我們生命裏面有著那份力量可以為祢而活
[00:00:26.000 --> 00:00:26.800]  再感謝祢
[00:00:26.800 --> 00:00:30.000]  祈禱教託奉主耶穌基督的名義祈求 阿門
[00:00:30.000 --> 00:00:34.000]  最近也想起很多過去的事
[00:00:34.000 --> 00:00:39.000]  剛剛想起現在回到香港也差不多兩年的時間
[00:00:39.000 --> 00:00:43.400]  想起過去一直由讀神學到回來的時間
[00:00:43.400 --> 00:00:46.200]  很多的回憶很多的一些經歷
[00:00:46.200 --> 00:00:51.900]  我記得我和Edith是2016年的時候就去到美國讀神學的
[00:00:51.900 --> 00:00:57.200]  那時候就去了德州一間叫DTS的學校讀神學
[00:00:57.200 --> 00:01:01.400]  那間學校是我爸爸以前讀過的一間神學院
[00:01:01.400 --> 00:01:05.200]  但其實我去那裏讀的原因不是因為我爸爸
[00:01:05.200 --> 00:01:11.400]  其實是特別有一個老教授曾經來過恩福那裏講道
[00:01:11.400 --> 00:01:13.600]  培靈會三天的講道
[00:01:13.600 --> 00:01:15.800]  在當中很棒的
[00:01:15.800 --> 00:01:18.200]  我記得那三天的講道我三天也去過
[00:01:18.200 --> 00:01:20.000]  心裏面很火熱
[00:01:20.000 --> 00:01:23.900]  聽完之後很大的責心很大的激勵
[00:01:23.900 --> 00:01:24.900]  我心裏面就說
[00:01:24.900 --> 00:01:28.500]  嘩 我真的很想進老教授的那間神學院
[00:01:28.500 --> 00:01:29.700]  很想聽他講道
[00:01:29.700 --> 00:01:31.200]  很想去學更加多
[00:01:31.200 --> 00:01:33.700]  甚至其實在他的講道裏面
[00:01:33.700 --> 00:01:35.800]  我體會到那份生命力
[00:01:35.800 --> 00:01:39.600]  覺得他很有牧羊的心腸
[00:01:39.600 --> 00:01:44.100]  他在那時候對我來說就好像一個屬靈偉人
[00:01:44.100 --> 00:01:45.700]  我心裏面就在想
