
[00:00:00.000 --> 00:00:04.600]  今天很想和大家探討一下自由這個主題
[00:00:04.600 --> 00:00:08.480]  當你想起這個主題的時候
[00:00:08.480 --> 00:00:11.520]  我和大家分享進擊的自由這個主題的時候
[00:00:11.520 --> 00:00:16.680]  我不知道大家有沒有聯想起一套動畫叫做進擊的自由
[00:00:16.680 --> 00:00:19.520]  我不知道當中大家有沒有人提起進擊的巨人
[00:00:19.520 --> 00:00:21.800]  對不起,證明我真的太累了
[00:00:21.800 --> 00:00:25.400]  我不知道大家有沒有看過這套動畫或者動漫
[00:00:25.400 --> 00:00:30.400]  去年年尾我趁著我女兒睡著的時候
[00:00:30.400 --> 00:00:33.000]  我和我老婆就一次過追看了這套動畫
[00:00:33.000 --> 00:00:35.240]  這套動畫很特別
[00:00:35.240 --> 00:00:39.400]  其中一個很重要的主題是自由
[00:00:39.400 --> 00:00:41.960]  它講述了很多不同的角色
[00:00:41.960 --> 00:00:44.480]  他們怎樣去看待自由
[00:00:44.480 --> 00:00:49.920]  每一個角色對於自由有不同的想像的時候
[00:00:49.920 --> 00:00:53.360]  其實都是來自於他怎樣看待世界
[00:00:53.360 --> 00:00:56.680]  同樣都影響他們怎樣理解自由這件事
[00:00:56.680 --> 00:00:58.200]  當大家如果有看的話
[00:00:58.200 --> 00:01:02.240]  中間這個主角叫做艾連或者艾倫
[00:01:02.240 --> 00:01:06.520]  他講到其實他說他為了他心目中的那種自由
[00:01:06.520 --> 00:01:09.520]  他不擇手段或者用了很多不同的方法
[00:01:09.520 --> 00:01:12.160]  甚至即使為了世界帶來很大的影響
[00:01:12.160 --> 00:01:14.240]  他都要爭取那份自由
[00:01:14.240 --> 00:01:16.880]  當看這套動漫的時候
[00:01:16.880 --> 00:01:19.680]  當再看一些網上的評論
[00:01:19.680 --> 00:01:25.120]  不同的觀眾對於這位主角他心目中想的那種自由
[00:01:25.120 --> 00:01:26.480]  都有不同的看法
[00:01:26.480 --> 00:01:30.400]  有人覺得他追求的自由很黑暗
[00:01:30.400 --> 00:01:36.040]  有些人就覺得他追求的自由是為了大眾的更加美好
[00:01:36.040 --> 00:01:37.960]  而去努力去爭取的
