
[00:00:00.000 --> 00:00:02.200]  首先我想跟大家讀出今天的經文
[00:00:02.200 --> 00:00:04.000]  今天的經文是希伯來書
[00:00:04.000 --> 00:00:07.600]  希伯來書第十章
[00:00:07.600 --> 00:00:11.800]  由第八節開始
[00:00:11.800 --> 00:00:15.800]  我們一起讀出今天的經文
[00:00:15.800 --> 00:00:17.600]  好,我們來吧,一二三
[00:00:17.600 --> 00:00:19.000]  以上說
[00:00:19.000 --> 00:00:20.800]  祭物和禮物
[00:00:20.800 --> 00:00:23.600]  以及凡祭和贖罪祭
[00:00:23.600 --> 00:00:25.600]  不是你所要的
[00:00:25.600 --> 00:00:28.000]  也不是你喜歡的
[00:00:28.000 --> 00:00:31.400]  這都是按著律法獻的
[00:00:31.400 --> 00:00:33.000]  他接著說
[00:00:33.000 --> 00:00:35.000]  看啊,我來了
[00:00:35.000 --> 00:00:37.800]  為要照你的旨意行
[00:00:37.800 --> 00:00:41.000]  可見他除去在先的
[00:00:41.000 --> 00:00:43.800]  為要立定在後的
[00:00:43.800 --> 00:00:46.400]  我們憑著這旨意
[00:00:46.400 --> 00:00:48.800]  藉著耶穌基督
[00:00:48.800 --> 00:00:52.400]  僅止一次獻上他的身體
[00:00:52.400 --> 00:00:54.800]  就得以成聖
[00:00:54.800 --> 00:00:57.200]  所有的祭司
[00:00:57.200 --> 00:01:00.000]  天天站著侍奉神
[00:01:00.000 --> 00:01:03.400]  屢次獻上一樣的祭物
[00:01:03.400 --> 00:01:06.400]  這祭物永不能除罪
[00:01:06.400 --> 00:01:08.800]  但基督獻了一次
[00:01:08.800 --> 00:01:11.800]  永遠有效的贖罪祭
[00:01:11.800 --> 00:01:14.400]  就坐在神的右邊
[00:01:14.400 --> 00:01:17.400]  從此等候他的仇敵
[00:01:17.400 --> 00:01:19.600]  成為他的腳凳
[00:01:19.600 --> 00:01:23.000]  因為他僅止一次獻祭
[00:01:23.000 --> 00:01:26.400]  就使那些得以成聖的人
[00:01:26.400 --> 00:01:28.200]  永遠完全
[00:01:28.200 --> 00:01:31.400]  聖靈也對我們作見
[00:01:31.400 --> 00:01:33.400]  因為他說過
[00:01:33.400 --> 00:01:36.800]  主說那些日子以後
[00:01:36.800 --> 00:01:40.800]  我與他們所立的約是這樣的
[00:01:40.800 --> 00:01:43.000]  我要將我的律法
[00:01:43.000 --> 00:01:45.600]  放在他們的心上
[00:01:45.600 --> 00:01:49.200]  又要寫在他們的心思裡
[00:01:49.200 --> 00:01:51.800]  並說他們的罪惡
[00:01:51.800 --> 00:01:53.800]  和他們的過犯
[00:01:53.800 --> 00:01:56.000]  我絕不再記得
[00:01:56.000 --> 00:01:59.800]  這些罪既已蒙赦免
[00:01:59.800 --> 00:02:03.200]  就不用再為罪獻祭了
[00:02:03.200 --> 00:02:10.600]  敬拜往往在很多教會裡
[00:02:10.600 --> 00:02:12.800]  引起很多分裂或討論
[00:02:12.800 --> 00:02:15.600]  我們很感恩
[00:02:15.600 --> 00:02:18.600]  在當年傑森牧師的教導和更新
[00:02:18.600 --> 00:02:22.000]  我們建立了一套對敬拜的看法
[00:02:22.000 --> 00:02:24.800]  也在今天我們慢慢慢慢
[00:02:24.800 --> 00:02:29.200]  再一次思想到底敬拜是甚麼
[00:02:29.200 --> 00:02:31.200]  今天敬拜
[00:02:31.200 --> 00:02:33.000]  我們思想的不是單單
[00:02:33.000 --> 00:02:35.400]  在音樂和詩歌上的擺上
[00:02:35.400 --> 00:02:38.000]  我們思想敬拜是一個更大的題目
[00:02:38.000 --> 00:02:40.200]  是一個每個星期的慶典
[00:02:40.200 --> 00:02:41.600]  每個星期
[00:02:41.600 --> 00:02:43.200]  無論在團契
[00:02:43.200 --> 00:02:45.600]  或崇拜的裡面
[00:02:45.600 --> 00:02:49.400]  其實我自己也覺得是很感恩的一件事
[00:02:49.400 --> 00:02:51.400]  我每個星期五晚都有團契
[00:02:51.400 --> 00:02:53.200]  很多年頭都是這樣
[00:02:53.200 --> 00:02:55.200]  我只有星期五晚不是上班
[00:02:55.200 --> 00:02:56.600]  我是下班了
[00:02:56.600 --> 00:02:58.000]  我在行入團契裡
[00:02:58.000 --> 00:02:59.800]  和弟兄姊妹一起慶祝
[00:02:59.800 --> 00:03:01.200]  一起侍奉
[00:03:01.200 --> 00:03:02.600]  很多很多的星期五晚
[00:03:02.600 --> 00:03:05.200]  我都是一個這麼開心的心情
[00:03:05.200 --> 00:03:06.800]  我特別喜歡一首詩歌
[00:03:06.800 --> 00:03:07.800]  一首詩歌唱到
[00:03:07.800 --> 00:03:10.000]  「這裡是天的門,這裡是神的殿」
[00:03:10.000 --> 00:03:12.000]  提醒我們每一次的聚集
[00:03:12.000 --> 00:03:15.200]  都是將天堂活印在地上
[00:03:15.200 --> 00:03:16.800]  我們今天的聚集
[00:03:16.800 --> 00:03:19.600]  不是單單來到長沙環道789號
[00:03:19.600 --> 00:03:21.200]  我們今天的聚集
[00:03:21.200 --> 00:03:25.800]  是將天堂再一次突入在破碎的人間
[00:03:25.800 --> 00:03:29.000]  是令世界上絕望的人再一次得到盼望
[00:03:29.000 --> 00:03:31.400]  令很多破碎的心靈得到醫治
[00:03:31.400 --> 00:03:34.800]  亦令信徒得到真理的模樣
[00:03:34.800 --> 00:03:36.600]  所以做一次思想
[00:03:36.600 --> 00:03:38.000]  敬拜的更新
[00:03:38.000 --> 00:03:41.200]  很想和大家從《聖經》創世記開始
[00:03:41.200 --> 00:03:44.600]  去看到底敬拜是一件什麼事情
[00:03:44.600 --> 00:03:46.600]  《聖經》裡面「敬拜」這個字
[00:03:46.600 --> 00:03:48.800]  在舊約是來自一個動詞
[00:03:48.800 --> 00:03:50.400]  是一個動作
[00:03:50.400 --> 00:03:52.600]  這個動作就是「俯伏」
[00:03:52.600 --> 00:03:54.400]  「俯伏」是一種跪拜
[00:03:54.400 --> 00:03:55.400]  將面積在地上
[00:03:55.400 --> 00:03:57.000]  甚至將膝蓋放在地上
[00:03:57.000 --> 00:04:01.200]  是近東文化當時對尊敬的人
[00:04:01.200 --> 00:04:02.600]  或尊敬的神
[00:04:02.600 --> 00:04:06.000]  完全面伏於地的一個動作
[00:04:06.000 --> 00:04:07.800]  《聖經》在開篩的時候
[00:04:07.800 --> 00:04:09.400]  將這個字譯為「俯伏」
[00:04:09.400 --> 00:04:11.200]  慢慢在和合本
[00:04:11.200 --> 00:04:12.600]  當他見到「俯伏」這個字
[00:04:12.600 --> 00:04:14.200]  就譯為「敬拜」
[00:04:14.200 --> 00:04:16.800]  我們來看看為什麼會有這樣的變革
[00:04:16.800 --> 00:04:19.400]  這個字「敬拜」或「俯伏」這個字
[00:04:19.400 --> 00:04:20.400]  在《聖經》第一次出現
[00:04:20.400 --> 00:04:21.800]  是一個很奇妙的出現
[00:04:21.800 --> 00:04:23.800]  我們都是在呼喚
