
[00:00:00.000 --> 00:00:04.120]  今天繼續我們烈王記上的系列
[00:00:04.120 --> 00:00:06.000]  今天經文很長
[00:00:06.000 --> 00:00:08.200]  你們有看到程序表嗎?
[00:00:08.200 --> 00:00:11.320]  有多少人看到字的?
[00:00:11.320 --> 00:00:13.400]  很厲害
[00:00:13.400 --> 00:00:14.760]  因為很長
[00:00:14.760 --> 00:00:16.600]  所以我不會全部讀出
[00:00:16.600 --> 00:00:19.000]  這次的講道裡面
[00:00:19.000 --> 00:00:21.680]  這次我在我的PowerPoint
[00:00:21.680 --> 00:00:24.680]  用上《環球聖經》的譯本
[00:00:24.680 --> 00:00:27.320]  因為我覺得它更貼近原文
[00:00:27.320 --> 00:00:30.320]  和比較生動
[00:00:30.320 --> 00:00:36.240]  大家有沒有人喜歡看娛樂版?
[00:00:36.240 --> 00:00:39.360]  沒有,我也不看
[00:00:39.360 --> 00:00:41.720]  但是突然有一段新聞
[00:00:41.720 --> 00:00:44.520]  我看到之後有興趣看下去
[00:00:44.520 --> 00:00:46.640]  是什麼新聞呢?
[00:00:46.640 --> 00:00:49.520]  就是鄭秀文
[00:00:49.520 --> 00:00:52.400]  你們知道嗎?
[00:00:52.400 --> 00:00:53.760]  有些人都不知道
[00:00:53.760 --> 00:00:57.000]  她拿了最佳女主角金像獎
[00:00:57.000 --> 00:00:58.360]  原來呢
[00:00:58.360 --> 00:01:01.640]  知不知道鄭秀文是基督徒?
[00:01:01.640 --> 00:01:04.560]  這個大家都知道,很厲害
[00:01:04.560 --> 00:01:05.880]  其實之前我都不知道
[00:01:05.880 --> 00:01:10.080]  都是太太告訴我的
[00:01:10.080 --> 00:01:13.840]  我對她是基督徒很有興趣看下去
[00:01:13.840 --> 00:01:16.480]  原來她入了多少次金像獎
[00:01:16.480 --> 00:01:18.760]  最後的最佳女主角,知不知道?
[00:01:18.760 --> 00:01:20.720]  是十次
[00:01:20.720 --> 00:01:22.880]  這次有九次落敗
[00:01:22.880 --> 00:01:26.520]  這次終於得獎
[00:01:26.520 --> 00:01:28.760]  但我最感動的不是她得獎
[00:01:28.760 --> 00:01:33.400]  而是她得獎時的那段講話
[00:01:33.400 --> 00:01:36.080]  她這樣說,聽著
[00:01:36.080 --> 00:01:38.920]  「我要感謝上帝
[00:01:38.920 --> 00:01:40.600]  給今天的榮耀
[00:01:40.600 --> 00:01:44.120]  今天的榮耀重讚要歸給祂
[00:01:44.120 --> 00:01:48.600]  感謝神沒有給我一個順風
[00:01:48.600 --> 00:01:50.760]  沒有給我一路順風
[00:01:50.760 --> 00:01:53.320]  這個沒有一路的順風
[00:01:53.320 --> 00:01:57.640]  讓我學習到更加謙卑和柔和」
[00:01:57.640 --> 00:02:00.400]  在鄭秀文這個得獎的心聲裏
[00:02:00.400 --> 00:02:03.840]  看得出她在娛樂事業不是一帆風順
[00:02:03.840 --> 00:02:06.280]  但她的人生經歷
[00:02:06.280 --> 00:02:07.840]  讓她明白到
[00:02:07.840 --> 00:02:10.520]  神在逆境裏磨練她
[00:02:10.520 --> 00:02:12.120]  使她更加成熟
[00:02:12.120 --> 00:02:15.600]  成為一個謙遜的影后
[00:02:15.600 --> 00:02:19.800]  值得這次得獎去榮耀神
[00:02:19.800 --> 00:02:22.240]  我們看回這次的經文
[00:02:22.240 --> 00:02:25.080]  剛好是一個反面教材
[00:02:25.080 --> 00:02:28.040]  神一次又一次介入
[00:02:28.040 --> 00:02:31.320]  記不記得亞哈王拜甚麼
[00:02:31.320 --> 00:02:34.480]  亞哈王是拜巴力的
[00:02:34.480 --> 00:02:38.920]  一次又一次介入亞哈王的生命裏
[00:02:38.920 --> 00:02:41.240]  但他還不去認識神
[00:02:41.240 --> 00:02:43.280]  也不歸榮耀給神
[00:02:43.280 --> 00:02:45.960]  最後招致神的審判
[00:02:45.960 --> 00:02:49.160]  我們透過這個經文藉此為鑒
[00:02:49.160 --> 00:02:54.120]  我們一起祈禱
[00:02:54.120 --> 00:02:58.960]  主求你透過聖靈親自向我們說話
[00:02:58.960 --> 00:03:01.400]  介入我們聚會裏面
[00:03:01.400 --> 00:03:06.000]  好叫我們認識三一上帝而謙卑下來
[00:03:06.000 --> 00:03:09.520]  我們這樣禱告是奉主耶穌基督明教
[00:03:09.520 --> 00:03:11.520]  阿們
[00:03:11.520 --> 00:03:16.960]  我們先看第一點一至二十二節
[00:03:16.960 --> 00:03:22.480]  記不記得之前的讀畫講到十八章十九章是在說誰
[00:03:22.480 --> 00:03:24.840]  忘記了,不要緊,是在說以利亞
[00:03:24.840 --> 00:03:28.520]  以利亞最厲害的十八章在加密山那裏
[00:03:28.520 --> 00:03:32.240]  做過甚麼事
[00:03:32.240 --> 00:03:37.680]  是的,和巴力的先知對抗
[00:03:37.680 --> 00:03:41.360]  但這場是否一個大的勝仗呢
[00:03:41.360 --> 00:03:43.160]  好像贏了巴力先知
[00:03:43.160 --> 00:03:49.400]  但最後亞哈王和耶洗別有沒有歸向華臣呢
[00:03:49.400 --> 00:03:51.400]  沒有
[00:03:51.400 --> 00:03:55.680]  但這次亞哈王面對更大的困難
[00:03:55.680 --> 00:03:57.680]  幾乎要滅國
[00:03:57.680 --> 00:04:00.560]  我們一起讀出一至六節
[00:04:00.560 --> 00:04:03.560]  請弟兄讀白色
[00:04:03.560 --> 00:04:05.960]  姐妹讀黃色看不看得清楚
