
[00:00:00.000 --> 00:00:04.000]  每一次能夠以神的話跟大家一起團體
[00:00:04.000 --> 00:00:06.000]  心裏面實在有無盡的感恩
[00:00:06.000 --> 00:00:08.000]  特別今天能夠跨過風球
[00:00:08.000 --> 00:00:09.000]  我們能夠在這裏
[00:00:09.000 --> 00:00:10.000]  雖然三號風球
[00:00:10.000 --> 00:00:13.000]  但我們能夠坐在這裏一起唱詩
[00:00:13.000 --> 00:00:14.000]  一起去禱告
[00:00:14.000 --> 00:00:15.000]  一起去讀神的話
[00:00:15.000 --> 00:00:17.000]  實在很感恩
[00:00:17.000 --> 00:00:21.000]  今天我們會繼續中堂的崇拜講道系列
[00:00:21.000 --> 00:00:23.000]  「憐於你,We connect」
[00:00:23.000 --> 00:00:25.000]  大家記得五月的時候
[00:00:25.000 --> 00:00:29.000]  Frank和James牧者帶我們去到憐於你的核心
[00:00:29.000 --> 00:00:31.000]  就是憐於神
[00:00:31.000 --> 00:00:36.000]  而上個月Eva和Roger幫我們思想憐於自己
[00:00:36.000 --> 00:00:39.000]  試想想如果我們連自己都不能夠和自己連繫
[00:00:39.000 --> 00:00:41.000]  我們和自己脫軌了
[00:00:41.000 --> 00:00:43.000]  我們怎樣能夠憐於神呢
[00:00:43.000 --> 00:00:45.000]  而今個月七月
[00:00:45.000 --> 00:00:50.000]  我會和Elizabeth和大家藉著路德記去分享憐於家人
[00:00:50.000 --> 00:00:54.000]  今天的講題是回家開錢的結束
[00:00:54.000 --> 00:00:56.000]  願意我們在開錢的時候
[00:00:56.000 --> 00:00:58.000]  我們一起去禱告
[00:00:58.000 --> 00:01:02.000]  我們求神再次用祂的話去激勵安慰我們
[00:01:02.000 --> 00:01:05.000]  當我們回家連於天父
[00:01:05.000 --> 00:01:07.000]  連於我們的家人
[00:01:07.000 --> 00:01:09.000]  我們一起禱告吧
[00:01:09.000 --> 00:01:14.000]  天父祢是信實的
[00:01:14.000 --> 00:01:16.000]  我們讚美祢
[00:01:16.000 --> 00:01:18.000]  昔日祢用祢的話創造了這個世界
[00:01:18.000 --> 00:01:20.000]  從此一直到今日
[00:01:20.000 --> 00:01:22.000]  祢依然用祢大能的話
[00:01:22.000 --> 00:01:24.000]  用祢的命令托住萬有
[00:01:24.000 --> 00:01:26.000]  求祢今日用祢的話祝福我們
[00:01:26.000 --> 00:01:27.000]  潔淨我們
[00:01:27.000 --> 00:01:29.000]  使我們的資質結果更多
[00:01:29.000 --> 00:01:31.000]  神是我們的心
[00:01:31.000 --> 00:01:32.000]  仰望祢
[00:01:32.000 --> 00:01:34.000]  數來都依靠祢
[00:01:34.000 --> 00:01:35.000]  求祢憐憫我們
[00:01:35.000 --> 00:01:38.000]  特別用路德記的話來鼓勵安慰我們
[00:01:38.000 --> 00:01:42.000]  請祢用祢的真光照亮我們心裡的眼睛
