
[00:00:00.000 --> 00:00:03.400]  多謝敬拜隊給我們這首詩歌
[00:00:03.400 --> 00:00:08.300]  其實這首詩歌跟我們今天要看的經文很相似
[00:00:08.300 --> 00:00:10.440]  不過我想你留心一下
[00:00:10.440 --> 00:00:13.640]  我想現在讀一次給你們聽
[00:00:13.640 --> 00:00:16.420]  等一會你比較一下跟剛剛唱的
[00:00:16.420 --> 00:00:19.420]  《我的神我的父我的盤石》這首詩歌
[00:00:19.420 --> 00:00:21.700]  有什麼相同或不相同
[00:00:21.700 --> 00:00:25.580]  你可以看著PowerPoint
[00:00:25.580 --> 00:00:28.660]  到副歌的時候 我想你一起讀
[00:00:28.660 --> 00:00:33.260]  這首詩歌42篇和43篇
[00:00:33.260 --> 00:00:35.760]  加起來總共有三個副歌
[00:00:35.760 --> 00:00:36.760]  所以你聽我讀
[00:00:36.760 --> 00:00:38.960]  到副歌的時候就一起讀
[00:00:38.960 --> 00:00:41.760]  然後比較一下跟剛剛那首詩歌
[00:00:41.760 --> 00:00:43.760]  有什麼相同有什麼不同
[00:00:43.760 --> 00:00:46.760]  42篇第一節那裡這樣說
[00:00:46.760 --> 00:00:48.760]  神啊我的心切無你
[00:00:48.760 --> 00:00:50.760]  好像鹿切無溪水一樣
[00:00:50.760 --> 00:00:53.260]  我的心渴想的神
[00:00:53.260 --> 00:00:54.760]  就是永生神
[00:00:54.760 --> 00:00:57.760]  我幾時得超見神呢
[00:00:57.760 --> 00:01:00.760]  我晝夜以眼淚當食物
[00:01:00.760 --> 00:01:02.760]  人不停地對我說
[00:01:02.760 --> 00:01:04.760]  你的神在哪呢
[00:01:04.760 --> 00:01:07.760]  我以前跟眾人同往
[00:01:07.760 --> 00:01:09.760]  領他們去到神的殿
[00:01:09.760 --> 00:01:12.760]  大家就用歡呼傾眾的聲音來守節
[00:01:12.760 --> 00:01:15.760]  我追上這些詩
[00:01:15.760 --> 00:01:18.760]  我的心極其悲傷
[00:01:18.760 --> 00:01:20.760]  我們一起讀吧
[00:01:20.760 --> 00:01:23.760]  我的心啊 你為何幽默
[00:01:23.760 --> 00:01:26.760]  為何在我裡面煩躁
[00:01:26.760 --> 00:01:28.760]  仍當仰望神
[00:01:28.760 --> 00:01:30.760]  我還要稱謝他
