
[00:00:00.000 --> 00:00:02.480]  好 今日的講題是
[00:00:02.480 --> 00:00:06.120]  史上第一位打工仔
[00:00:06.120 --> 00:00:09.480]  不知你覺得打工仔辛苦不辛苦呢
[00:00:09.480 --> 00:00:13.000]  誰覺得上班是辛苦的 請你舉手看看
[00:00:13.000 --> 00:00:17.720]  不辛苦的請你舉手看看
[00:00:17.720 --> 00:00:21.320]  如果不辛苦 問下你為何上班可以不辛苦
[00:00:21.320 --> 00:00:23.920]  你做甚麼工作呢 等下問下你先
[00:00:23.920 --> 00:00:27.200]  那有誰是很喜歡上班的
[00:00:27.200 --> 00:00:29.720]  誰是很喜歡上班的 嘩
[00:00:30.320 --> 00:00:32.920]  有幾釘手在這裏 很感恩
[00:00:32.920 --> 00:00:36.600]  大部份人都好像很無奈
[00:00:36.600 --> 00:00:39.360]  為了賺錢 為了生活
[00:00:39.360 --> 00:00:42.320]  就要上班 其實我們有沒有其他
[00:00:42.320 --> 00:00:45.160]  更重要的原因 讓我們每天都
[00:00:45.160 --> 00:00:48.200]  堅持起身 要去上班呢
[00:00:48.200 --> 00:00:51.200]  我們當中有上班的
[00:00:51.200 --> 00:00:54.160]  或者沒有上班的 但沒有上班 可能你是
[00:00:54.160 --> 00:00:57.160]  家庭主婦 你是照顧者
[00:00:57.160 --> 00:01:00.160]  或者照顧家人 或者做其他事情 雖然你不是上班
[00:01:00.160 --> 00:01:03.160]  但你這個叫作工 你未必是工作
[00:01:03.160 --> 00:01:05.720]  但你是作工 作工辛苦不辛苦呢
[00:01:05.720 --> 00:01:09.240]  很辛苦的 家庭主婦那些很多事情要完成
[00:01:09.240 --> 00:01:12.120]  所以無論工作又辛苦
[00:01:12.120 --> 00:01:15.160]  作工又辛苦 那我們有甚麼出路呢
[00:01:15.160 --> 00:01:18.160]  所以我們今天就是透過這個史上
[00:01:18.160 --> 00:01:20.840]  第一位打工仔 看看他怎樣打
[00:01:20.840 --> 00:01:23.640]  他這第一份工作 這世界上第一份工作
[00:01:23.640 --> 00:01:26.640]  希望我們從他身上得到一些亮光
[00:01:26.640 --> 00:01:29.360]  那麼這位史上第一位打工仔是哪一位呢
[00:01:29.360 --> 00:01:33.360]  亞當 所以我們今天會看《創世紀》
[00:01:33.360 --> 00:01:36.360]  頭三章的經文 我們看經文之前
[00:01:36.360 --> 00:01:37.800]  我們先一起禱告
[00:01:37.800 --> 00:01:41.800]  親愛的天父 我們感謝祢賜給我們
[00:01:41.800 --> 00:01:44.640]  《創世紀》這本書
[00:01:44.640 --> 00:01:47.640]  求祢開我們的眼睛 讓我們在經文當中
[00:01:47.640 --> 00:01:50.640]  看到祢的作為 看到神祢的心意 求祢祝福以下的時間
[00:01:50.640 --> 00:01:53.400]  奉耶穌基督的聖名祈求 阿們
[00:01:54.480 --> 00:01:57.480]  好 那我們就看看《創世紀》第一章
[00:01:57.480 --> 00:02:00.480]  第一章 頭那二十五節
[00:02:00.480 --> 00:02:03.480]  就說到神創造天地萬物
[00:02:03.480 --> 00:02:06.480]  然後去到二十六節
[00:02:06.480 --> 00:02:09.480]  至到三十一節 就去到第六天
[00:02:09.480 --> 00:02:12.480]  神就創造人類 今天我就是用
[00:02:12.480 --> 00:02:14.480]  《環球聖經》譯本的
[00:02:14.480 --> 00:02:19.480]  一章二十六節 神這樣說
[00:02:19.480 --> 00:02:22.480]  我們要照我們的形象
[00:02:22.480 --> 00:02:25.480]  按照我們的樣式去造人
[00:02:25.480 --> 00:02:28.480]  要讓他們統管海裡的魚
[00:02:28.480 --> 00:02:31.480]  天空的飛鳥 生畜和整個大地
[00:02:31.480 --> 00:02:34.480]  以及一切在地上活動的爬行動物
[00:02:34.480 --> 00:02:37.480]  這個就是第六天 神造人
[00:02:37.480 --> 00:02:41.480]  祂說的話 二十六節有什麼特別的地方呢
[00:02:41.480 --> 00:02:45.480]  就是神是用眾數來形容自己的
[00:02:45.480 --> 00:02:48.480]  我們 要照著我們的形象
[00:02:48.480 --> 00:02:52.480]  英文都是in our image 按照我們的樣式
[00:02:52.480 --> 00:02:54.480]  after our likeness
[00:02:54.480 --> 00:02:56.480]  所以已經很特別了
[00:02:56.480 --> 00:03:00.480]  有很多解釋 神用眾數來形容自己
[00:03:00.480 --> 00:03:02.480]  其中一個解釋是什麼
[00:03:02.480 --> 00:03:04.480]  神是三位一體 雖然沒有很清楚地說
[00:03:04.480 --> 00:03:07.480]  但已經暗示了 聖父 聖子 聖靈
[00:03:07.480 --> 00:03:11.480]  當然去到新的才有啟示出來
[00:03:11.480 --> 00:03:16.480]  我們繼續看第二十七節
[00:03:16.480 --> 00:03:18.480]  神說完這句話
[00:03:18.480 --> 00:03:21.480]  於是二十七節 神就照著自己的形象
[00:03:21.480 --> 00:03:24.480]  創造了人 照著神的形象
[00:03:24.480 --> 00:03:26.480]  神就創造了他們
[00:03:26.480 --> 00:03:29.480]  有男和女 神都創造了
[00:03:29.480 --> 00:03:31.480]  二十七節就再仔細說
[00:03:31.480 --> 00:03:33.480]  神造人究竟是怎樣的呢
[00:03:33.480 --> 00:03:37.480]  就造了男和女兩個性別 都是神造的
[00:03:37.480 --> 00:03:41.480]  所以性別是誰決定的呢
[00:03:41.480 --> 00:03:45.480]  如果你父母可以決定你的性別嗎
[00:03:45.480 --> 00:03:47.480]  也不是父母決定的
[00:03:47.480 --> 00:03:50.480]  所以現在人們越想改自己的性別
[00:03:50.480 --> 00:03:54.480]  男又說要穿裙 又說要做女人 要吃賀爾蒙藥
[00:03:54.480 --> 00:03:56.480]  其實想改自己的性別
[00:03:56.480 --> 00:03:59.480]  是代表你自己想做神
[00:03:59.480 --> 00:04:02.480]  因為神才可以決定人的性別
[00:04:02.480 --> 00:04:06.480]  我們看 神造了人 大六日
[00:04:06.480 --> 00:04:08.480]  他怎樣看他所做的一切呢
[00:04:08.480 --> 00:04:10.480]  我們看三十一節
[00:04:10.480 --> 00:04:13.480]  三十一節說 神看見自己所做的一切
[00:04:13.480 --> 00:04:15.480]  的確非常美好
[00:04:15.480 --> 00:04:18.480]  非常好 做男做女
[00:04:18.480 --> 00:04:20.480]  其實神本身做的事是非常好
[00:04:20.480 --> 00:04:22.480]  按照他的樣式
[00:04:22.480 --> 00:04:24.480]  有晚上 有早晨
[00:04:24.480 --> 00:04:26.480]  這是第六日
[00:04:26.480 --> 00:04:30.480]  我們看到第六日 神造人
[00:04:30.480 --> 00:04:32.480]  我們留意一下 人 即是我們
[00:04:32.480 --> 00:04:36.480]  我們受造的時候有什麼特別的地方
[00:04:36.480 --> 00:04:38.480]  人有什麼特徵
[00:04:38.480 --> 00:04:40.480]  是像神
[00:04:40.480 --> 00:04:43.480]  其實短短兩節 說了四次
[00:04:43.480 --> 00:04:45.480]  紅色節 照著神的形象
[00:04:45.480 --> 00:04:47.480]  照著他的樣式 照著自己的形象
[00:04:47.480 --> 00:04:48.480]  照著神的形象
[00:04:48.480 --> 00:04:50.480]  所以兩節很強調
[00:04:50.480 --> 00:04:55.480]  人是按照神的形象 神的樣式去做的
[00:04:55.480 --> 00:04:57.480]  其實在第一章來說
[00:04:57.480 --> 00:05:00.480]  這個在當時其實是很顛覆性的
[00:05:00.480 --> 00:05:02.480]  因為在當時的文獻裏面
[00:05:02.480 --> 00:05:06.480]  只有他們的君王 他們的皇帝
[00:05:06.480 --> 00:05:08.480]  才有神的形象
