
[00:00:00.000 --> 00:00:02.560]  「頂姐妹早晨」
[00:00:02.560 --> 00:00:03.800]  看到天氣寒冷
[00:00:03.800 --> 00:00:05.920]  看到大家的樣子都告訴我
[00:00:05.920 --> 00:00:08.080]  你們已經冷得僵硬了
[00:00:08.080 --> 00:00:09.800]  借借敬拜隊
[00:00:09.800 --> 00:00:12.640]  去跟我們敬拜的時候
[00:00:12.640 --> 00:00:15.440]  確實當我們每一次敬拜
[00:00:15.440 --> 00:00:18.200]  其實我們都在思考上帝跟我們的關係
[00:00:18.200 --> 00:00:21.200]  我覺得很切合今天我想跟大家分享的主題
[00:00:21.200 --> 00:00:24.400]  今天的主題叫做
[00:00:24.400 --> 00:00:27.760]  「Jesus與你何干」
[00:00:29.240 --> 00:00:31.880]  我不知道大家怎樣看這句句子
[00:00:31.880 --> 00:00:37.240]  有時候文字很難表達得很精準
[00:00:37.240 --> 00:00:40.280]  有時候我會說人跟人說話
[00:00:40.280 --> 00:00:41.800]  面對面的時候
[00:00:41.800 --> 00:00:44.280]  你會表達得比較多情緒
[00:00:44.280 --> 00:00:46.440]  不過我猜現在大家這個年代
[00:00:46.440 --> 00:00:49.680]  都是一個用文字、WhatsApp的年代
[00:00:49.680 --> 00:00:52.400]  我又想試一下用這句句子
[00:00:52.400 --> 00:00:54.840]  如果加一些Emoji進去的時候
[00:00:54.840 --> 00:00:58.200]  大家會有些什麼理解和感覺
[00:00:58.200 --> 00:01:00.760]  第一個就是
[00:01:00.760 --> 00:01:02.800]  「耶穌與我何干」
[00:01:02.800 --> 00:01:05.760]  加一個這樣的Emoji
[00:01:05.760 --> 00:01:09.040]  可能你理解這句子的時候
[00:01:09.040 --> 00:01:10.400]  你會想究竟
[00:01:10.400 --> 00:01:11.800]  認真地想一下
[00:01:11.800 --> 00:01:15.400]  耶穌跟我有什麼關係
[00:01:15.400 --> 00:01:19.800]  如果是這樣的話
[00:01:19.800 --> 00:01:22.840]  「耶穌與我何干」
[00:01:22.840 --> 00:01:25.040]  有些人聽到說諷刺
[00:01:25.040 --> 00:01:26.000]  這個Emoji
[00:01:26.000 --> 00:01:29.000]  以前的人理解這個Emoji
[00:01:29.000 --> 00:01:31.000]  都比較正面一點
[00:01:31.000 --> 00:01:33.800]  但是現在的人對於這個Emoji
[00:01:33.800 --> 00:01:35.800]  是有一點諷刺的
[00:01:35.800 --> 00:01:39.040]  接著再下一個
[00:01:39.040 --> 00:01:41.080]  「耶穌與我何干」
[00:01:41.080 --> 00:01:44.600]  一看就知道這個完全不想理會
[00:01:44.600 --> 00:01:48.080]  確實這個問題我們一直都要問
[00:01:48.080 --> 00:01:50.400]  每一年我們都經歷聖誕節
[00:01:50.400 --> 00:01:53.240]  說到聖誕節
[00:01:53.240 --> 00:01:56.880]  可能在座當中的初中生
[00:01:56.880 --> 00:02:00.080]  可能你經歷過十多年的聖誕節
[00:02:00.080 --> 00:02:04.880]  可能導師們經歷過很多很多年的聖誕節
[00:02:04.880 --> 00:02:06.880]  我們經常都會說聖誕節
[00:02:06.880 --> 00:02:08.080]  我們經常都會想的是
[00:02:08.080 --> 00:02:10.280]  耶穌降生跟我們有什麼關係
[00:02:10.280 --> 00:02:12.480]  今天我想問一下大家
[00:02:12.480 --> 00:02:15.240]  剛才那三個Emoji
[00:02:15.240 --> 00:02:17.040]  你今天坐在這裡
[00:02:17.040 --> 00:02:19.920]  你是用什麼Emoji去面對
[00:02:19.920 --> 00:02:22.480]  去想這條問題呢?
[00:02:22.480 --> 00:02:25.080]  今天我想跟大家一起探討這件事
[00:02:25.080 --> 00:02:30.080]  我想跟大家分享聖經一個人物的經歷和故事
[00:02:30.080 --> 00:02:33.280]  確實他用了十二年的經歷
[00:02:33.280 --> 00:02:35.280]  其實耶穌跟他都沒有關係
[00:02:35.280 --> 00:02:38.680]  但是他因為一個經歷
[00:02:38.680 --> 00:02:41.080]  他的生命有不同的改變
[00:02:41.080 --> 00:02:43.880]  今天我想跟大家看馬可福音的一段經文
[00:02:43.880 --> 00:02:47.080]  可能你們從小到大都有聽過
[00:02:47.080 --> 00:02:49.880]  這個患血流女人的故事
[00:02:49.880 --> 00:02:55.480]  我想跟大家分開三段去看看這個故事的進程是如何發展
[00:02:55.480 --> 00:02:59.080]  我想邀請大家一起讀25至26字的經文
[00:02:59.080 --> 00:02:59.680]  我們一起讀吧
[00:02:59.680 --> 00:03:00.880]  準備起
[00:03:00.880 --> 00:03:04.880]  有一個女人患了十二年的血流
