
[00:00:00.000 --> 00:00:04.800]  想和大家讀出約書亞記十四章六至十五節
[00:00:04.800 --> 00:00:06.880]  今天我想用啟認的方式讀
[00:00:06.880 --> 00:00:09.160]  先是弟兄男士讀
[00:00:09.160 --> 00:00:11.840]  然後姐妹接著輪流讀
[00:00:11.840 --> 00:00:14.720]  為了收音我每節都會讀
[00:00:14.720 --> 00:00:16.520]  我先請弟兄
[00:00:16.520 --> 00:00:17.520]  第六節
[00:00:17.520 --> 00:00:20.520]  由大人來到吉甲
[00:00:20.520 --> 00:00:22.160]  約書亞那裡
[00:00:22.160 --> 00:00:23.440]  基尼洗族
[00:00:23.440 --> 00:00:25.200]  耶父尼的兒子
[00:00:25.200 --> 00:00:27.320]  迦勒對約書亞說
[00:00:27.320 --> 00:00:30.400]  耶和華在迦底斯巴尼亞
[00:00:30.400 --> 00:00:34.320]  指著我和你對神人摩西所說的話
[00:00:34.320 --> 00:00:36.000]  你都知道
[00:00:36.000 --> 00:00:41.040]  耶和華的僕人摩西從迦底斯巴尼亞
[00:00:41.040 --> 00:00:44.160]  差派我窺探這地的時候
[00:00:44.160 --> 00:00:46.000]  我剛四十歲
[00:00:46.000 --> 00:00:49.520]  我把心裡的話向他報告
[00:00:49.520 --> 00:00:53.840]  弟兄雖然和我想去的眾弟兄
[00:00:53.840 --> 00:00:56.400]  使百姓膽戰心驚
[00:00:56.400 --> 00:01:00.480]  我仍然專心跟從耶和華我的神
[00:01:00.480 --> 00:01:03.240]  那日摩西起誓說
[00:01:03.240 --> 00:01:05.240]  你腳所踏之地
[00:01:05.240 --> 00:01:09.240]  必要歸你和你子孫永遠為業
[00:01:09.240 --> 00:01:13.240]  因為你專心跟從耶和華我的神
[00:01:13.240 --> 00:01:15.240]  現在看啊
[00:01:15.240 --> 00:01:17.440]  耶和華照他所說的
[00:01:17.440 --> 00:01:20.240]  使我活了這四十五年
[00:01:20.240 --> 00:01:23.840]  當以色列人在曠野漂流的時候
[00:01:23.840 --> 00:01:27.080]  耶和華曾對摩西說了這話
[00:01:27.080 --> 00:01:28.600]  現在看啊
[00:01:28.600 --> 00:01:31.240]  我已經八十五歲了
[00:01:31.240 --> 00:01:33.840]  現今我還肯見狀
[00:01:33.840 --> 00:01:37.640]  像摩西差派我去的那天一樣
[00:01:37.640 --> 00:01:40.440]  無論是戰爭是出入
[00:01:40.440 --> 00:01:44.840]  我現在的力量和那時的力量一樣
