
[00:00:00.000 --> 00:00:02.000]  在講到開始的時候
[00:00:02.000 --> 00:00:05.000]  我先給大家看看一隻鸚鵡
[00:00:05.000 --> 00:00:09.000]  有沒有人認識這隻鸚鵡屬於什麼類型的鸚鵡呢?
[00:00:09.000 --> 00:00:12.000]  阿俊和阿沙沙應該是知道的
[00:00:12.000 --> 00:00:14.000]  知道是什麼種類嗎?
[00:00:14.000 --> 00:00:16.000]  牠叫做愛情鳥
[00:00:16.000 --> 00:00:21.000]  這個名字其實是因為牠很深情的天性而得名的
[00:00:21.000 --> 00:00:25.000]  這幅照片裡的這隻鸚鵡的名字叫做Donut
[00:00:25.000 --> 00:00:28.000]  是我一位親戚養的愛情鳥
[00:00:28.000 --> 00:00:32.000]  最近這隻Donut生了幾隻鸚鵡BB
[00:00:32.000 --> 00:00:35.000]  所以牠變成了Donut媽媽
[00:00:35.000 --> 00:00:39.000]  有一天親戚發現Donut媽媽的樣子不太對勁
[00:00:39.000 --> 00:00:42.000]  胸口沒有了一些乳毛
[00:00:42.000 --> 00:00:44.000]  很古怪
[00:00:44.000 --> 00:00:47.000]  再仔細看牠的鼻子就酸了
[00:00:47.000 --> 00:00:51.000]  因為Donut媽媽為了令牠的巢暖一點
[00:00:51.000 --> 00:00:54.000]  把自己胸口的毛拔出來
[00:00:54.000 --> 00:00:57.000]  放在鸚鵡BB的巢裡
[00:00:57.000 --> 00:00:59.000]  我看到這個姿勢的時候
[00:00:59.000 --> 00:01:01.000]  我鼻子也酸了
[00:01:01.000 --> 00:01:04.000]  也是很感動
[00:01:04.000 --> 00:01:06.000]  我又再想
[00:01:06.000 --> 00:01:09.000]  其實神何嘗不是這樣愛我們呢?
[00:01:09.000 --> 00:01:12.000]  神道性肉身為我們在世上去降生
[00:01:12.000 --> 00:01:14.000]  放下牠的尊貴
[00:01:14.000 --> 00:01:18.000]  不單是為我們去拔乳毛
[00:01:18.000 --> 00:01:20.000]  而是為我們去死
[00:01:20.000 --> 00:01:22.000]  這份愛的長闊高深
[00:01:22.000 --> 00:01:25.000]  不知道有沒有感動到你呢?
[00:01:25.000 --> 00:01:28.000]  我們有沒有可能像Donut媽媽那樣
[00:01:28.000 --> 00:01:30.000]  成為一個令人感動
[00:01:30.000 --> 00:01:33.000]  令人得安慰的一個人呢?
[00:01:33.000 --> 00:01:35.000]  今天的講道是
[00:01:35.000 --> 00:01:37.000]  Glorify God, Fight for Jesus
[00:01:37.000 --> 00:01:39.000]  的連題系列
[00:01:39.000 --> 00:01:41.000]  道成肉身的功課的閱題
[00:01:41.000 --> 00:01:44.000]  講題就是道成肉身的使命
[00:01:44.000 --> 00:01:47.000]  讓我們今天一邊聽道
[00:01:47.000 --> 00:01:50.000]  也繼續一邊去思想主對我們的愛
[00:01:50.000 --> 00:01:52.000]  我們先一起來讀
[00:01:52.000 --> 00:01:55.000]  福音4章16至21節
[00:01:55.000 --> 00:01:57.000]  好,一起來
[00:01:57.000 --> 00:01:59.000]  耶穌來到拿撒勒
[00:01:59.000 --> 00:02:01.000]  就是祂長大的地方
[00:02:01.000 --> 00:02:02.000]  在安息日
[00:02:02.000 --> 00:02:05.000]  照祂素常的規矩進了會堂
[00:02:05.000 --> 00:02:07.000]  站起來要唸聖經
[00:02:07.000 --> 00:02:10.000]  有人把以塞亞先知的書交給祂
[00:02:10.000 --> 00:02:11.000]  祂就打開
[00:02:11.000 --> 00:02:13.000]  找到一處寫著
[00:02:13.000 --> 00:02:15.000]  主的靈在我身上
[00:02:15.000 --> 00:02:17.000]  因為祂用高高我
[00:02:17.000 --> 00:02:20.000]  叫我傳福音給貧窮的人
[00:02:20.000 --> 00:02:22.000]  差遣我宣告
[00:02:22.000 --> 00:02:23.000]  被擄的得釋放
[00:02:23.000 --> 00:02:25.000]  失明的得看見
[00:02:25.000 --> 00:02:27.000]  受壓迫的得自由
[00:02:27.000 --> 00:02:30.000]  宣告神越立人的欺憐
[00:02:30.000 --> 00:02:39.000]  會堂裡的人都定睜看他
[00:02:39.000 --> 00:02:40.000]  耶穌對他們說
[00:02:40.000 --> 00:02:42.000]  你們聽見的這段經文
[00:02:42.000 --> 00:02:45.000]  今天已經應驗了
[00:02:45.000 --> 00:02:48.000]  路加福音是第四章一開始的時候
[00:02:48.000 --> 00:02:51.000]  是主耶穌去聖養魔鬼的試探
[00:02:51.000 --> 00:02:54.000]  然後就開始在加利利的傳道工作
[00:02:54.000 --> 00:02:57.000]  拿撒勒就是主耶穌長大的地方
