
[00:00:00.000 --> 00:00:04.220]  好,謝謝敬拜隊帶我們去敬拜
[00:00:04.220 --> 00:00:06.120]  剛才唱詩歌的時候
[00:00:06.120 --> 00:00:06.840]  嘩,這麼…
[00:00:06.840 --> 00:00:08.760]  剛才唱詩歌的時候…嘩,這麼健美
[00:00:08.760 --> 00:00:10.360]  剛才唱詩歌的時候
[00:00:10.360 --> 00:00:12.400]  我想起一件事
[00:00:12.400 --> 00:00:15.280]  我剛才唱《投靠》的時候
[00:00:15.280 --> 00:00:19.520]  我都會想起究竟唱到洪水氾濫
[00:00:19.520 --> 00:00:21.120]  即將氾濫之時
[00:00:21.120 --> 00:00:22.240]  是否我主宰著為王
[00:00:22.240 --> 00:00:23.920]  我都會想起究竟
[00:00:23.920 --> 00:00:26.720]  我在洪水氾濫的時候
[00:00:26.720 --> 00:00:32.600]  能否認定上帝是值得倚靠的主呢?
[00:00:32.600 --> 00:00:36.520]  我唱的時候都會想起
[00:00:36.520 --> 00:00:38.280]  對於大家來說
[00:00:38.280 --> 00:00:40.240]  我不知道現在這一刻的你
[00:00:40.240 --> 00:00:41.840]  你的洪水氾濫是什麼
[00:00:41.840 --> 00:00:45.280]  可能是大專那一班
[00:00:45.280 --> 00:00:46.520]  你仍然在這個星期
[00:00:46.520 --> 00:00:48.640]  應該是尚未的高峰期
[00:00:48.640 --> 00:00:50.680]  要交東西、要考東西
[00:00:50.680 --> 00:00:52.200]  或者高中的你們
[00:00:52.200 --> 00:00:53.840]  可能你們正在考試
[00:00:53.840 --> 00:00:56.480]  嘩,取到痴線了
[00:00:56.480 --> 00:00:58.040]  我都會問的是
[00:00:58.040 --> 00:00:59.280]  在這個過程中
[00:00:59.280 --> 00:01:03.480]  你是否能夠認定上帝是你能夠倚靠的主呢?
[00:01:03.480 --> 00:01:04.600]  我鼓勵大家的是
[00:01:04.600 --> 00:01:06.360]  有時候我們回來唱詩歌
[00:01:06.360 --> 00:01:07.080]  我們要敬拜
[00:01:07.080 --> 00:01:08.600]  有時候都是要我們記得的是
[00:01:08.600 --> 00:01:11.120]  我們要找的是誰呢?
[00:01:11.120 --> 00:01:14.840]  都想和大家分享一下這個體會
[00:01:14.840 --> 00:01:18.280]  今天去分享神的話語
[00:01:18.280 --> 00:01:20.320]  不過在進入經文之前
[00:01:20.320 --> 00:01:22.520]  我想問大家一件事
[00:01:22.520 --> 00:01:26.880]  我不知道你們是否認同以下這一句話
[00:01:26.880 --> 00:01:29.840]  就是環境的衝擊
[00:01:29.840 --> 00:01:33.880]  容易令人的信仰「滑了瓦」
[00:01:33.880 --> 00:01:35.760]  可能會問什麼是「滑了瓦」
[00:01:35.760 --> 00:01:39.160]  這個好像是很久以前的字眼
[00:01:39.160 --> 00:01:40.560]  其實就是在說一些
