
[00:00:00.000 --> 00:00:03.320]  弟兄姊妹,踏入2025年
[00:00:03.320 --> 00:00:06.520]  當你們最近這幾天看新聞
[00:00:06.520 --> 00:00:09.360]  會不會也有些心酸的感覺?
[00:00:09.360 --> 00:00:10.800]  也有吧?
[00:00:10.800 --> 00:00:13.800]  接二連三的空難
[00:00:13.800 --> 00:00:18.080]  一報告的離世人數
[00:00:18.080 --> 00:00:21.280]  真的很心酸和很震撼
[00:00:21.280 --> 00:00:23.840]  看完這個空難之後沒多久
[00:00:23.840 --> 00:00:26.000]  又看到就算是香港
[00:00:26.000 --> 00:00:28.800]  在一條行人路上走著走著
[00:00:28.800 --> 00:00:31.800]  也會有車突然間鏟上來
[00:00:31.800 --> 00:00:34.400]  奪去了寶貴的生命
[00:00:34.400 --> 00:00:37.000]  這些新聞也讓我想到
[00:00:37.000 --> 00:00:40.600]  原來我們今天能夠有生命氣息
[00:00:40.600 --> 00:00:42.400]  我們能夠在一年之初
[00:00:42.400 --> 00:00:44.600]  來到神的殿來敬拜祂
[00:00:44.600 --> 00:00:46.600]  是不是因典啊?弟兄姊妹
[00:00:46.600 --> 00:00:48.600]  讓我們開始之前低頭
[00:00:48.600 --> 00:00:51.600]  將以下寶貴的時間交給我們的神
[00:00:51.600 --> 00:00:55.200]  親愛的主耶穌
[00:00:55.200 --> 00:00:56.400]  親愛的天父
[00:00:56.400 --> 00:00:57.600]  親愛的聖靈
[00:00:57.600 --> 00:00:58.800]  感謝祢
[00:00:58.800 --> 00:01:02.200]  感謝祢從歲守到年終
[00:01:02.200 --> 00:01:05.200]  都一直保守拖帶我們
[00:01:05.200 --> 00:01:06.600]  主啊知道在這個世上
[00:01:06.600 --> 00:01:10.200]  真的有很多的突如其來的苦難
[00:01:10.200 --> 00:01:15.200]  求主祢都安慰當中失去家人的家庭
[00:01:15.200 --> 00:01:15.800]  主啊
[00:01:15.800 --> 00:01:18.600]  在這個新年這麼開心的日子
[00:01:18.600 --> 00:01:21.000]  他們要面對這些事情的時候
[00:01:21.000 --> 00:01:23.800]  主啊就求祢的安慰親自臨到他們
[00:01:23.800 --> 00:01:25.800]  也讓我們在在的弟兄姊妹
[00:01:25.800 --> 00:01:28.200]  當我們仍然有生命氣息
[00:01:28.200 --> 00:01:32.400]  能夠用口來敬拜祢歌頌祢
[00:01:32.400 --> 00:01:33.600]  能夠有眼睛
[00:01:33.600 --> 00:01:35.800]  有心來學習
[00:01:35.800 --> 00:01:37.600]  來聆聽祢的話語
[00:01:37.600 --> 00:01:38.200]  主啊
[00:01:38.200 --> 00:01:41.600]  叫我們存著很感恩的心
[00:01:41.600 --> 00:01:44.000]  來領受祢自己的話
[00:01:44.000 --> 00:01:46.600]  我就求這個時間
[00:01:46.600 --> 00:01:47.200]  聖靈
[00:01:47.200 --> 00:01:49.800]  真理的聖靈運行在我們當中
[00:01:49.800 --> 00:01:50.800]  帶領我們
[00:01:50.800 --> 00:01:52.000]  激勵我們
[00:01:52.000 --> 00:01:53.800]  讓我們在新的一年
[00:01:53.800 --> 00:01:55.400]  充滿力量的
[00:01:55.400 --> 00:01:57.800]  來可以被祢使用
[00:01:57.800 --> 00:01:59.200]  來見證祢
[00:01:59.200 --> 00:02:01.000]  求主祝福使用
[00:02:01.000 --> 00:02:03.000]  我們的祈禱奉耶穌基督
[00:02:03.000 --> 00:02:04.600]  得聖的名祈求
[00:02:04.600 --> 00:02:05.400]  阿們
