
[00:00:00.000 --> 00:00:07.000]  謝謝敬拜隊帶領我們一起去敬拜
[00:00:07.000 --> 00:00:10.000]  剛才唱了一首歌的時候
[00:00:10.000 --> 00:00:14.000]  他說有很多風暴要來到
[00:00:14.000 --> 00:00:17.000]  我馬上想起剛才說颱風走了
[00:00:17.000 --> 00:00:19.000]  但我又馬上心想的是
[00:00:19.000 --> 00:00:23.000]  可能大家的生命中都在經歷颱風
[00:00:23.000 --> 00:00:26.000]  無盡的考試 無盡的中途
[00:00:26.000 --> 00:00:30.000]  譚叔說他明天早上要考中途
[00:00:30.000 --> 00:00:32.000]  還未溫習完
[00:00:32.000 --> 00:00:34.000]  怎麼辦呢 剛才張博謙說
[00:00:34.000 --> 00:00:36.000]  剛剛考完二考回來
[00:00:36.000 --> 00:00:38.000]  我覺得最近我們都經歷很多
[00:00:38.000 --> 00:00:41.000]  生活中的風暴
[00:00:41.000 --> 00:00:46.000]  但確實主到 剛才都說是掌權那個
[00:00:46.000 --> 00:00:50.000]  所以鼓勵大家繼續回來聽神的話語
[00:00:50.000 --> 00:00:54.000]  在生活中連結是非常重要的
[00:00:54.000 --> 00:00:57.000]  今天跟大家分享訊息
[00:00:57.000 --> 00:01:04.000]  經文的標題是
[00:01:04.000 --> 00:01:06.000]  堅持的最後一章
[00:01:06.000 --> 00:01:10.000]  堅持只因心愛著你知道嗎
[00:01:10.000 --> 00:01:13.000]  去到十月的最後一個星期
[00:01:13.000 --> 00:01:17.000]  如果大家有記得這兩個月
[00:01:17.000 --> 00:01:20.000]  我們的月題透過不同的目者
[00:01:20.000 --> 00:01:23.000]  都說到堅持是一件什麼事情
[00:01:23.000 --> 00:01:25.000]  今天最後一個星期
[00:01:25.000 --> 00:01:28.000]  很想跟大家回到基本步
[00:01:28.000 --> 00:01:29.000]  我們back to basic
[00:01:29.000 --> 00:01:32.000]  去看看堅持是一件什麼事情
[00:01:32.000 --> 00:01:34.000]  不過在進入經文講到之前
[00:01:34.000 --> 00:01:39.000]  很想先跟大家分享一個自己不堅持的經歷
[00:01:39.000 --> 00:01:42.000]  是什麼呢 我不知道大家記不記得
[00:01:42.000 --> 00:01:45.000]  早兩年青少年會舉辦了一個活動
[00:01:45.000 --> 00:01:48.000]  在疫情之後和大家去水上樂園
[00:01:48.000 --> 00:01:50.000]  可能你有些記得
[00:01:50.000 --> 00:01:52.000]  疫情之後大家一起去玩
[00:01:52.000 --> 00:01:54.000]  去海洋公園
[00:01:54.000 --> 00:01:57.000]  很深刻印象是什麼呢
[00:01:57.000 --> 00:01:58.000]  那時候很記得
[00:01:58.000 --> 00:02:00.000]  如果大家有去過水上樂園
[00:02:00.000 --> 00:02:02.000]  知道有些機動遊戲
[00:02:02.000 --> 00:02:04.000]  水上樂園的機動遊戲
[00:02:04.000 --> 00:02:07.000]  它是要走上去磅那裡
[00:02:07.000 --> 00:02:11.000]  去看一下你一起玩的人的體重是多少
[00:02:11.000 --> 00:02:15.000]  之後如果太重就要分開
[00:02:15.000 --> 00:02:19.000]  我很記得疫情之前
[00:02:19.000 --> 00:02:24.000]  按我的骨架大概是六十多公斤
[00:02:24.000 --> 00:02:27.000]  我記得當時和Unity一起玩那個遊戲
[00:02:27.000 --> 00:02:29.000]  我站在第一個
[00:02:29.000 --> 00:02:32.000]  我走上去第一個走上去磅那裡
[00:02:32.000 --> 00:02:36.000]  我看到那個號碼在跳
[00:02:36.000 --> 00:02:40.000]  七十多在問
[00:02:40.000 --> 00:02:43.000]  當然按我的骨架按我的肚腩
[00:02:43.000 --> 00:02:45.000]  我就知道我胖了
[00:02:45.000 --> 00:02:49.000]  疫情之後又吃飯又不能做運動
