
[00:00:00.000 --> 00:00:04.600]  好想同大家讀出《創世紀》23章全章的經文
[00:00:04.600 --> 00:00:06.840]  我就想我做旁白
[00:00:06.840 --> 00:00:09.840]  我們當中的弟兄男士就做阿伯拉罕
[00:00:09.840 --> 00:00:13.560]  而姐妹女士就做赫人和伊芬倫
[00:00:13.560 --> 00:00:14.720]  簡單來說
[00:00:14.720 --> 00:00:15.560]  如果你是男的
[00:00:15.560 --> 00:00:17.280]  你看到綠色字就讀就行了
[00:00:17.280 --> 00:00:18.600]  女的就讀啡色
[00:00:18.600 --> 00:00:19.920]  因為收音的緣故
[00:00:19.920 --> 00:00:21.200]  我全部都要讀的
[00:00:21.200 --> 00:00:22.600]  那我開始了
[00:00:22.600 --> 00:00:24.400]  《創世紀》23章
[00:00:24.400 --> 00:00:27.200]  撒拉享壽一百二十七歲
[00:00:27.200 --> 00:00:30.200]  這是撒拉一生的積歲數
[00:00:30.200 --> 00:00:34.600]  撒拉死在迦南地的基列阿爸就是希伯倫
[00:00:34.600 --> 00:00:39.000]  阿伯拉罕哀悼撒拉為他哭泣
[00:00:39.000 --> 00:00:41.000]  然後阿伯拉罕起來
[00:00:41.000 --> 00:00:42.800]  離開死人面前
[00:00:42.800 --> 00:00:44.200]  對赫人說
[00:00:44.200 --> 00:00:47.400]  我在你們中間是外人
[00:00:47.400 --> 00:00:48.800]  是寄居的
[00:00:48.800 --> 00:00:52.400]  請給我你們那裡的一塊墳地
[00:00:52.400 --> 00:00:55.000]  我好埋葬我的亡妻
[00:00:55.000 --> 00:00:57.600]  使她不在我的面前
[00:00:57.600 --> 00:01:00.200]  赫人回答阿伯拉罕說
[00:01:00.200 --> 00:01:02.000]  我主請聽
[00:01:02.000 --> 00:01:06.400]  你在我們中間是一位尊貴的王子
[00:01:06.400 --> 00:01:11.600]  只管在我們最好的墳地裡埋葬你的死人
[00:01:11.600 --> 00:01:18.800]  我們沒有一人會拒絕你在他的墳墓裡埋葬你的死人
[00:01:18.800 --> 00:01:20.800]  於是阿伯拉罕起來
