
[00:00:00.000 --> 00:00:04.040]  今天的講道是
[00:00:04.040 --> 00:00:05.240]  先問問大家
[00:00:05.240 --> 00:00:08.640]  知不知道今期的書卷是關於什麼的?
[00:00:08.640 --> 00:00:09.840]  《希伯來書》
[00:00:09.840 --> 00:00:10.960]  非常好
[00:00:10.960 --> 00:00:12.920]  主題是什麼呢?
[00:00:12.920 --> 00:00:16.840]  希伯來書想講的大主題是什麼呢?
[00:00:16.840 --> 00:00:19.160]  「定正基督」
[00:00:19.160 --> 00:00:20.200]  「興漢榮辱」
[00:00:20.200 --> 00:00:21.280]  非常好
[00:00:21.280 --> 00:00:22.760]  這是一個大系列
[00:00:22.760 --> 00:00:26.880]  今天我們要看的希伯來書是第四章
[00:00:26.880 --> 00:00:30.240]  我給的題目是「安息在乎神」
[00:00:30.240 --> 00:00:33.160]  與今天的敬拜詩歌也很配合
[00:00:33.160 --> 00:00:37.600]  透過第四章讓我們一起思考一下
[00:00:37.600 --> 00:00:40.880]  與我們信仰息息相關的課題
[00:00:40.880 --> 00:00:42.120]  是什麼課題呢?
[00:00:42.120 --> 00:00:47.040]  就是如何才能夠知取到從神而來的安息
[00:00:47.040 --> 00:00:49.280]  先問問大家
[00:00:49.280 --> 00:00:50.280]  丁子妹
[00:00:50.280 --> 00:00:55.160]  在座有多少人覺得自己是一個算是忙碌的人?
[00:00:55.160 --> 00:00:56.160]  你舉手
[00:00:56.160 --> 00:00:57.600]  也算是忙碌的
[00:00:57.600 --> 00:00:59.120]  不用客氣
[00:00:59.120 --> 00:01:00.600]  不用謙虛
[00:01:00.600 --> 00:01:05.560]  很多人都覺得自己是忙碌的人
[00:01:05.560 --> 00:01:07.560]  我想問問大家
[00:01:07.560 --> 00:01:09.560]  如果一個忙碌的人
[00:01:09.560 --> 00:01:13.840]  能否營救享受到神的安息呢?
[00:01:13.840 --> 00:01:17.160]  我聽到是比較難的
[00:01:17.160 --> 00:01:18.360]  這些有掙扎
[00:01:18.360 --> 00:01:18.880]  好
[00:01:18.880 --> 00:01:24.680]  最近我與一位以前我目會的姐妹吃飯
[00:01:24.680 --> 00:01:28.160]  這位姐妹是一位很拼搏的姐妹
[00:01:28.160 --> 00:01:32.440]  意思就是她在工作上很努力
[00:01:32.440 --> 00:01:34.480]  給她一些事情做
[00:01:34.480 --> 00:01:36.480]  她就做到100分
[00:01:36.480 --> 00:01:41.280]  由於她的工作是做展覽
[00:01:41.280 --> 00:01:45.000]  所以總是非常忙碌的
[00:01:45.000 --> 00:01:47.520]  她說除了放假之外
[00:01:47.520 --> 00:01:52.080]  從早到晚都不停聯絡不同的客人
[00:01:52.080 --> 00:01:54.480]  要一直跟他們WhatsApp
[00:01:54.480 --> 00:01:56.720]  並且將客人的要求
[00:01:56.720 --> 00:02:01.000]  要跟內地的廠商溝通
[00:02:01.000 --> 00:02:04.480]  製作貨板、驗貨、出貨、運輸、裝置
[00:02:04.480 --> 00:02:06.080]  我這樣說已經很多了
[00:02:06.080 --> 00:02:07.760]  直到展覽當日
[00:02:07.760 --> 00:02:10.400]  都忙到天旋地轉
[00:02:10.400 --> 00:02:14.440]  要將心比基里墮入角色裡
[00:02:14.440 --> 00:02:16.080]  要跟一個客人
[00:02:16.080 --> 00:02:17.880]  已經是非常忙碌
[00:02:17.880 --> 00:02:22.160]  何況這位姐妹是跟著五、六個客人
[00:02:22.160 --> 00:02:25.040]  平日上班星期一至星期六
[00:02:25.040 --> 00:02:29.560]  她的手機都會24小時開著
[00:02:29.560 --> 00:02:32.640]  因為她很怕錯過了一些訊息
[00:02:32.640 --> 00:02:35.120]  公司就很恩待她
[00:02:35.120 --> 00:02:36.920]  看你覺得是不是恩待她
[00:02:36.920 --> 00:02:38.640]  就說既然有這麼多客人
[00:02:38.640 --> 00:02:42.320]  不如我專誠出一部專用電話給你
[00:02:42.320 --> 00:02:44.240]  是不是很恩待她
[00:02:44.240 --> 00:02:45.960]  我也不知道是不是恩待
[00:02:45.960 --> 00:02:47.760]  再問問這位姐妹
[00:02:47.760 --> 00:02:50.760]  有多少人有兩部電話或以上
[00:02:50.760 --> 00:02:52.760]  兩部
[00:02:52.760 --> 00:02:53.760]  不用怕
[00:02:53.760 --> 00:02:55.760]  舉高一點也可以
[00:02:55.760 --> 00:02:58.760]  有兩部手機
[00:02:58.760 --> 00:03:01.760]  以前會覺得除了的士司機
[00:03:01.760 --> 00:03:04.760]  或者醫生
[00:03:04.760 --> 00:03:06.760]  或者一些很緊急的人員
[00:03:06.760 --> 00:03:08.360]  他們才有兩部手機
[00:03:08.360 --> 00:03:10.760]  但是直到今天
[00:03:10.760 --> 00:03:13.760]  如果你放眼乘搭地鐵或巴士
[00:03:13.760 --> 00:03:17.760]  有兩部手機一點都不詫異的事情
