
[00:00:00.000 --> 00:00:02.800]  好,問問大家
[00:00:02.800 --> 00:00:07.600]  有沒有試過在教會留下你的物品呢?
[00:00:07.600 --> 00:00:09.400]  有沒有?
[00:00:09.400 --> 00:00:11.400]  有的,對了
[00:00:11.400 --> 00:00:18.000]  不說不知道,其實教會每年都收集到很多你們的失物
[00:00:18.000 --> 00:00:22.800]  我們會不定時地將這些失物擺出來
[00:00:22.800 --> 00:00:26.400]  希望他們的主人可以認領他們
[00:00:26.400 --> 00:00:31.600]  大家猜猜通常會有什麼失物呢?
[00:00:31.600 --> 00:00:33.800]  嘩,很厲害,對了
[00:00:33.800 --> 00:00:38.400]  傘,大家沒有下雨就忘記了
[00:00:38.400 --> 00:00:43.200]  有水瓶,又有衣服,因為冷氣冷
[00:00:43.200 --> 00:00:46.200]  有些人留下了一副眼鏡
[00:00:46.200 --> 00:00:50.800]  可能戴著老花,丟下它
[00:00:50.800 --> 00:00:54.000]  有些是耳塞,有些銀包
[00:00:54.000 --> 00:00:59.600]  電話,聖經,還有些書
[00:00:59.600 --> 00:01:05.200]  總之有機會在我們身上出現的物品都可能會留下
[00:01:05.200 --> 00:01:09.400]  從以上失物的數量和種類來看
[00:01:09.400 --> 00:01:16.600]  我發現,你們通常遺失的都是經常會用的,隨身的物品
[00:01:16.600 --> 00:01:18.800]  在我們的生活中
[00:01:18.800 --> 00:01:22.800]  忘記會否成為我們的習慣
[00:01:22.800 --> 00:01:27.200]  一些很重要的事,我們都忘記了呢?
[00:01:27.200 --> 00:01:29.600]  忘記帶走這些物件
[00:01:29.600 --> 00:01:32.200]  其實都是很小事,沒有什麼大不了
[00:01:32.200 --> 00:01:35.200]  或者都不是什麼值錢的東西
[00:01:35.200 --> 00:01:40.400]  但是有一種忘記,就不是小事了,是很嚴重的
[00:01:40.400 --> 00:01:43.600]  就是我們連神的恩典
[00:01:43.600 --> 00:01:46.000]  神在我們身上所做的一切
[00:01:46.000 --> 00:01:48.800]  我們都忘記得一乾二淨
[00:01:48.800 --> 00:01:51.800]  可以說是屬靈上的失憶
[00:01:51.800 --> 00:01:57.000]  今天我們做了基督徒也有一段日子,不是初信
[00:01:57.000 --> 00:02:01.200]  可能有人信了十年,有沒有信了十年?
[00:02:01.200 --> 00:02:03.600]  二十年?
[00:02:03.600 --> 00:02:05.400]  三十年?
[00:02:05.400 --> 00:02:09.200]  嘩,三十年也很多
[00:02:09.200 --> 00:02:13.200]  但是我們會否也失去了一些記憶
[00:02:13.200 --> 00:02:15.200]  就是對自己的身份
[00:02:15.200 --> 00:02:20.200]  自己的過去,以及神的恩典,我們都遺忘了呢?
[00:02:20.200 --> 00:02:26.000]  我們會否經常活在以前未信主的時候的狀況
[00:02:26.000 --> 00:02:29.800]  而忘記自己要有什麼使命呢?
[00:02:29.800 --> 00:02:31.600]  在《耳窟所書》裡面
[00:02:31.600 --> 00:02:36.000]  保羅再一次刺激我們和神的記憶
[00:02:36.000 --> 00:02:38.200]  今天我們就一起來回顧一下
[00:02:38.200 --> 00:02:40.800]  神救贖恩典,好嗎?
[00:02:40.800 --> 00:02:43.400]  今天是教會崇拜主題
[00:02:43.400 --> 00:02:47.600]  「恩典同行」《耳窟所書》講道系列的第三講
[00:02:47.600 --> 00:02:50.800]  講道《耳窟所書》的第二章
[00:02:50.800 --> 00:02:55.400]  大家還記得第一章講過什麼嗎?
[00:02:55.400 --> 00:02:57.600]  哦,這樣吧
