
[00:00:00.000 --> 00:00:07.200]  大家好大家好大家好大家好
[00:00:07.200 --> 00:00:14.600]  首先多謝一班侍奉人員團隊,可否給點掌聲鼓勵一下他們
[00:00:14.600 --> 00:00:20.000]  多謝敬拜隊,AV Team 和獅士隊在我們當中服侍
[00:00:20.000 --> 00:00:26.800]  我覺得很久沒有站在這裡跟大家說,剛才敬拜,我覺得敬拜很棒
[00:00:26.800 --> 00:00:33.600]  我不知道你們有什麼看法,敬拜之餘又有少少清新的味道
[00:00:33.600 --> 00:00:38.800]  令到我都很安靜
[00:00:38.800 --> 00:00:42.200]  不過剛才主席問我們今個星期有什麼心情
[00:00:42.200 --> 00:00:46.600]  你們是不是在考試?考完試了嗎?
[00:00:46.600 --> 00:00:52.000]  我其實今個星期有點緊張,因為很久沒有試過講道
[00:00:52.000 --> 00:00:57.600]  雖然上星期剛剛講完,但好像很久沒有試過在清少部講道
[00:00:57.600 --> 00:01:00.000]  有點緊張,今日到
[00:01:00.000 --> 00:01:06.400]  我想問下大家,大家其實信了主沒有?
[00:01:06.400 --> 00:01:09.400]  首先問下一個基本問題,有沒有人信了主?信了主沒有?
[00:01:09.400 --> 00:01:15.600]  看一下,都有些人未舉手,願主祝福你,大應你信主
[00:01:15.600 --> 00:01:23.000]  有沒有人經歷過上帝之後信主,或者信了主之後經歷過上帝?
[00:01:23.000 --> 00:01:25.000]  經歷過神的有沒有人?
[00:01:25.000 --> 00:01:29.000]  都有些人
[00:01:29.000 --> 00:01:33.000]  我不會問你,放心
[00:01:33.000 --> 00:01:38.000]  我家中的兒女都比你們大
[00:01:38.000 --> 00:01:45.000]  很多時候都會問我,回教會的人怎樣?
[00:01:45.000 --> 00:01:49.000]  我通常都會和他們分享
[00:01:49.000 --> 00:01:55.000]  他們會問我信主有沒有特別經歷?
[00:01:55.000 --> 00:01:58.000]  我都會和他們分享,經歷神是怎樣?
[00:01:58.000 --> 00:02:01.000]  弟兄姊妹信了主之後會怎樣?
[00:02:01.000 --> 00:02:03.400]  他們都會問,你們有沒有被人問過?
[00:02:03.400 --> 00:02:05.400]  其實回教會做什麼?
[00:02:05.400 --> 00:02:08.000]  信了主之後會怎樣?
[00:02:08.000 --> 00:02:09.400]  有什麼會發生?
