
[00:00:00.000 --> 00:00:03.640]  今天想跟大家分享離家書
[00:00:03.640 --> 00:00:08.280]  是一個分享霸凌的綜結
[00:00:08.280 --> 00:00:14.680]  第二章想跟大家一起讀這張聖經
[00:00:14.680 --> 00:00:18.880]  這張聖經裡面說到一些很劇烈的霸凌
[00:00:18.880 --> 00:00:24.080]  特別是今天早上我看到特朗普和普京會面
[00:00:24.080 --> 00:00:27.080]  可能大家看到正如剛才Hugo所說
[00:00:27.080 --> 00:00:28.680]  其實有很多問號我們問的
[00:00:28.680 --> 00:00:32.400]  為什麼霸凌者還可以到處走呢?
[00:00:32.400 --> 00:00:34.800]  是一個不宜的事情
[00:00:34.800 --> 00:00:35.800]  什麼時候終結呢?
[00:00:35.800 --> 00:00:37.120]  我們也有很多這些問題要問
[00:00:37.120 --> 00:00:41.480]  今天這段經文也是我們經常看霸凌的一段經文
[00:00:41.480 --> 00:00:43.760]  我首先讀一至二節
[00:00:43.760 --> 00:00:46.280]  我請弟兄由第三節讀到第六節
[00:00:46.280 --> 00:00:47.600]  稍後會叫大家
[00:00:47.600 --> 00:00:50.000]  姐妹由第七節讀到第十一節
[00:00:50.000 --> 00:00:51.400]  然後十二、十三節一起讀
[00:00:51.400 --> 00:00:53.760]  因為這是經文的分段
[00:00:53.760 --> 00:00:56.360]  讀的時候大家可能會明白多一點
[00:00:56.360 --> 00:00:58.600]  我首先讀一至二節
[00:00:58.600 --> 00:01:03.840]  「禍災那些在床上圖謀罪孽,籌劃惡事的人
[00:01:03.840 --> 00:01:07.360]  天一亮他們因手中有能力就去行惡
[00:01:07.360 --> 00:01:11.800]  他們看上田地就佔據,貪圖房屋便不奪取
[00:01:11.800 --> 00:01:16.360]  他們欺壓戶主和他的家庭,霸佔人和他的產業。」
[00:01:16.360 --> 00:01:18.360]  我請弟兄讀三至六節
[00:01:18.360 --> 00:01:19.640]  一、二、三
[00:01:19.640 --> 00:01:22.000]  「所以耶和華如此說
[00:01:22.000 --> 00:01:26.000]  看!我籌劃災禍降禦者家族
[00:01:26.000 --> 00:01:30.280]  這災禍在你們頸項上無法解脫
[00:01:30.280 --> 00:01:33.000]  你們也不能昂首而行
[00:01:33.000 --> 00:01:36.000]  因為這是災禍的時刻
[00:01:36.000 --> 00:01:39.800]  到那日必有人為你們唱詩歌
[00:01:39.800 --> 00:01:43.200]  用悲哀的哀歌哀號說
[00:01:43.200 --> 00:01:45.200]  我們全現敗落
[00:01:45.200 --> 00:01:48.080]  我百姓的產業亦主了
[00:01:48.080 --> 00:01:50.840]  耶和華竟然使他離開我
[00:01:50.840 --> 00:01:55.000]  我們的田地為活躍的人所瓜分了
[00:01:55.000 --> 00:02:00.800]  因此,你必無人能在耶和華的會中抽籤拉繩
[00:02:00.800 --> 00:02:03.600]  他們全講說,不可全講
[00:02:03.600 --> 00:02:06.400]  人都不可全講這些事
[00:02:06.400 --> 00:02:08.600]  羞辱不會臨到我們。」
[00:02:08.600 --> 00:02:10.400]  我請姐妹讀七至十一節
[00:02:10.400 --> 00:02:11.800]  姐妹,一、二、三
[00:02:11.800 --> 00:02:14.600]  「亞各家可這麼說嗎?
[00:02:14.600 --> 00:02:16.800]  耶和華沒有內心嗎?
[00:02:16.800 --> 00:02:19.600]  這些事是他所行的嗎?
[00:02:19.600 --> 00:02:24.400]  我的言語豈不是與行動正直的人有益嗎?
[00:02:24.400 --> 00:02:28.400]  近來我的百姓興起如仇敵
[00:02:28.400 --> 00:02:31.400]  你們剝去那些安然行路
[00:02:31.400 --> 00:02:34.800]  不願打仗之人身上的外衣
[00:02:34.800 --> 00:02:39.200]  把我百姓中的婦人從安樂家中趕出
[00:02:39.200 --> 00:02:44.800]  又將我的榮耀從他們孩子身上永遠奪去
[00:02:44.800 --> 00:02:46.600]  起來,走吧!
[00:02:46.600 --> 00:02:49.200]  這裡並非安潔之處
[00:02:49.200 --> 00:02:52.200]  因為不潔淨,大來毀壞
[00:02:52.200 --> 00:02:54.800]  且是大大的毀壞
[00:02:54.800 --> 00:02:58.600]  若有人心存虛假,用謊言說
[00:02:58.600 --> 00:03:03.000]  我向你們全港可得清走和列走
[00:03:03.000 --> 00:03:07.000]  那人就必作者百姓的全港者
[00:03:07.000 --> 00:03:08.600]  十二、十三節我們一起讀
[00:03:08.600 --> 00:03:09.800]  一、二、三
[00:03:09.800 --> 00:03:13.200]  亞各家,我定要聚集你們
[00:03:13.200 --> 00:03:16.400]  定要焦聚以色列的移民
[00:03:16.400 --> 00:03:19.200]  將他們安置在一處
[00:03:19.200 --> 00:03:23.800]  如波斯拉的羊,猶如草場上的羊群
[00:03:23.800 --> 00:03:27.000]  人數眾多,大大喧嘩
[00:03:27.000 --> 00:03:30.400]  開路的在他們前面上去
[00:03:30.400 --> 00:03:34.000]  直闖過城門,從城門出去
[00:03:34.000 --> 00:03:36.800]  他們的王在前面行
[00:03:36.800 --> 00:03:40.000]  耶和華在他們的前頭
[00:03:40.000 --> 00:03:43.400]  這是一段關於土地霸凌的經文
[00:03:43.400 --> 00:03:47.800]  我們不僅看到今天俄羅斯在烏克蘭的霸凌
[00:03:47.800 --> 00:03:49.400]  我們更加看到
[00:03:49.400 --> 00:03:53.800]  其實任何一場人類戰爭最終極的目的
[00:03:53.800 --> 00:03:56.400]  都是將土地據為己有
[00:03:56.400 --> 00:04:00.000]  近來在泰國和柬埔寨邊境的衝突
[00:04:00.000 --> 00:04:01.400]  是因為他們在山區裏面
[00:04:01.400 --> 00:04:05.200]  一座叫普利維希的很小的土地
[00:04:05.200 --> 00:04:06.800]  一個很小的寺廟
[00:04:06.800 --> 00:04:10.000]  他們爭論這個寺廟是歸屬於誰
[00:04:10.000 --> 00:04:14.000]  已經引致十多萬人要漂流離開邊境
[00:04:14.000 --> 00:04:17.000]  也有幾十個軍民死亡
[00:04:17.000 --> 00:04:19.000]  已經不是一場很大的衝突
[00:04:19.000 --> 00:04:22.000]  從某個角度已經有十多萬人要離開
[00:04:22.000 --> 00:04:24.400]  今天如果大家再看遠一點
[00:04:24.400 --> 00:04:25.400]  在巴勒斯坦
[00:04:25.400 --> 00:04:29.000]  到底那塊地是屬於以色列還是巴勒斯坦
[00:04:29.000 --> 00:04:30.200]  都是一場戰爭
[00:04:30.200 --> 00:04:33.000]  或者一場不能完結的戰爭
