
[00:00:00.000 --> 00:00:03.000]  頂主會主內平安
[00:00:03.000 --> 00:00:06.600]  首先真的很開心和很欣賞大家
[00:00:06.600 --> 00:00:11.000]  能夠冒著風雨或者天氣不穩定
[00:00:11.000 --> 00:00:13.400]  今天回到我們的殿當中
[00:00:13.400 --> 00:00:15.800]  我們一起去敬拜我們的天父
[00:00:15.800 --> 00:00:18.200]  我覺得美得無比
[00:00:18.200 --> 00:00:20.600]  剛好今天是父親節
[00:00:20.600 --> 00:00:23.600]  不知道這裡在座有多少位父親
[00:00:23.600 --> 00:00:25.400]  開始了
[00:00:25.400 --> 00:00:27.400]  也不少
[00:00:27.400 --> 00:00:30.400]  希望今天在我們當中
[00:00:30.400 --> 00:00:33.400]  我們一方面享受節日的氣氛
[00:00:33.400 --> 00:00:36.000]  同樣抱著一個感恩敬拜的心
[00:00:36.000 --> 00:00:38.400]  去對準我們的天父好不好
[00:00:38.400 --> 00:00:39.400]  感謝主
[00:00:39.400 --> 00:00:41.600]  很想邀請和旁邊的那位說一聲
[00:00:41.600 --> 00:00:44.400]  很開心今天和你一起敬拜
[00:00:44.400 --> 00:00:52.400]  在主內的團契真是美
[00:00:52.400 --> 00:00:53.400]  在我們先講道之前
[00:00:53.400 --> 00:00:55.400]  我們一起同心去禱告
[00:00:56.400 --> 00:01:00.400]  親主,我感謝讚美你
[00:01:00.400 --> 00:01:02.400]  今天讓我們一班弟兄姊妹
[00:01:02.400 --> 00:01:05.400]  屬你的兒女聚首一堂
[00:01:05.400 --> 00:01:07.400]  在你的殿當中去敬拜
[00:01:07.400 --> 00:01:08.400]  去聆聽你的話語
[00:01:08.400 --> 00:01:12.400]  求主,你的說話能夠進入我們每一個人的心裏
[00:01:12.400 --> 00:01:13.400]  去光照我們
[00:01:13.400 --> 00:01:16.400]  讓我們都能夠去測驗我們的生命
[00:01:16.400 --> 00:01:20.400]  又或者我們能夠去更新、轉化、改變
[00:01:20.400 --> 00:01:23.400]  去遵從上帝你的話語
[00:01:23.400 --> 00:01:26.400]  讓我們生命,藉著跟隨你
[00:01:26.400 --> 00:01:29.400]  能夠得享、順利、亨通
[00:01:29.400 --> 00:01:30.400]  感謝主,祖國交託
[00:01:30.400 --> 00:01:33.400]  感恩,奉教,絕督,得聖的名字
[00:01:33.400 --> 00:01:34.400]  阿們
[00:01:34.400 --> 00:01:36.400]  剛才在詩歌裏面
[00:01:36.400 --> 00:01:38.400]  最後那幾節
[00:01:38.400 --> 00:01:41.400]  同樣令到我是一個很感動的時間
[00:01:41.400 --> 00:01:43.400]  在最後講道就是
[00:01:43.400 --> 00:01:47.400]  從而生火永存,心志總不老
[00:01:47.400 --> 00:01:51.400]  成為真實門徒,知信服神好
[00:01:52.400 --> 00:01:56.400]  重讚神恩高,雄恩滔滔
[00:01:56.400 --> 00:01:59.400]  我覺得沒有跟敬拜隊合作過
[00:01:59.400 --> 00:02:02.400]  但是這幾句歌詞
[00:02:02.400 --> 00:02:08.400]  正正就好像在這裏開始了我的講章
[00:02:08.400 --> 00:02:12.400]  所以在心裏面都很有感恩的心
[00:02:12.400 --> 00:02:14.400]  今天是父親節的日子
[00:02:14.400 --> 00:02:18.400]  我選擇了以家庭為主題作為宣講的內容
[00:02:18.400 --> 00:02:21.400]  這次的講題名為「父父相傳」
[00:02:21.400 --> 00:02:23.400]  作為上一代
