
[00:00:00.000 --> 00:00:05.700]  早安大英姐妹 早安
[00:00:05.700 --> 00:00:09.020]  首先可否給予我們服侍團隊掌聲
[00:00:09.020 --> 00:00:12.320]  鼓勵一下他們 他們很早就回到練歌
[00:00:12.320 --> 00:00:17.080]  每一次在初中講道我都給一個很欣賞的眼神
[00:00:17.080 --> 00:00:21.380]  無論AV Team 獅士隊和勁敗隊都很值得鼓勵
[00:00:21.380 --> 00:00:30.100]  因為你們初中 這些哥哥姐姐在當中給我們一起服侍上帝
[00:00:30.100 --> 00:00:33.220]  讓我們專心敬拜上帝
[00:00:33.220 --> 00:00:37.820]  有些人很生面孔 這裡是誰來的
[00:00:37.820 --> 00:00:42.760]  我介紹一下 有沒有中一的大英姐妹在這裡
[00:00:42.760 --> 00:00:46.340]  中一 有的 有的 主動 主動 主動
[00:00:46.340 --> 00:00:49.580]  非常欣賞你們 我介紹一下 我叫Billy
[00:00:49.580 --> 00:00:53.620]  我是青少部的其中一個傳道
[00:00:53.620 --> 00:00:58.540]  我主要在大專和職稱團契
[00:00:58.540 --> 00:01:01.300]  所以你星期天很少見我
[00:01:01.300 --> 00:01:05.740]  不過很感恩今天能夠跟大家分享整個說話
[00:01:05.740 --> 00:01:10.780]  我想問一下大家 現在初中這個階段
[00:01:10.780 --> 00:01:15.280]  現在這個時代還流行看漫畫嗎
[00:01:15.280 --> 00:01:17.080]  有沒有人有看漫畫
[00:01:17.080 --> 00:01:21.500]  有的 有的 但很少 現在是否不流行
[00:01:21.500 --> 00:01:24.120]  其實你不要看我這個年紀
[00:01:24.120 --> 00:01:26.620]  其實我都看漫畫的 我小時候看
[00:01:26.620 --> 00:01:31.160]  好像你這麼大 我就看了很久
[00:01:31.160 --> 00:01:38.660]  但我現在年紀大了 現在很少出書
[00:01:38.660 --> 00:01:43.360]  又不想看電腦 看那麼多文字 現在看不到
[00:01:43.360 --> 00:01:47.540]  我轉了看動漫 你們有沒有看動漫
[00:01:47.540 --> 00:01:50.840]  都有 都是看漫畫的那幾個有看動漫
[00:01:50.840 --> 00:01:56.140]  我也有看 最近又追完一套
[00:01:56.140 --> 00:01:59.800]  這幾套漫畫是我很喜歡的
[00:01:59.800 --> 00:02:01.280]  有沒有人有看
[00:02:01.280 --> 00:02:02.780]  Slam Dunk應該不是你們那個年代
[00:02:02.780 --> 00:02:04.040]  Slam Dunk也有看
[00:02:04.040 --> 00:02:06.000]  有些導師舉手
[00:02:06.000 --> 00:02:08.440]  Slam Dunk應該是我們這個年代
[00:02:08.440 --> 00:02:13.360]  Spy 鬼滅 鬼滅也有看
[00:02:13.360 --> 00:02:16.360]  其實我也很out
[00:02:16.360 --> 00:02:21.860]  因為我才剛剛追完鬼滅
[00:02:21.860 --> 00:02:24.960]  我不知道你們為什麼喜歡看
[00:02:24.960 --> 00:02:28.960]  公仔很漂亮 故事好看
[00:02:28.960 --> 00:02:32.460]  我自己為什麼喜歡看這類型漫畫
[00:02:32.460 --> 00:02:37.160]  其實很多不同類型有體育 有奇怪的東西
[00:02:37.160 --> 00:02:40.360]  不過我想吸引我當中的主角
[00:02:40.360 --> 00:02:46.060]  裡面的態度 他的性格都很吸引我們
[00:02:46.060 --> 00:02:48.460]  特別有一樣東西很吸引我
[00:02:48.460 --> 00:02:51.560]  就是他們在他們的生命裡面
[00:02:51.560 --> 00:02:53.560]  他們有一個目標
[00:02:53.560 --> 00:02:54.860]  追隨著一個目標
[00:02:54.860 --> 00:02:57.460]  那個目標他破盡一切
[00:02:57.460 --> 00:02:59.560]  很熱血 很堅持
[00:02:59.560 --> 00:03:02.960]  他都很想去完成到 去達到
[00:03:02.960 --> 00:03:04.960]  不過我想問一下你們
[00:03:04.960 --> 00:03:06.960]  這件事吸不吸引你們
[00:03:06.960 --> 00:03:11.960]  是不是故事還是動畫漂亮吸引你
[00:03:11.960 --> 00:03:13.160]  不過剛才我說了
[00:03:13.160 --> 00:03:18.360]  原來裡面有些特質都很吸引我們
[00:03:18.360 --> 00:03:19.960]  我想吸引我們
[00:03:19.960 --> 00:03:21.960]  可能我們當中都很渴望
[00:03:21.960 --> 00:03:23.960]  同樣有那份熱血
[00:03:23.960 --> 00:03:26.360]  同樣都有那份熱情在裡面
[00:03:26.360 --> 00:03:28.760]  不過反觀我們自己的弟兄姊妹
[00:03:28.760 --> 00:03:32.360]  你坐在這裡 我們都信主
[00:03:32.360 --> 00:03:34.360]  我們在信仰生命裡面
[00:03:34.360 --> 00:03:38.560]  有沒有同樣好像動漫裡面的主角
[00:03:38.560 --> 00:03:40.160]  我們為了信仰
[00:03:40.160 --> 00:03:41.760]  我們仍然都很堅持
[00:03:41.760 --> 00:03:43.760]  我們仍然都很熱情
[00:03:43.760 --> 00:03:45.760]  追隨上帝
[00:03:45.760 --> 00:03:49.760]  那個目標仍然都好像那個主角一樣
[00:03:49.760 --> 00:03:51.760]  我們不顧一切去邁進
[00:03:51.760 --> 00:03:54.360]  我不知道你們有沒有這樣的心態
[00:03:54.360 --> 00:03:56.560]  不過很想透過講道
[00:03:56.560 --> 00:03:58.960]  我又能夠再去反觀
[00:03:58.960 --> 00:04:00.960]  因為我看這篇經文裡面
[00:04:00.960 --> 00:04:04.960]  鬼滅的男主角叫什麼
[00:04:04.960 --> 00:04:06.960]  炭治郎
[00:04:06.960 --> 00:04:09.960]  好像今天看的那個主角一樣
[00:04:09.960 --> 00:04:11.960]  被人打得快要死
[00:04:11.960 --> 00:04:13.960]  他都繼續去堅持很厲害
[00:04:13.960 --> 00:04:16.960]  我們今天先看看聖經
[00:04:16.960 --> 00:04:17.960]  回到聖經裡面
[00:04:17.960 --> 00:04:20.960]  我們今天會看《使徒行傳》第十四章
[00:04:20.960 --> 00:04:24.960]  《使徒行傳》裡面的作者我會介紹一下
[00:04:24.960 --> 00:04:26.960]  他叫路加
[00:04:26.960 --> 00:04:27.960]  他是一個醫生
[00:04:27.960 --> 00:04:33.960]  他也是保羅一個宣教團隊的其中一個成員
[00:04:33.960 --> 00:04:34.960]  很重要的一個成員
[00:04:34.960 --> 00:04:36.960]  他就記錄了
[00:04:36.960 --> 00:04:40.960]  無論是在使徒裡面的事蹟
[00:04:40.960 --> 00:04:42.960]  耶穌聽到
[00:04:42.960 --> 00:04:45.960]  他做了一個資料搜集
[00:04:45.960 --> 00:04:47.960]  去記錄耶穌的生平
[00:04:47.960 --> 00:04:53.960]  甚至去記錄保羅在宣教的旅程當中的事件
[00:04:53.960 --> 00:04:59.960]  《使徒行傳》的內容主要是記錄了聖靈的降臨
[00:04:59.960 --> 00:05:01.960]  和初代教會的成立
[00:05:01.960 --> 00:05:04.960]  就是如何建立教會的整個過程
[00:05:04.960 --> 00:05:05.960]  有什麼意義呢
[00:05:05.960 --> 00:05:09.960]  其實是反映了上帝的計劃裡面
[00:05:09.960 --> 00:05:11.960]  在我們這個世界裡面如何去發生
[00:05:11.960 --> 00:05:13.960]  是很重要的經文
[00:05:13.960 --> 00:05:15.960]  今天我們看兩節經文
[00:05:15.960 --> 00:05:18.960]  《使徒行傳》第十四章二十一至二十二節
[00:05:18.960 --> 00:05:20.960]  我們一起去讀一下經文好不好
[00:05:22.960 --> 00:05:23.960]  A2-3
[00:05:23.960 --> 00:05:25.960]  保羅
[00:05:25.960 --> 00:05:48.960]  我們一起祈禱
[00:05:48.960 --> 00:05:50.960]  切勿添乎感謝你
[00:05:50.960 --> 00:05:54.960]  感謝你招待我們回來教會裡面
[00:05:54.960 --> 00:05:55.960]  一起去敬拜你
[00:05:55.960 --> 00:05:56.960]  聽你的說話
[00:05:56.960 --> 00:06:00.960]  讓聖靈帶領我們以後下來的聽道
[00:06:00.960 --> 00:06:02.960]  求主你保守弟兄姊妹
[00:06:02.960 --> 00:06:06.960]  在當中能夠聽見上帝的話語
[00:06:06.960 --> 00:06:08.960]  更加保守帶領著孩子
[00:06:08.960 --> 00:06:09.960]  所預備的
[00:06:09.960 --> 00:06:10.960]  釋放你的說話
[00:06:10.960 --> 00:06:12.960]  求主你帶領馮主名求
[00:06:12.960 --> 00:06:13.960]  阿門
[00:06:13.960 --> 00:06:15.960]  今天說這兩節經文
[00:06:15.960 --> 00:06:19.960]  這兩節經文其實是一個總結
[00:06:19.960 --> 00:06:23.960]  我想帶出一個很重要的事件發生
[00:06:23.960 --> 00:06:27.960]  就是其實他在之前幾次的事件裡面
[00:06:27.960 --> 00:06:31.960]  在第十四章第八節裡面去發生一件事
[00:06:31.960 --> 00:06:36.960]  其實在第十四章第八節裡面
[00:06:36.960 --> 00:06:42.960]  其實已經去到巴拿巴和保羅第一次宣教旅程的尾站
[00:06:42.960 --> 00:06:48.960]  其實保羅和巴拿巴已經在那個地方一帶
[00:06:48.960 --> 00:06:50.960]  去傳道一段好時間
[00:06:50.960 --> 00:06:55.960]  在當中裡面去到一個叫路斯德城的地方
[00:06:55.960 --> 00:06:56.960]  經文裡面提到
[00:06:56.960 --> 00:06:58.960]  哇 路斯德城
[00:06:58.960 --> 00:07:00.960]  保羅和巴拿巴見到路斯德城裡
[00:07:00.960 --> 00:07:05.960]  有一個一出生就跛腳的一個人
[00:07:05.960 --> 00:07:09.960]  他在當中裡面聽保羅和巴拿巴的講道
[00:07:09.960 --> 00:07:11.960]  去宣講神的話
[00:07:11.960 --> 00:07:13.960]  保羅見到這個跛腳的人
[00:07:13.960 --> 00:07:15.960]  望見他的眼睛
[00:07:15.960 --> 00:07:17.960]  哇 很有信心
