
[00:00:00.000 --> 00:00:05.120]  這對就是林前十三的May和John這對夫婦
[00:00:05.120 --> 00:00:07.120]  為什麼這對夫婦很重要呢?
[00:00:07.120 --> 00:00:09.120]  先掌聲鼓勵
[00:00:09.120 --> 00:00:11.960]  這對夫婦呢
[00:00:11.960 --> 00:00:17.640]  其實John是我們敬拜隊的成員
[00:00:17.640 --> 00:00:19.000]  May也是
[00:00:19.000 --> 00:00:20.680]  我們叫以林敬拜隊
[00:00:20.680 --> 00:00:23.160]  以林敬拜隊的名稱
[00:00:23.160 --> 00:00:27.120]  就是林前和伊甸天聯合敬拜隊
[00:00:27.120 --> 00:00:29.320]  因為以前是同一個團體,只是分團而已
[00:00:29.320 --> 00:00:33.840]  所以沒理由叫伊甸林前那麼麻煩
[00:00:33.840 --> 00:00:36.160]  拿個諧音就變成了伊林
[00:00:36.160 --> 00:00:40.480]  於是我們找了一對伊林敬拜隊的夫婦
[00:00:40.480 --> 00:00:42.800]  跟我們一起獻唱三首歌
[00:00:42.800 --> 00:00:46.320]  一邊講道一邊思想詩歌的內容
[00:00:46.320 --> 00:00:48.000]  當然更加特別的是
[00:00:48.000 --> 00:00:49.800]  John其實是在讀神學的
[00:00:49.800 --> 00:00:51.200]  今年是最後一年
[00:00:51.200 --> 00:00:53.520]  現在在恩福實習
[00:00:53.520 --> 00:00:54.720]  是在二創的
[00:00:54.720 --> 00:00:56.720]  未來可能想來恩福侍奉
[00:00:56.720 --> 00:00:57.520]  不知道行不行
[00:00:57.520 --> 00:00:58.800]  大家討個紀念
[00:00:58.800 --> 00:01:02.440]  May下年度將會打算讀神學
[00:01:02.440 --> 00:01:05.760]  我們願意上帝祝福他們
[00:01:05.760 --> 00:01:08.040]  無論在木會的侍奉
[00:01:08.040 --> 00:01:09.880]  還是在聖樂的侍奉
[00:01:09.880 --> 00:01:11.720]  記不記得三個星期前
[00:01:11.720 --> 00:01:14.960]  我們不是有一個稱為青少主日的
[00:01:14.960 --> 00:01:16.560]  領事的小伙子
[00:01:16.560 --> 00:01:18.800]  是他們的兒子
[00:01:18.800 --> 00:01:22.080]  所以全家都唱歌
[00:01:22.080 --> 00:01:25.480]  好像在那裡
[00:01:25.480 --> 00:01:29.240]  我們今天會用一個很特別的方法
[00:01:29.240 --> 00:01:31.240]  一邊看聖經一邊聽詩歌
[00:01:31.240 --> 00:01:34.640]  去在復活節的清晨
[00:01:34.640 --> 00:01:36.880]  思想主耶穌的愛
[00:01:36.880 --> 00:01:39.120]  今天很想給大家題目
[00:01:39.120 --> 00:01:41.680]  叫做認不出復活的主
[00:01:41.680 --> 00:01:43.640]  我們會讀幾段經文
[00:01:43.640 --> 00:01:45.120]  先坐下來,還沒讀你
[00:01:45.120 --> 00:01:49.040]  我們會一次過讀完
[00:01:49.040 --> 00:01:53.400]  路加福音第24章13到33節
[00:01:53.400 --> 00:01:56.120]  這麼多節經文都難搞
[00:01:56.120 --> 00:01:57.720]  我們就這樣吧
[00:01:57.720 --> 00:02:00.680]  通常我請第一版的13到18節
[00:02:00.680 --> 00:02:03.200]  請姐妹先讀
[00:02:03.200 --> 00:02:06.040]  接著下一版的弟兄
[00:02:06.040 --> 00:02:08.000]  第三版我讀
[00:02:08.000 --> 00:02:10.520]  第四版大家一起讀
[00:02:10.520 --> 00:02:14.120]  弟兄通常會失誤
[00:02:14.120 --> 00:02:15.960]  大家精神一點
[00:02:15.960 --> 00:02:17.440]  請姐妹先讀
[00:02:17.440 --> 00:02:19.440]  第13節,預備
[00:02:19.440 --> 00:02:20.720]  1,2,3
[00:02:20.720 --> 00:02:24.200]  正當那日,門徒中有兩個人
[00:02:24.200 --> 00:02:26.400]  往一個村子去
[00:02:26.400 --> 00:02:29.600]  這村子名叫二馬五師
[00:02:29.600 --> 00:02:33.200]  離耶路撒冷約有二十五里
[00:02:33.200 --> 00:02:37.600]  那門太子談論所遇見的這一切事
[00:02:37.600 --> 00:02:40.240]  正當南丁文的時候
[00:02:40.240 --> 00:02:42.840]  耶穌親自就近他們
[00:02:42.840 --> 00:02:44.640]  和他們同行
[00:02:44.640 --> 00:02:47.680]  只是他們眼睛迷糊了
[00:02:47.680 --> 00:02:49.320]  不認識他
[00:02:49.320 --> 00:02:51.320]  耶穌對他們說
[00:02:51.320 --> 00:02:52.680]  你們走路
[00:02:52.680 --> 00:02:55.760]  彼此談的是什麼事呢
[00:02:55.760 --> 00:02:57.640]  他們就啜著
[00:02:57.640 --> 00:02:59.800]  面上帶著笑容
[00:02:59.800 --> 00:03:04.440]  二人中有一個名叫格羅巴的回答說
[00:03:04.440 --> 00:03:07.080]  你在耶路撒冷坐下
[00:03:07.080 --> 00:03:11.600]  還不知道這幾天所遇到的事
[00:03:11.600 --> 00:03:13.440]  接著弟兄預備起
[00:03:13.440 --> 00:03:14.640]  耶穌說
[00:03:14.640 --> 00:03:16.120]  什麼事呢
[00:03:16.120 --> 00:03:17.160]  他們說
[00:03:17.160 --> 00:03:20.120]  就是那撒勒人耶穌的事
[00:03:20.120 --> 00:03:24.560]  他時過先至在神和眾百姓面前
[00:03:24.560 --> 00:03:27.240]  說話行事都有大能
[00:03:27.240 --> 00:03:30.000]  祭司掌握我們的官府
[00:03:30.000 --> 00:03:31.800]  竟把他解去
[00:03:31.800 --> 00:03:33.240]  定了死罪
[00:03:33.240 --> 00:03:35.320]  釘在十字架上
[00:03:35.320 --> 00:03:37.840]  但我們素來所盼望
[00:03:37.840 --> 00:03:40.800]  要贖以色列民的就是他
[00:03:40.800 --> 00:03:42.320]  不但如此
[00:03:42.320 --> 00:03:44.320]  而且這是成就
[00:03:44.320 --> 00:03:46.800]  現在已經三天了
[00:03:46.800 --> 00:03:47.840]  在這
[00:03:47.840 --> 00:03:52.120]  我們中間有幾個婦女使我們驚奇
[00:03:52.120 --> 00:03:55.640]  她們清早到了墳墓那裡
[00:03:55.640 --> 00:03:58.200]  不見她的身體
[00:03:58.200 --> 00:03:59.920]  周圍來告訴我們
[00:03:59.920 --> 00:04:03.800]  就看見了天使顯然說她活了
[00:04:03.800 --> 00:04:07.280]  又有我們的幾個人往墳墓那裡去
[00:04:07.280 --> 00:04:10.600]  所遇見的正如婦女所說的
[00:04:10.600 --> 00:04:12.600]  只是沒有看見她
[00:04:12.600 --> 00:04:14.200]  耶穌對她們說
[00:04:14.200 --> 00:04:15.640]  無知的人啊
[00:04:15.640 --> 00:04:17.640]  先知所說的一切話
[00:04:17.640 --> 00:04:21.000]  你們的心信得太遲鈍了
[00:04:21.000 --> 00:04:23.000]  基督這樣受害
[00:04:23.000 --> 00:04:24.440]  又進入他的榮耀
[00:04:24.440 --> 00:04:26.640]  豈不是應當的嗎
[00:04:26.640 --> 00:04:29.640]  於是從摩西和眾先知起
[00:04:29.640 --> 00:04:32.480]  凡經上所指著自己的話
[00:04:32.480 --> 00:04:34.800]  都給我們講解明白了
[00:04:34.800 --> 00:04:38.200]  將他們所去的村子
[00:04:38.200 --> 00:04:42.000]  耶穌好像還要往前行
[00:04:42.000 --> 00:04:44.000]  一起讀第29節
[00:04:44.000 --> 00:04:47.000]  她們卻強留她說
[00:04:47.000 --> 00:04:48.480]  時候晚了
[00:04:48.480 --> 00:04:50.480]  白天已經平息
[00:04:50.480 --> 00:04:53.480]  請你和我們和一下
[00:04:53.480 --> 00:04:55.480]  耶穌就進去
[00:04:55.480 --> 00:04:57.480]  要和她們和一下
[00:04:57.480 --> 00:04:59.480]  在要坐直的時候
[00:04:59.480 --> 00:05:01.480]  耶穌賴在臂上
[00:05:01.480 --> 00:05:02.480]  祝謝了
[00:05:02.480 --> 00:05:04.480]  馬開遞給她們
[00:05:04.480 --> 00:05:07.000]  她們的眼睛明瞭了
[00:05:07.000 --> 00:05:09.000]  這才認出她們
[00:05:09.000 --> 00:05:11.000]  忽然耶穌不見了
[00:05:11.000 --> 00:05:13.000]  她們彼此說
[00:05:13.000 --> 00:05:16.000]  在路上我們說話
[00:05:16.000 --> 00:05:19.000]  正我們講解聖經的時候
[00:05:19.000 --> 00:05:22.000]  我們的心豈不是火熱的嗎
