
[00:00:00.000 --> 00:00:08.440]  代表恩福家,包括元朗恩福向大家來問愛
[00:00:08.440 --> 00:00:12.880]  非常欣賞大家坐在14樓的尖尖家
[00:00:12.880 --> 00:00:18.600]  因為你們是讓自己成為愛,不過是走動的愛
[00:00:18.600 --> 00:00:23.080]  我記得很多年前我看明珠930的時候
[00:00:23.080 --> 00:00:28.160]  有一個報導,在澳洲的科學家
[00:00:28.160 --> 00:00:31.440]  人類被設計是用來做什麼呢?
[00:00:31.440 --> 00:00:35.000]  是用來動的,有沒有人動過的?可以舉手嗎?
[00:00:35.000 --> 00:00:41.680]  我想迎新那裡留給建律牧師,對嗎?
[00:00:41.680 --> 00:00:44.480]  迎新,對嗎?不過不要緊
[00:00:44.480 --> 00:00:47.920]  如果第一次回來這個地方來敬拜,可以舉手嗎?
[00:00:47.920 --> 00:00:52.200]  沒有,那你和旁邊的人繼續微笑,好不好?
[00:00:52.200 --> 00:00:55.840]  我們很開心,剛才桑理達帶領我們微笑
[00:00:55.840 --> 00:00:58.280]  祝福我們身邊的人
[00:00:58.280 --> 00:01:03.560]  其實我們元朗恩福,不單走三步
[00:01:03.560 --> 00:01:08.840]  也是健康堂會的增長理論,即自然教會的增長
[00:01:08.840 --> 00:01:14.200]  另外也是將宣教猜拳繼續貫徹
[00:01:14.200 --> 00:01:21.080]  我們很強調,其實每位新來賓來到教會的時候
[00:01:21.080 --> 00:01:23.760]  其實他們的頭5分鐘至10分鐘
[00:01:23.760 --> 00:01:27.800]  其實他們心裡已經決定了下星期會不會回來
[00:01:27.800 --> 00:01:30.480]  這不是我說的,是牧師說的
[00:01:30.480 --> 00:01:32.720]  寫《標榜人生》的作者
[00:01:32.720 --> 00:01:36.560]  所以我們教導我們恩福元朗的弟兄姊妹
[00:01:36.560 --> 00:01:38.920]  如果你覺得自己沒有什麼恩賜
[00:01:38.920 --> 00:01:42.680]  你就學習在家裡刷牙,刷得白一點
[00:01:42.680 --> 00:01:45.920]  如果看哪一種牙膏比較好,刷得白一點就用
[00:01:45.920 --> 00:01:53.000]  刷得很潔白的時候,就可以用你的笑容吸引新來賓
[00:01:53.000 --> 00:01:54.760]  下星期他們會再回來
[00:01:54.760 --> 00:01:59.080]  其實很多教會,香港的和人教會都沒有我們這麼幸福
[00:01:59.080 --> 00:02:00.920]  沒有恩福家這麼幸福
[00:02:00.920 --> 00:02:03.200]  很多都在二樓的地方
[00:02:03.200 --> 00:02:07.720]  可能招牌都不是很大,沒什麼人知道那個是教會
[00:02:07.720 --> 00:02:12.200]  所以其實我們PD的理論,就是Purpose Driven
[00:02:12.200 --> 00:02:16.240]  就是一個目標導向的意思
[00:02:16.240 --> 00:02:21.640]  我們要讓人看到上帝做人的原因
[00:02:21.640 --> 00:02:24.440]  第一章第四字所說
[00:02:24.440 --> 00:02:28.480]  那個神還創立世界,以前在基督裡面去揀選我們
[00:02:28.480 --> 00:02:31.120]  叫我們成為聖傑,無有瑕疵
[00:02:31.120 --> 00:02:34.800]  所以發覺,我的子女都是因福大,由嬰兒開始
[00:02:34.800 --> 00:02:39.840]  青少團契,或者是Exit,或者是React等等
[00:02:39.840 --> 00:02:44.640]  其實他們在這麼多年裡面,他們都一起看標竿人生
[00:02:44.640 --> 00:02:49.280]  一起看陽依的照明,他們是這麼長大的
[00:02:49.280 --> 00:02:53.440]  就是說,其實我們因福每一位弟妹,如果能夠看到
[00:02:53.440 --> 00:02:56.240]  原來我們被造,是一個原因
[00:02:56.240 --> 00:02:59.040]  第一章第四節,在所說的那裡說
[00:02:59.040 --> 00:03:00.560]  就是要我們成為什麼?
[00:03:00.560 --> 00:03:02.960]  聖傑,無有瑕疵
[00:03:02.960 --> 00:03:05.000]  什麼叫聖傑呢?
[00:03:05.000 --> 00:03:07.920]  在舊約的時候已經告訴我們
[00:03:07.920 --> 00:03:11.640]  聖傑其實就是被分別出來的意思
[00:03:11.640 --> 00:03:15.000]  就是從世界的價值觀,從一些外邦人
[00:03:15.000 --> 00:03:17.800]  他們是扮偶像,不認識耶和華真神
[00:03:17.800 --> 00:03:21.040]  是從他們的價值觀,人生觀裡面分別出來
[00:03:21.040 --> 00:03:24.480]  來歸上帝為聖,來討神的喜悅
[00:03:24.480 --> 00:03:26.920]  在生活裡面去展現
[00:03:26.920 --> 00:03:30.440]  當全世界不同民族的人,看到這些人
[00:03:30.440 --> 00:03:34.080]  他們是敬畏上帝,而有美好的生活方式
[00:03:34.080 --> 00:03:36.400]  以及價值觀,人生觀的時候
[00:03:36.400 --> 00:03:39.440]  其他國家的人都將榮耀歸給上帝
[00:03:39.440 --> 00:03:42.480]  這就是神造我們的目的
[00:03:42.480 --> 00:03:45.440]  到了新約的時間,聖傑同樣地
[00:03:45.440 --> 00:03:49.120]  Hyggeus這個字,其實都是指向一個分離
[00:03:49.120 --> 00:03:51.320]  from the world
[00:03:51.320 --> 00:03:53.720]  the world不是一個地球
[00:03:53.720 --> 00:03:59.000]  而是從一個被罪污染的世界
[00:03:59.000 --> 00:04:04.920]  充斥著人的肉體、人的血氣的價值觀
[00:04:04.920 --> 00:04:09.200]  分別出來,來歸神為聖,為主來過生活
[00:04:09.200 --> 00:04:12.280]  所以在十二章的羅馬書一至二節
[00:04:12.280 --> 00:04:14.680]  很明顯保羅告訴我們
[00:04:14.680 --> 00:04:17.880]  他說,頂子們,我以神的慈悲勸你們
[00:04:17.880 --> 00:04:20.160]  慈悲很明顯是指向什麼?
