
[00:00:00.000 --> 00:00:04.000]  剛才唱歌的時候就說我們要盡力去愛神
[00:00:04.000 --> 00:00:08.000]  其實我剛剛過了我結婚的週年紀念
[00:00:08.000 --> 00:00:10.000]  其實每一次的結婚週年紀念
[00:00:10.000 --> 00:00:13.000]  我都覺得是一個丈夫的贖罪日
[00:00:13.000 --> 00:00:16.000]  總之你那天搞些活動大大地
[00:00:16.000 --> 00:00:19.000]  給多點錢好好看看 打卡
[00:00:19.000 --> 00:00:22.000]  讓老婆有些臉
[00:00:22.000 --> 00:00:26.000]  然後平日的罪惡就可以一筆勾銷
[00:00:26.000 --> 00:00:29.000]  平日最大的罪經過我多年的懺悔
[00:00:29.000 --> 00:00:33.000]  我發現他有他說 我有我做
[00:00:33.000 --> 00:00:34.000]  你有你說 我有我做
[00:00:34.000 --> 00:00:36.000]  這是人生很多的懺悔
[00:00:36.000 --> 00:00:40.000]  有些人以為這個叫借了聾耳診耳
[00:00:40.000 --> 00:00:41.000]  是丈夫的專利
[00:00:41.000 --> 00:00:43.000]  其實不是的 下一張powerpoint你就知道了
[00:00:43.000 --> 00:00:46.000]  除了你是丈夫之外
[00:00:46.000 --> 00:00:49.000]  還有一些是聽覺有問題的人
[00:00:49.000 --> 00:00:51.000]  下一張powerpoint你看到就知道
[00:00:51.000 --> 00:00:54.000]  可能我們年紀大了 聽覺有問題
[00:00:54.000 --> 00:00:55.000]  聽不到的
[00:00:55.000 --> 00:00:59.000]  還有兒女的耳朵很靈
[00:00:59.000 --> 00:01:01.000]  都是聽不到父母說話
[00:01:01.000 --> 00:01:02.000]  自動過濾了
[00:01:02.000 --> 00:01:05.000]  學生又不會聽到老師說話
[00:01:05.000 --> 00:01:06.000]  男人就固然知道
[00:01:06.000 --> 00:01:08.000]  同事又聽不到你說話
[00:01:08.000 --> 00:01:10.000]  你叫他做他永遠都會做
[00:01:10.000 --> 00:01:11.000]  最後都是沒有做
[00:01:11.000 --> 00:01:12.000]  老闆也是
[00:01:12.000 --> 00:01:14.000]  說完話好像不算數
[00:01:14.000 --> 00:01:17.000]  失憶的 下個星期又會完全不同了
[00:01:17.000 --> 00:01:19.000]  其實借了聾耳診耳
[00:01:19.000 --> 00:01:22.000]  基本上是每個人的通病
[00:01:22.000 --> 00:01:26.000]  但我發現自己有些時候會很用心去記住
[00:01:26.000 --> 00:01:28.000]  例如弟兄姊妹有事
[00:01:28.000 --> 00:01:31.000]  記得寫在電話上 立即要回覆
[00:01:31.000 --> 00:01:33.000]  還有很多事要講到
[00:01:33.000 --> 00:01:35.000]  記得要寫下 立即要交稿
[00:01:35.000 --> 00:01:37.000]  又說要寫 要準備
[00:01:37.000 --> 00:01:39.000]  其實你記不記得那件事
[00:01:39.000 --> 00:01:41.000]  和你的耳朵是沒有關係的
[00:01:41.000 --> 00:01:44.000]  和你的人身份也沒有關係
[00:01:44.000 --> 00:01:48.000]  只是和你聽的對象
[00:01:48.000 --> 00:01:51.000]  你是否認真聽是有關係的
[00:01:51.000 --> 00:01:54.000]  今天我們看一段出埃及的23章
[00:01:54.000 --> 00:01:56.000]  也看看《馬可福音》
[00:01:56.000 --> 00:01:58.000]  神說過的一定會算帳的
[00:01:58.000 --> 00:02:00.000]  為什麼說得這麼嚴重呢
[00:02:00.000 --> 00:02:01.000]  其實不是算數
[00:02:01.000 --> 00:02:04.000]  因為算數有時候我覺得語氣太普通
[00:02:04.000 --> 00:02:06.000]  神說的應許一定算的
[00:02:06.000 --> 00:02:08.000]  你一定有永生
[00:02:08.000 --> 00:02:10.000]  說得好像很愛 很開心
[00:02:10.000 --> 00:02:12.000]  其實真的會算帳的
[00:02:12.000 --> 00:02:13.000]  算帳的意思是
[00:02:13.000 --> 00:02:16.000]  每個人生命都有自己一盤數
