
[00:00:00.000 --> 00:00:02.000]  我是阿盈
[00:00:02.000 --> 00:00:05.000]  我是警察署的同工
[00:00:05.000 --> 00:00:11.000]  很高興可以在警察署主日的崇拜上來標稱
[00:00:11.000 --> 00:00:14.000]  崇拜來分享訊息
[00:00:14.000 --> 00:00:18.000]  讓我先介紹一下自己的背景
[00:00:18.000 --> 00:00:21.000]  我還未回教會工作之前
[00:00:21.000 --> 00:00:24.000]  我是在報館工作的
[00:00:24.000 --> 00:00:27.000]  但我以前的同事經常都會說
[00:00:27.000 --> 00:00:30.000]  為什麼你可以在報館工作
[00:00:30.000 --> 00:00:33.000]  但完全不看新聞呢?
[00:00:33.000 --> 00:00:37.000]  其實我不喜歡看新聞的其中一個原因
[00:00:37.000 --> 00:00:41.000]  是因為我很怕面對世界各地
[00:00:41.000 --> 00:00:45.000]  經常看到社會上發生的負面新聞
[00:00:45.000 --> 00:00:47.000]  等姐妹
[00:00:47.000 --> 00:00:52.000]  面對著世界各地都充斥著邪惡和敗壞
[00:00:52.000 --> 00:00:55.000]  你會不會有一個反應呢?
[00:00:55.000 --> 00:01:00.000]  你心裏面會不會有發出過以下的疑問呢?
[00:01:00.000 --> 00:01:06.000]  面對世界貧窮、疾苦、剝削的問題
[00:01:06.000 --> 00:01:08.000]  會不會有出路呢?
[00:01:08.000 --> 00:01:12.000]  這些問題究竟可以怎樣去解決?
[00:01:12.000 --> 00:01:17.000]  怎樣才可以幫到那些有需要的人呢?
[00:01:17.000 --> 00:01:21.000]  假設你已經確信主耶穌的教導
[00:01:21.000 --> 00:01:26.000]  假設你已經確信主耶穌的福音
[00:01:26.000 --> 00:01:30.000]  是能夠解決世界上所有問題的出路
[00:01:30.000 --> 00:01:34.000]  那誰能夠將這個福音傳給他們呢?
[00:01:34.000 --> 00:01:38.000]  承擔這個使命的會不會是自己呢?
[00:01:38.000 --> 00:01:42.000]  又假設你願意承擔這個使命
[00:01:42.000 --> 00:01:47.000]  那隨之而來會不會又覺得任務太大
[00:01:47.000 --> 00:01:50.000]  承擔不起呢?
[00:01:50.000 --> 00:01:52.000]  其實以上這些問題
[00:01:52.000 --> 00:01:55.000]  都是經常在我心裏面的營養
[00:01:55.000 --> 00:01:59.000]  亦都是我曾經向神發出的疑問
[00:01:59.000 --> 00:02:00.000]  對於世界的事
[00:02:00.000 --> 00:02:02.000]  我經常都覺得自己很渺小
[00:02:02.000 --> 00:02:04.000]  甚麼都做不到
