
[00:00:00.000 --> 00:00:01.500]  大家好,我是Marcus
[00:00:01.500 --> 00:00:04.260]  很高興可以在一星期前的一年
[00:00:04.260 --> 00:00:07.000]  來這裡跟大家分享整個華語
[00:00:07.000 --> 00:00:09.900]  記得上一次我來到這裡的時候
[00:00:09.900 --> 00:00:11.600]  是去年的二月份
[00:00:11.600 --> 00:00:14.900]  那時候教會還沒有開始實體崇拜
[00:00:14.900 --> 00:00:16.900]  那時候新聞不斷地說
[00:00:16.900 --> 00:00:20.900]  醫院爆滿了,很多人需要睡在街上
[00:00:20.900 --> 00:00:23.200]  當時整個香港的氣氛
[00:00:23.200 --> 00:00:25.000]  大家是比較沮喪的
[00:00:25.000 --> 00:00:28.700]  大家都不知道未來的日子要怎麼過
[00:00:28.700 --> 00:00:31.700]  大概一年之後的今天
[00:00:31.700 --> 00:00:34.700]  我們可以一起崇拜,一起嘗試
[00:00:34.700 --> 00:00:38.700]  這個一定是上帝的恩典和保守
[00:00:38.700 --> 00:00:42.200]  很感謝神可以帶我們回到教會
[00:00:42.200 --> 00:00:44.700]  還有可以繼續使用我們
[00:00:44.700 --> 00:00:49.700]  弟兄姊妹,除了我們可以回到實體崇拜之外
[00:00:49.700 --> 00:00:51.700]  你有沒有想過過去這一年
[00:00:51.700 --> 00:00:54.200]  上帝對你有多好?
[00:00:54.200 --> 00:00:57.700]  或者上帝給你一家人有多少恩典?
[00:00:57.700 --> 00:01:02.700]  還有你有沒有跟別人分享過上帝給你的恩典?
[00:01:02.700 --> 00:01:06.700]  甚至在教會裏面,群體裏面,小組裏面
[00:01:06.700 --> 00:01:09.700]  分享你自己的生命見證
[00:01:09.700 --> 00:01:12.200]  下星期就是過年了
[00:01:12.200 --> 00:01:15.200]  你也可以邀請你的家人一起分享
[00:01:15.200 --> 00:01:17.700]  分享過去一年所發生的事情
[00:01:17.700 --> 00:01:22.700]  過去2022年到今年2023年
[00:01:22.700 --> 00:01:24.200]  一起討論
[00:01:24.200 --> 00:01:26.200]  透過討論和分享
[00:01:26.200 --> 00:01:29.200]  可能你會跟家人一起發現
[00:01:29.200 --> 00:01:30.700]  在你的生命裏面
[00:01:30.700 --> 00:01:33.700]  可能是工作,或者是學校
[00:01:33.700 --> 00:01:36.200]  或者是你跟家人之間
[00:01:36.200 --> 00:01:37.700]  所有細節的位置裏面
[00:01:37.700 --> 00:01:41.700]  你可能會發現上帝給你的恩典
[00:01:41.700 --> 00:01:44.700]  你可能會有新的發現
[00:01:44.700 --> 00:01:46.700]  這個就是全家人一起
[00:01:46.700 --> 00:01:49.700]  所傳恩典的一個很奇妙的事情
[00:01:49.700 --> 00:01:54.700]  大家聚在一起,一起有新的發現
[00:01:54.700 --> 00:01:57.700]  家人團圓和所傳恩典
[00:01:57.700 --> 00:02:00.700]  這個是很多家庭的夢想
[00:02:00.700 --> 00:02:05.700]  但都是很多家庭沒辦法經歷到的事情
[00:02:05.700 --> 00:02:07.700]  很多時候聚在一起
[00:02:07.700 --> 00:02:11.200]  不是所傳恩典,是所傳仇恨
[00:02:11.200 --> 00:02:16.200]  可能20年前,家人之間有很多的紛爭
[00:02:16.200 --> 00:02:18.200]  導致心中有很多的痛
[00:02:18.200 --> 00:02:22.200]  但20年之後,那個傷痛依然存在
[00:02:22.200 --> 00:02:24.200]  20年如一日
[00:02:24.200 --> 00:02:25.700]  每一次見到那個家人
[00:02:25.700 --> 00:02:29.200]  你就突然想起之前他怎樣傷害你
[00:02:29.200 --> 00:02:32.200]  這20年可能都完全沒有夢的
[00:02:32.200 --> 00:02:35.200]  所傳仇恨相同
[00:02:35.200 --> 00:02:38.200]  絕對是容易過所傳神給我們的恩典
[00:02:38.200 --> 00:02:41.700]  或者所傳那個家人對你的好
[00:02:41.700 --> 00:02:44.700]  我們永遠可能比較容易記得
[00:02:44.700 --> 00:02:46.700]  別人犯錯的事情
[00:02:46.700 --> 00:02:49.200]  而不是記得別人好的事情
[00:02:49.200 --> 00:02:52.700]  今天我的講道主題是「經歷神的生命」
[00:02:52.700 --> 00:02:56.700]  我希望透過聖經裡兩兄弟之間的紛爭
[00:02:56.700 --> 00:02:59.200]  和他們紛爭之後的結果
[00:02:59.200 --> 00:03:02.200]  可以幫助到我們一起學習
[00:03:02.200 --> 00:03:06.700]  建立一個敬畏神,以神為中心的生命
[00:03:06.700 --> 00:03:10.200]  希望這樣的轉變可以幫助我們把神的愛
[00:03:10.200 --> 00:03:12.700]  帶到我們的家庭裡
[00:03:12.700 --> 00:03:14.700]  帶到家人的生命裡
[00:03:14.700 --> 00:03:19.200]  幫助大家一起開開心心的過一個好的新年
[00:03:19.200 --> 00:03:22.700]  今天我們經文學創世紀的第三十三章
[00:03:22.700 --> 00:03:25.200]  請大家幫我一起讀經好嗎?
[00:03:25.200 --> 00:03:27.200]  一二三,請!
[00:03:27.200 --> 00:03:56.200]  (唸經)
[00:03:56.200 --> 00:04:15.200]  (唸經)
[00:04:15.200 --> 00:04:35.200]  (唸經)
[00:04:35.200 --> 00:04:47.200]  (唸經)
[00:04:47.200 --> 00:05:16.200]  (唸經)
[00:05:16.200 --> 00:05:27.200]  (唸經)
[00:05:27.200 --> 00:05:38.200]  (唸經)
[00:05:38.200 --> 00:05:50.200]  (唸經)
[00:05:50.200 --> 00:05:57.200]  (唸經)
[00:05:57.200 --> 00:06:26.200]  (唸經)
[00:06:26.200 --> 00:06:46.200]  (唸經)
[00:06:46.200 --> 00:06:49.200]  這是今天的經文,謝謝各位
[00:06:49.200 --> 00:06:51.200]  開始之前我們有一個祈禱
[00:06:51.200 --> 00:06:54.200]  參加者很感恩,我們可以聽到你的華語
[00:06:54.200 --> 00:06:57.200]  希望你幫助我可以很忠心的去傳授你的華語
[00:06:57.200 --> 00:07:00.200]  幫助我們可以在自己的生命裡認識你的主權
[00:07:00.200 --> 00:07:03.200]  祝福我們時間奉耶穌基督得聖的名祈求
[00:07:03.200 --> 00:07:04.200]  阿們
[00:07:04.200 --> 00:07:08.200]  我們今天的經文是創世紀的第三十三章
[00:07:08.200 --> 00:07:12.200]  是一篇關於雅各在返回迦蘭地之前
[00:07:12.200 --> 00:07:15.200]  他拿禮物給他哥哥的一個故事
[00:07:15.200 --> 00:07:21.200]  這件事發生於雅各在創世紀第27章之後的二十多年之後
[00:07:21.200 --> 00:07:27.200]  當年雅各透過欺騙他爸爸拿到耶穌他哥哥的祝福之後
[00:07:27.200 --> 00:07:30.200]  他就離開了他的家
[00:07:30.200 --> 00:07:32.200]  他拿到他哥哥的祝福之後
[00:07:32.200 --> 00:07:35.200]  耶穌就很想殺他
[00:07:35.200 --> 00:07:38.200]  所以雅各為了逃命就離開迦蘭地
[00:07:38.200 --> 00:07:42.200]  一直到今天的第三十三章二十年之後
[00:07:42.200 --> 00:07:46.200]  他要再次返回自己的家鄉迦蘭地
[00:07:46.200 --> 00:07:49.200]  為什麼作者要把這篇故事放在這個位置呢?
[00:07:49.200 --> 00:07:52.200]  雅各一家人就快要進入到迦蘭地
[00:07:52.200 --> 00:07:58.200]  為什麼進入迦蘭地之前的經文不是討論迦蘭地有什麼挑戰等待他呢?
[00:07:58.200 --> 00:08:04.200]  或者經文不是說關於祈求神保守他們新的生活可以很順利
[00:08:04.200 --> 00:08:07.200]  如果你上去旅遊或者移民的話
[00:08:07.200 --> 00:08:11.200]  你去之前的重點可能是準備你自己的旅程
[00:08:11.200 --> 00:08:14.200]  開始準備想一下之後會發生什麼事情
[00:08:14.200 --> 00:08:17.200]  為什麼進入到迦蘭地前的經文
[00:08:17.200 --> 00:08:21.200]  是一篇說關於送禮物給哥哥的故事呢?
