
[00:00:00.000 --> 00:00:02.000]  (音樂結束)
[00:00:03.000 --> 00:00:07.000]  (好,敬拜隊帶領我們有敬拜)
[00:00:07.000 --> 00:00:11.000]  (弟兄姊妹分享剛才敬拜的體會)
[00:00:11.000 --> 00:00:14.000]  (不知道剛才主席問你累嗎)
[00:00:14.000 --> 00:00:15.000]  (你有甚麼體會)
[00:00:15.000 --> 00:00:17.000]  (可能高中的弟兄姊妹)
[00:00:17.000 --> 00:00:20.000]  (可能你前一秒回來的時候還在溫書)
[00:00:20.000 --> 00:00:23.000]  (下一秒可能你要溫書)
[00:00:23.000 --> 00:00:27.000]  (完了大專可能你又要準備要實習)
[00:00:27.000 --> 00:00:28.000]  (有很多事要做)
[00:00:28.000 --> 00:00:31.000]  (但有時敬拜是再一次我們回到)
[00:00:31.000 --> 00:00:34.000]  (其實我們多累都好)
[00:00:34.000 --> 00:00:36.000]  (但其實我們都看到)
[00:00:36.000 --> 00:00:37.000]  (我們都需要神)
[00:00:37.000 --> 00:00:40.000]  (我們都要回去充電)
[00:00:40.000 --> 00:00:42.000]  (小小分享)
[00:00:42.000 --> 00:00:45.000]  (所以鼓勵大家繼續投入敬拜)
[00:00:45.000 --> 00:00:49.000]  (弟兄姊妹進入討論訊息的時間)
[00:00:49.000 --> 00:00:51.000]  (承接前一個月)
[00:00:51.000 --> 00:00:55.000]  (我跟大家分享了自由這個主題)
[00:00:55.000 --> 00:00:59.000]  (今天很想透過保羅討論自由)
[00:00:59.000 --> 00:01:02.000]  (帶出我們作為基督徒)
[00:01:02.000 --> 00:01:04.000]  (我們如何行使自由)
[00:01:04.000 --> 00:01:06.000]  (不知道大家還記得)
[00:01:06.000 --> 00:01:08.000]  (我前一個月講自由的時候)
[00:01:08.000 --> 00:01:09.000]  (講了甚麼)
[00:01:09.000 --> 00:01:12.000]  (前一個月我講自由這個主題)
[00:01:12.000 --> 00:01:13.000]  (很想說的是)
[00:01:13.000 --> 00:01:16.000]  (我們作為基督徒有自由)
[00:01:16.000 --> 00:01:19.000]  (但這個自由是要讓福音能夠自由流動)
[00:01:19.000 --> 00:01:21.000]  (是做大前提的)
[00:01:21.000 --> 00:01:24.000]  (而我們的生命要活出一個怎樣的生命)
[00:01:24.000 --> 00:01:28.000]  (就是要活出一個榮耀主讓人看見神的生命)
[00:01:28.000 --> 00:01:31.000]  (今天很想跟大家分享一個主題)
[00:01:31.000 --> 00:01:33.000]  (叫做進擊的自由)
[00:01:33.000 --> 00:01:35.000]  (這個是源於)
[00:01:35.000 --> 00:01:38.000]  (上年年尾我跟我老婆)
[00:01:38.000 --> 00:01:41.000]  (有空間地)
[00:01:41.000 --> 00:01:43.000]  (趁女兒睡覺的時候)
