
[00:00:00.000 --> 00:00:04.000]  在網上的弟兄姊妹早晨
[00:00:04.000 --> 00:00:07.000]  在我正道之先我想讀出
[00:00:07.000 --> 00:00:12.000]  今日的二賽亞書一章二十一至二十六節
[00:00:12.000 --> 00:00:14.000]  請聽我讀出
[00:00:14.000 --> 00:00:18.000]  可嘆忠信的城變為妓女
[00:00:18.000 --> 00:00:22.000]  從前充滿了公平公義居在其中
[00:00:22.000 --> 00:00:25.000]  然今卻有兇手居住
[00:00:25.000 --> 00:00:28.000]  你的銀紙變為渣紙
[00:00:28.000 --> 00:00:31.000]  你的酒用水參對
[00:00:31.000 --> 00:00:34.000]  你的官長居心叛逆
[00:00:34.000 --> 00:00:37.000]  與盜賊作伴
[00:00:37.000 --> 00:00:39.000]  各都喜愛賄賂
[00:00:39.000 --> 00:00:42.000]  追求壯士
[00:00:42.000 --> 00:00:44.000]  他們不為孤兒伸冤
[00:00:44.000 --> 00:00:49.000]  寡婦的案子也不得呈到他們面前
[00:00:49.000 --> 00:00:54.000]  仁慈主萬君之耶和華以色列的大能者說
[00:00:54.000 --> 00:00:59.000]  我要向我的對頭說行
[00:00:59.000 --> 00:01:02.000]  向我的仇人報仇
[00:01:02.000 --> 00:01:05.000]  我必反手加在你身上
[00:01:05.000 --> 00:01:07.000]  練盡你的渣紙
[00:01:07.000 --> 00:01:09.000]  催正你的雜質
[00:01:09.000 --> 00:01:13.000]  我也必復還你的審判官
[00:01:13.000 --> 00:01:15.000]  像起初一樣
[00:01:15.000 --> 00:01:17.000]  復還你的謀士
[00:01:17.000 --> 00:01:19.000]  像起先一般
[00:01:19.000 --> 00:01:23.000]  然後你必稱為公義之城
[00:01:23.000 --> 00:01:25.000]  忠信之入
[00:01:25.000 --> 00:01:27.000]  讓我們一起同心低頭禱告
[00:01:28.000 --> 00:01:32.000]  主啊我求祢的靈這一刻與我們同在
[00:01:32.000 --> 00:01:35.000]  讓我們說的和聽的
[00:01:35.000 --> 00:01:37.000]  一同被祢的說話去造就
[00:01:37.000 --> 00:01:39.000]  主啊我們要讚美祢
[00:01:39.000 --> 00:01:41.000]  因為在風雨飄搖的日子
[00:01:41.000 --> 00:01:43.000]  祢仍然給我們有敬拜
[00:01:43.000 --> 00:01:46.000]  我們將每一個人的心呈獻給祢
[00:01:46.000 --> 00:01:47.000]  求祢與我們同在
[00:01:47.000 --> 00:01:49.000]  聽我們同心合意的禱告
[00:01:49.000 --> 00:01:51.000]  奉我們救主耶穌保貴命
[00:01:51.000 --> 00:01:52.000]  致以祈求
[00:01:52.000 --> 00:01:53.000]  阿們
[00:01:55.000 --> 00:01:59.000]  澳洲與法國在2016年達成協議
[00:01:59.000 --> 00:02:02.000]  他們建造12艘核動力潛艇
[00:02:02.000 --> 00:02:06.000]  耗資約900億澳元
[00:02:06.000 --> 00:02:09.000]  可惜在2019年9月
[00:02:09.000 --> 00:02:13.000]  澳英美三國將會組成一個新聯盟
[00:02:13.000 --> 00:02:18.000]  因此取消與法國的潛艇合約
[00:02:18.000 --> 00:02:23.000]  法國表示對澳洲取消這份合同
[00:02:23.000 --> 00:02:26.000]  感到被背叛、憤怒、痛苦
[00:02:26.000 --> 00:02:30.000]  他需要澳洲政府澄清和解釋
[00:02:30.000 --> 00:02:35.000]  直言這種事情不應該發生在盟友之間
[00:02:35.000 --> 00:02:39.000]  盟友之間發生毀約的事情
[00:02:39.000 --> 00:02:43.000]  興疾會帶來金錢和名譽的損失
[00:02:43.000 --> 00:02:46.000]  重則可能短兵相接
[00:02:46.000 --> 00:02:47.000]  動刀動槍
[00:02:47.000 --> 00:02:49.000]  最重要的是毀約
[00:02:49.000 --> 00:02:53.000]  令人們被背叛、憤怒
[00:02:53.000 --> 00:02:58.000]  如果同神立的約被人破壞
[00:02:58.000 --> 00:03:01.000]  又會帶來什麼影響呢?
[00:03:01.000 --> 00:03:04.000]  今天我們可以從以塞瓦書的一章
[00:03:04.000 --> 00:03:06.000]  尋找答案
[00:03:06.000 --> 00:03:10.000]  我們可以從以塞瓦書的一章一節知道
[00:03:10.000 --> 00:03:14.000]  先知是服侍在盛世的烏西亞
[00:03:14.000 --> 00:03:17.000]  約坦、阿哈斯、希西加
[00:03:17.000 --> 00:03:20.000]  這幾位猶大王
[00:03:20.000 --> 00:03:22.000]  我們都很想知道
[00:03:22.000 --> 00:03:26.000]  這位被稱為耶和華系拯救的先知
[00:03:26.000 --> 00:03:30.000]  神要藉著他一生的服侍
[00:03:30.000 --> 00:03:33.000]  他在服侍中所看到的
[00:03:33.000 --> 00:03:36.000]  神對他有什麼意象或啟示呢?
[00:03:36.000 --> 00:03:42.000]  他要向猶大和耶路撒冷宣講什麼呢?
[00:03:42.000 --> 00:03:44.000]  剛才我讀出的經文
[00:03:44.000 --> 00:03:49.000]  先知一開口並不是稱讚他們很厲害
[00:03:49.000 --> 00:03:52.000]  反話昌盛
[00:03:52.000 --> 00:03:56.000]  相反,他對耶路撒冷說出一首幻歌
[00:03:56.000 --> 00:04:01.000]  表達他對耶路撒冷的警方悲哀
[00:04:01.000 --> 00:04:11.000]  他感嘆過往耶路撒冷對耶和華是忠信信靠的誠邑
[00:04:11.000 --> 00:04:15.000]  為什麼會變成一個淫蕩不忠的妻子呢?
[00:04:15.000 --> 00:04:20.000]  淪落得像妓女一樣背棄丈夫
[00:04:20.000 --> 00:04:25.000]  想在昔日的城充滿公平公義
[00:04:25.000 --> 00:04:29.000]  但現在竟然被殺手拘捕
[00:04:29.000 --> 00:04:34.000]  弟兄姊妹,你看看耶路撒冷變成什麼樣子
[00:04:34.000 --> 00:04:37.000]  不僅如此,先知還用了兩個比喻
[00:04:37.000 --> 00:04:42.000]  告訴我們耶路撒冷敗壞到什麼地步
[00:04:42.000 --> 00:04:48.000]  他們上次使用的銀紙本來應該要除去雜質
[00:04:48.000 --> 00:04:53.000]  現在竟然變成在淨煉過程中的雜質
[00:04:53.000 --> 00:04:58.000]  下次飲用的淡酒都被稀釋加水
