
[00:00:00.000 --> 00:00:04.800]  在剛剛的星期四是感恩節
[00:00:04.800 --> 00:00:06.800]  看看看
[00:00:06.800 --> 00:00:08.800]  看不看到
[00:00:08.800 --> 00:00:13.200]  我也想稍微認識一下感恩節的由來
[00:00:13.200 --> 00:00:16.800]  於是在網上看到是這樣說的
[00:00:16.800 --> 00:00:19.800]  感恩節是每年十一月
[00:00:19.800 --> 00:00:21.800]  知不知道是第幾天
[00:00:21.800 --> 00:00:23.800]  是十一月十一日
[00:00:23.800 --> 00:00:30.800]  最後的星期四
[00:00:30.800 --> 00:00:32.800]  可能有第五週或第四週
[00:00:32.800 --> 00:00:34.800]  是一個很重要的節日
[00:00:34.800 --> 00:00:36.800]  在北美
[00:00:36.800 --> 00:00:38.800]  就像我們華人所說
[00:00:38.800 --> 00:00:40.800]  是新年和冬至這麼重要
[00:00:40.800 --> 00:00:42.800]  是跟家人團聚
[00:00:42.800 --> 00:00:45.800]  很出名的就是吃火雞
[00:00:45.800 --> 00:00:47.800]  最重要的是感恩
[00:00:47.800 --> 00:00:49.800]  原來是有一個起源
[00:00:49.800 --> 00:00:51.800]  起源就是
[00:00:51.800 --> 00:00:53.800]  在1620年
[00:00:53.800 --> 00:00:55.800]  當時在英國有一群清教徒
[00:00:55.800 --> 00:00:57.800]  逃避一些迫害
[00:00:57.800 --> 00:00:59.800]  乘船去到北美洲
[00:00:59.800 --> 00:01:03.800]  在船上有102人
[00:01:03.800 --> 00:01:05.800]  從獲自由
[00:01:05.800 --> 00:01:08.800]  但剛好那一年又遇到很冷的天氣
[00:01:08.800 --> 00:01:10.800]  在饑寒交壁下
[00:01:10.800 --> 00:01:12.800]  不少人染病身亡
[00:01:12.800 --> 00:01:15.800]  最後剩下大概一半的倖存者
[00:01:15.800 --> 00:01:17.800]  可以去到那個地方
[00:01:17.800 --> 00:01:19.800]  當地有些原住民
[00:01:19.800 --> 00:01:21.800]  印第安人
[00:01:21.800 --> 00:01:23.800]  教他們去生活
[00:01:23.800 --> 00:01:25.800]  生存
[00:01:25.800 --> 00:01:27.800]  在那一年他們很開心
[00:01:27.800 --> 00:01:29.800]  又有經歷到豐收
[00:01:29.800 --> 00:01:33.800]  在那時就定了這個日子
[00:01:33.800 --> 00:01:36.800]  一起全個地方一起去舉辦
[00:01:36.800 --> 00:01:38.800]  一年一次
[00:01:38.800 --> 00:01:40.800]  一個很慶祝的活動
[00:01:40.800 --> 00:01:42.800]  邀請了印第安人一起分享
[00:01:42.800 --> 00:01:45.800]  這個也是一個很重要的節日
[00:01:45.800 --> 00:01:47.800]  也是最多人知道的一個版本
[00:01:47.800 --> 00:01:49.800]  當然有不同版本
[00:01:49.800 --> 00:01:51.800]  這是最多人知道的版本
[00:01:51.800 --> 00:01:54.800]  今天我們要看的經文
[00:01:54.800 --> 00:01:56.800]  詩篇40篇
[00:01:56.800 --> 00:01:58.800]  同樣是記錄
[00:01:58.800 --> 00:02:01.800]  其實是說一些心路歷程
[00:02:01.800 --> 00:02:03.800]  私人的心路歷程
[00:02:03.800 --> 00:02:06.800]  都是由感恩開始的
[00:02:06.800 --> 00:02:08.800]  我們一起去低頭
[00:02:08.800 --> 00:02:10.800]  我們先做個祈禱
[00:02:14.800 --> 00:02:16.800]  感謝父神
[00:02:16.800 --> 00:02:19.800]  讓我們能夠回來教會
[00:02:19.800 --> 00:02:21.800]  去敬拜祢
[00:02:21.800 --> 00:02:23.800]  透過美好的詩歌
[00:02:23.800 --> 00:02:27.800]  很多弟兄姊妹在祢裡面領受
[00:02:27.800 --> 00:02:28.800]  感動
[00:02:28.800 --> 00:02:30.800]  讓我們一起唱出
[00:02:30.800 --> 00:02:32.800]  祢給我們的同在
[00:02:32.800 --> 00:02:33.800]  祢給我們的愛
[00:02:33.800 --> 00:02:34.800]  祢給我們的力量
[00:02:34.800 --> 00:02:36.800]  祢給我們的感激
[00:02:36.800 --> 00:02:38.800]  讓我們有機會繼續
[00:02:38.800 --> 00:02:40.800]  領受祢自己的話語
[00:02:40.800 --> 00:02:42.800]  求祢開我們的心
[00:02:42.800 --> 00:02:44.800]  靈的眼睛
[00:02:44.800 --> 00:02:47.800]  使我們能夠看見祢律法的奇妙
[00:02:47.800 --> 00:02:50.800]  讓講的聽的都被祢的道去建立
[00:02:50.800 --> 00:02:51.800]  聽我們禱告
[00:02:51.800 --> 00:02:52.800]  奉主明求
[00:02:52.800 --> 00:02:53.800]  阿門
[00:02:53.800 --> 00:02:59.800]  今晚都是我們詩篇系列訊息
[00:02:59.800 --> 00:03:01.800]  來到第幾講?
[00:03:01.800 --> 00:03:02.800]  問一下大家
[00:03:02.800 --> 00:03:04.800]  第四?很厲害
[00:03:04.800 --> 00:03:05.800]  第四講
[00:03:05.800 --> 00:03:07.800]  今晚我給了一個主題
[00:03:07.800 --> 00:03:11.800]  就是成為有見證的新民
[00:03:11.800 --> 00:03:14.800]  聽到這個題目有什麼感覺?
[00:03:14.800 --> 00:03:16.800]  今天問弟兄姊妹
[00:03:16.800 --> 00:03:17.800]  我跟他們說
[00:03:17.800 --> 00:03:18.800]  他們聽到
[00:03:18.800 --> 00:03:19.800]  很有壓力啊
[00:03:19.800 --> 00:03:20.800]  導師
[00:03:20.800 --> 00:03:21.800]  不要跟我說這個
[00:03:21.800 --> 00:03:23.800]  我解釋一下
[00:03:23.800 --> 00:03:24.800]  成為
[00:03:24.800 --> 00:03:26.800]  成為是怎樣的?
[00:03:26.800 --> 00:03:29.800]  不是你睡醒就立刻的
[00:03:29.800 --> 00:03:31.800]  不是立刻做的
[00:03:31.800 --> 00:03:33.800]  是慢慢地去做
[00:03:33.800 --> 00:03:35.800]  慢慢地去成為
[00:03:35.800 --> 00:03:38.800]  我給第一點
[00:03:38.800 --> 00:03:39.800]  詩篇40篇
[00:03:39.800 --> 00:03:41.800]  一至五節
[00:03:41.800 --> 00:03:42.800]  第一個小點
[00:03:42.800 --> 00:03:43.800]  有個小標題
[00:03:43.800 --> 00:03:45.800]  就是感恩不斷
[00:03:45.800 --> 00:03:46.800]  我們一起來讀
[00:03:46.800 --> 00:03:48.800]  一至五節
[00:03:48.800 --> 00:03:50.800]  看到經文的一起讀出來
[00:03:50.800 --> 00:03:51.800]  一而起
[00:03:51.800 --> 00:03:55.800]  我曾耐性等候耶和華
[00:03:55.800 --> 00:03:58.800]  他垂聽我的呼求
[00:03:58.800 --> 00:04:00.800]  他從麗坎裡
[00:04:00.800 --> 00:04:01.800]  從淤泥中
[00:04:01.800 --> 00:04:03.800]  把我拉上來
[00:04:03.800 --> 00:04:07.800]  使我的腳立在盤石上
[00:04:07.800 --> 00:04:10.800]  他使我腳步穩健
[00:04:10.800 --> 00:04:13.800]  他使我口唱新歌
[00:04:13.800 --> 00:04:16.800]  就是讚美我們神的話
[00:04:16.800 --> 00:04:19.800]  許多人必看見而懼怕
[00:04:19.800 --> 00:04:22.800]  並要倚靠耶和華
[00:04:22.800 --> 00:04:24.800]  那倚靠耶和華
[00:04:24.800 --> 00:04:28.800]  不理會狂傲和偏向虛假的
[00:04:28.800 --> 00:04:30.800]  這人有福了
[00:04:30.800 --> 00:04:33.800]  耶和華我的神啊
[00:04:33.800 --> 00:04:35.800]  你所行的奇事
[00:04:35.800 --> 00:04:38.800]  為我們所設上的計劃
[00:04:38.800 --> 00:04:41.800]  多到無法盡述
[00:04:41.800 --> 00:04:43.800]  若要述說尋明
[00:04:43.800 --> 00:04:45.800]  不可勝數
[00:04:45.800 --> 00:04:49.800]  剛才提到要感恩
[00:04:49.800 --> 00:04:53.800]  感恩正是指我們去回想
