
[00:00:00.000 --> 00:00:02.920]  很高興可以在新的一年
[00:00:02.920 --> 00:00:04.680]  和大家一起去敬拜
[00:00:04.680 --> 00:00:05.960]  唱詩讚美神
[00:00:05.960 --> 00:00:09.360]  特別是剛才經文的詩歌裡
[00:00:09.360 --> 00:00:11.960]  提到我們要邁步向前
[00:00:11.960 --> 00:00:15.200]  我們希望用神的話
[00:00:15.200 --> 00:00:17.200]  剛才詩歌提到
[00:00:17.200 --> 00:00:20.320]  怎樣對應神的信實
[00:00:20.320 --> 00:00:23.000]  能夠對應在我們生命裡
[00:00:23.000 --> 00:00:24.800]  願意我們都用神的話
[00:00:24.800 --> 00:00:29.000]  去塑造我們這個靠著祂的信仰群體
[00:00:29.000 --> 00:00:33.200]  今天很想和大家分享的題目
[00:00:33.200 --> 00:00:37.920]  就是「遵命和搏役之間的抉擇」
[00:00:37.920 --> 00:00:39.720]  若果大家有印象
[00:00:39.720 --> 00:00:44.000]  我們之前有多少張文掃記?
[00:00:44.000 --> 00:00:47.800]  總共有36張
[00:00:47.800 --> 00:00:49.600]  這裡也有提示給大家
[00:00:49.600 --> 00:00:51.920]  36張文掃記
[00:00:51.920 --> 00:00:57.160]  其實用地點記住分段是最容易的
[00:00:57.160 --> 00:00:59.600]  之前也提過
[00:00:59.600 --> 00:01:04.000]  頭十張是以色列在西外抗野裡
[00:01:04.000 --> 00:01:07.320]  第二十張是在迦底斯巴尼亞
[00:01:07.320 --> 00:01:09.160]  以及我們已經進入了
[00:01:09.160 --> 00:01:11.520]  第十六張之後的十六張
[00:01:11.520 --> 00:01:14.440]  在摩亞平原這三個地方
[00:01:14.440 --> 00:01:19.240]  由上年七月文掃記的主題系列
[00:01:19.240 --> 00:01:22.680]  講「不知不覺間」36張經文
[00:01:22.680 --> 00:01:24.360]  今天有多少張?
[00:01:24.360 --> 00:01:25.640]  21張了
[00:01:25.640 --> 00:01:29.200]  已經超過了三分之二的篇幅
[00:01:29.200 --> 00:01:31.520]  21張即是今天開始
[00:01:31.520 --> 00:01:33.520]  一直往後到36張
[00:01:33.520 --> 00:01:38.320]  記載著摩亞平原所發生的一切遭遇
[00:01:38.320 --> 00:01:42.040]  有好的事和壞事
[00:01:42.040 --> 00:01:43.600]  對於以色列人來說
[00:01:43.600 --> 00:01:45.480]  由21張開始
[00:01:45.480 --> 00:01:51.040]  我們看到第一代以色列人的角色慢慢淡出
[00:01:51.040 --> 00:01:54.160]  包括第一代以色列人的領袖米利安
[00:01:54.160 --> 00:01:56.520]  和亞倫相繼離世
[00:01:56.520 --> 00:01:59.400]  第二代的大祭司以利亞薩
[00:01:59.400 --> 00:02:02.040]  開始在經文裡出現
[00:02:02.040 --> 00:02:05.080]  21至25張記載著
[00:02:05.080 --> 00:02:09.520]  第一代和第二代新舊交替的時期
[00:02:09.520 --> 00:02:11.640]  今天早上透過第21張
[00:02:11.640 --> 00:02:13.880]  我們要思考一下
[00:02:13.880 --> 00:02:19.600]  有關遵命和叛逆這個課題
[00:02:19.600 --> 00:02:22.120]  問問大家
[00:02:22.120 --> 00:02:35.040]  有沒有人在手機裡收到這些訊息?
[00:02:35.040 --> 00:02:37.200]  這些字比較小
[00:02:37.200 --> 00:02:38.520]  我讀給大家聽
[00:02:38.520 --> 00:02:39.920]  應該看不到
[00:02:39.920 --> 00:02:41.160]  這裡說
[00:02:41.160 --> 00:02:44.000]  我們是一間速遞公司發出的訊息
[00:02:44.000 --> 00:02:45.120]  閣下你好
[00:02:45.120 --> 00:02:47.280]  由於你的地址不清楚
[00:02:47.280 --> 00:02:50.400]  我們無法完成配送
[00:02:50.400 --> 00:02:53.800]  請點擊以下連結
[00:02:53.800 --> 00:02:56.000]  如果你收到這個訊息
[00:02:56.000 --> 00:02:58.080]  你會怎樣回應?
[00:02:58.080 --> 00:02:59.720]  點不點擊?
[00:02:59.720 --> 00:03:00.440]  不點擊?
[00:03:00.440 --> 00:03:02.000]  你收不到貨
[00:03:02.000 --> 00:03:03.520]  不怕吧?
[00:03:03.520 --> 00:03:04.320]  都沒有買東西
[00:03:04.320 --> 00:03:07.280]  很清醒了
[00:03:07.280 --> 00:03:09.680]  又或者另一個
[00:03:09.680 --> 00:03:13.080]  你收到這個
[00:03:13.080 --> 00:03:13.920]  什麼公司呢?
[00:03:13.920 --> 00:03:15.840]  就是AXA
[00:03:15.840 --> 00:03:17.560]  不是AIA
[00:03:17.560 --> 00:03:18.840]  也不是AXE
[00:03:18.840 --> 00:03:20.480]  AXE是洗潔精
[00:03:20.480 --> 00:03:22.120]  AXA
[00:03:22.120 --> 00:03:25.440]  這個保險公司發出的訊息
[00:03:25.440 --> 00:03:26.360]  你好
[00:03:26.360 --> 00:03:30.680]  你已經成功簽妥了一年的服務合約
[00:03:30.680 --> 00:03:34.120]  將會自動由你的戶口扣除手續費
[00:03:34.120 --> 00:03:37.120]  續約的費用是48,000元
[00:03:37.120 --> 00:03:38.600]  如果你想關閉
[00:03:38.600 --> 00:03:42.120]  請你幾點前致電給我們
[00:03:42.120 --> 00:03:44.280]  你收到這個訊息
[00:03:44.280 --> 00:03:45.320]  你會怎樣選擇?
[00:03:45.320 --> 00:03:48.520]  怎樣抉擇?
[00:03:48.520 --> 00:03:51.240]  怕不怕戶口被扣錢?
[00:03:51.240 --> 00:03:52.640]  不怕
[00:03:52.640 --> 00:03:54.960]  有多少人會嘗試打電話
[00:03:54.960 --> 00:03:56.760]  去搞清楚這件事
[00:03:56.760 --> 00:03:57.320]  告訴你
[00:03:57.320 --> 00:03:59.560]  其實我真的沒有
[00:03:59.560 --> 00:04:00.680]  不會
[00:04:00.680 --> 00:04:03.840]  你不怕戶口的錢被扣了
[00:04:03.840 --> 00:04:04.920]  不怕
[00:04:04.920 --> 00:04:08.800]  你們都是精明的消費者
[00:04:08.800 --> 00:04:13.320]  不過有些人和我們很不同
[00:04:13.320 --> 00:04:16.960]  最近網上情緣的騙案不斷增加
[00:04:16.960 --> 00:04:19.520]  警方的數字指出
[00:04:19.520 --> 00:04:21.160]  單在上一年
[00:04:21.160 --> 00:04:22.960]  2014年
[00:04:22.960 --> 00:04:24.960]  2014年的上半年
[00:04:24.960 --> 00:04:28.680]  有多少宗網上情緣騙案呢?
[00:04:28.680 --> 00:04:29.800]  你猜
[00:04:29.800 --> 00:04:31.960]  有500宗這麼多
[00:04:31.960 --> 00:04:36.160]  那損失的金額是多少錢呢?
[00:04:36.160 --> 00:04:37.920]  是一個億的兩倍
[00:04:37.920 --> 00:04:39.320]  兩億多
[00:04:39.320 --> 00:04:41.520]  是兩億多
[00:04:41.520 --> 00:04:43.320]  最近看到一個新聞
[00:04:43.320 --> 00:04:48.560]  提到有中年女子墮入網上情緣騙局
[00:04:48.560 --> 00:04:51.920]  話說是一名自稱韓國工程師的騙徒
[00:04:51.920 --> 00:04:53.920]  當然是很帥氣
[00:04:53.920 --> 00:04:59.920]  在Instagram結識了一位50多歲的女士
[00:04:59.920 --> 00:05:03.360]  她們就發展成網絡情人
[00:05:03.360 --> 00:05:07.240]  這位網絡情人每天都會甜言蜜語
[00:05:07.240 --> 00:05:08.120]  每天都會說
[00:05:08.120 --> 00:05:08.960]  早安
[00:05:08.960 --> 00:05:09.600]  你好
[00:05:09.600 --> 00:05:10.760]  今天天氣真好
[00:05:10.760 --> 00:05:11.560]  看到你
[00:05:11.560 --> 00:05:14.360]  就令我心都甜了
[00:05:14.360 --> 00:05:17.240]  你又喜不喜歡我呢?
[00:05:17.240 --> 00:05:20.640]  會錄製一些語音給她
[00:05:20.640 --> 00:05:23.240]  最初這個女士都覺得
[00:05:23.240 --> 00:05:25.240]  這些不理她了
[00:05:25.240 --> 00:05:26.320]  但聽著聽著
[00:05:26.320 --> 00:05:27.960]  不知為何就著迷了
[00:05:27.960 --> 00:05:30.240]  聽了一個月之後
[00:05:30.240 --> 00:05:31.320]  她就覺得
[00:05:31.320 --> 00:05:35.280]  這個真的是認定我的情人
[00:05:35.280 --> 00:05:39.280]  後來這位網絡情人就說
[00:05:39.280 --> 00:05:42.280]  我患了末期肺癌
[00:05:42.280 --> 00:05:44.280]  快要死了
[00:05:44.280 --> 00:05:49.680]  我現在要做一個很緊急的器官移植手術
[00:05:49.680 --> 00:05:53.280]  你可不可以先借錢給我
[00:05:53.280 --> 00:05:56.280]  不單止
[00:05:56.280 --> 00:05:58.280]  我現在這麼平白地說
[00:05:58.280 --> 00:06:00.280]  她現在是在性侶區
[00:06:00.280 --> 00:06:02.280]  她說
[00:06:02.280 --> 00:06:03.680]  我很淒涼
[00:06:03.680 --> 00:06:05.280]  上天真的很不公平
[00:06:05.280 --> 00:06:07.280]  我終於遇到你這麼好的情人
[00:06:07.280 --> 00:06:09.280]  但我現在竟然患了癌症
[00:06:09.280 --> 00:06:12.280]  我們怎樣能夠在一起呢?
[00:06:12.280 --> 00:06:14.680]  你可不可以先借錢給我
[00:06:14.680 --> 00:06:15.680]  我一定會還給你
[00:06:15.680 --> 00:06:16.680]  其實我也很有錢
[00:06:16.680 --> 00:06:19.680]  不過我的錢在韓國扣住了
[00:06:19.680 --> 00:06:21.680]  不能立即運過來
[00:06:21.680 --> 00:06:25.280]  這個女朋友
[00:06:25.280 --> 00:06:27.680]  她聽到心都酸了
[00:06:27.680 --> 00:06:28.280]  不行
[00:06:28.280 --> 00:06:30.280]  我要先轉錢
[00:06:30.280 --> 00:06:32.280]  她轉了多少錢給他呢?
[00:06:32.280 --> 00:06:34.280]  你猜
[00:06:34.280 --> 00:06:36.280]  35次
[00:06:36.280 --> 00:06:38.280]  35次
[00:06:38.280 --> 00:06:39.280]  轉了多少錢呢?
[00:06:39.280 --> 00:06:41.280]  764萬
[00:06:41.280 --> 00:06:44.280]  這個手術非常驚人
[00:06:44.280 --> 00:06:50.280]  最後這個網絡情人就說
[00:06:50.280 --> 00:06:52.280]  雖然醫了這麼多錢
[00:06:52.280 --> 00:06:53.280]  七百多萬
[00:06:53.280 --> 00:06:56.280]  醫生說還是不能保住我的命
[00:06:56.280 --> 00:06:58.280]  我又這麼愛你
[00:06:58.280 --> 00:07:00.280]  不如我把遺產送給你
[00:07:00.280 --> 00:07:03.280]  我有一千萬遺產在韓國
[00:07:03.280 --> 00:07:05.280]  不過韓國過來香港
[00:07:05.280 --> 00:07:08.280]  是有一個手續費要付的
[00:07:08.280 --> 00:07:10.280]  二百萬的行政費
[00:07:10.280 --> 00:07:11.280]  不如你先轉給我
[00:07:11.280 --> 00:07:14.280]  然後我就把一千萬給你
