
[00:00:00.000 --> 00:00:03.000]  今天是年初幾?
[00:00:03.000 --> 00:00:05.680]  年初四,在這裡祝大家
[00:00:05.680 --> 00:00:08.680]  新春夢福,新年快樂
[00:00:08.680 --> 00:00:10.680]  讓我們先安靜下來,好不好?
[00:00:10.680 --> 00:00:15.200]  我們安靜下來吧
[00:00:15.200 --> 00:00:20.540]  剛才一連唱了四首詩歌
[00:00:20.540 --> 00:00:22.920]  去敬拜我們的神
[00:00:22.920 --> 00:00:28.520]  有沒有哪句歌詞是你的心聲呢?
[00:00:28.520 --> 00:00:30.520]  你心中的神在哪裡呢?
[00:00:30.520 --> 00:00:32.520]  在哪裡呢?
[00:00:32.520 --> 00:00:34.520]  神在你的右邊嗎?
[00:00:34.520 --> 00:00:38.520]  你渴想住在神的聖殿嗎?
[00:00:38.520 --> 00:00:44.520]  2025,你渴望更深經歷主的愛
[00:00:44.520 --> 00:00:48.520]  更多數算神的恩典嗎?
[00:00:48.520 --> 00:00:56.520]  今天晚上,第一個農曆新年之後的崇拜
[00:00:56.520 --> 00:00:58.520]  你有什麼渴求呢?
[00:00:58.520 --> 00:01:02.520]  你渴望聆聽神向你說話嗎?
[00:01:02.520 --> 00:01:07.520]  你為自己祈禱吧
[00:01:07.520 --> 00:01:19.520]  全能、全愛、全知的天父上帝
[00:01:19.520 --> 00:01:23.520]  求祢賜我們的智慧明白祢的話
[00:01:23.520 --> 00:01:28.520]  求祢賜我們清心、領受、遵行祢的道
[00:01:28.520 --> 00:01:33.520]  好讓我們的生命越來越像耶穌基督
[00:01:33.520 --> 00:01:36.520]  越來越討祢喜悅
[00:01:36.520 --> 00:01:40.520]  我祈禱奉主命求,阿們
[00:01:40.520 --> 00:01:46.520]  好,請給我第二張泡沫
[00:01:50.520 --> 00:01:54.520]  好,你去過這個屋苑嗎?
[00:01:54.520 --> 00:01:56.520]  去過,這裡是哪裡?
[00:01:56.520 --> 00:01:58.520]  哇,你們很厲害
[00:01:58.520 --> 00:02:01.520]  在80年代,我們一家六口
[00:02:01.520 --> 00:02:05.520]  住在全錦公路山上的一間鐵皮屋
[00:02:05.520 --> 00:02:07.520]  有一年農曆新年
[00:02:07.520 --> 00:02:10.520]  爸爸媽媽帶著我們四兄弟姐妹
[00:02:10.520 --> 00:02:12.520]  走進這個屋苑
[00:02:12.520 --> 00:02:15.520]  在六陽新村的平台拍照
[00:02:15.520 --> 00:02:20.520]  那些年,這所地鐵上蓋的私人屋苑
[00:02:20.520 --> 00:02:24.520]  曾經是我家人夢想之家
[00:02:24.520 --> 00:02:28.520]  丁姐妹,今時今日
[00:02:28.520 --> 00:02:31.520]  你有沒有夢想之家?
[00:02:31.520 --> 00:02:34.520]  哪裡是你的夢想之家呢?
[00:02:34.520 --> 00:02:36.520]  地鐵上蓋的豪宅
[00:02:36.520 --> 00:02:38.520]  半山區的獨立屋
[00:02:38.520 --> 00:02:39.520]  海外的住所
[00:02:39.520 --> 00:02:42.520]  北上的大屋
[00:02:42.520 --> 00:02:46.520]  住在一所夢寐以求的家園
[00:02:46.520 --> 00:02:50.520]  是不是就可以幸福快樂呢?
[00:02:50.520 --> 00:02:53.520]  走進2025
[00:02:53.520 --> 00:02:55.520]  負心自問
[00:02:55.520 --> 00:02:57.520]  丁姐妹
[00:02:57.520 --> 00:03:04.520]  你覺得自己幸福快樂嗎?
[00:03:04.520 --> 00:03:07.520]  今天晚上,邀請你一齊
[00:03:07.520 --> 00:03:11.520]  走進人類史上第一所家園
[00:03:11.520 --> 00:03:15.520]  盼望你也找到福樂的源頭
[00:03:15.520 --> 00:03:18.520]  讓我們去到《創世紀》二章
[00:03:18.520 --> 00:03:20.520]  先讀八至九節
[00:03:20.520 --> 00:03:22.520]  看到了嗎?
[00:03:22.520 --> 00:03:24.520]  那我們一起朗讀聖言
[00:03:24.520 --> 00:03:26.520]  一二三
[00:03:26.520 --> 00:03:31.520]  耶和華神在東方的伊甸栽了一個原子
[00:03:31.520 --> 00:03:35.520]  把他所造安置在那裡
[00:03:35.520 --> 00:03:38.520]  耶和華神使各樣的樹
[00:03:38.520 --> 00:03:40.520]  從土地裡長出來
[00:03:40.520 --> 00:03:42.520]  可以閱人的眼目
[00:03:42.520 --> 00:03:44.520]  好作食物
[00:03:44.520 --> 00:03:49.520]  原子當中有生命樹和知善惡的樹
[00:03:49.520 --> 00:03:54.520]  耶和華神在東方的伊甸栽了一個原子
[00:03:54.520 --> 00:03:57.520]  《創世紀》由第一章第一節開始
[00:03:57.520 --> 00:04:02.520]  作者不斷稱呼創天造地的是神
[00:04:02.520 --> 00:04:04.520]  Elohim
[00:04:04.520 --> 00:04:09.520]  這個稱呼是指神和萬物之間一般性的關係
[00:04:09.520 --> 00:04:11.520]  神,Elohim
[00:04:11.520 --> 00:04:13.520]  希伯來文是眾數
[00:04:13.520 --> 00:04:18.520]  表示這位神是很尊貴的
[00:04:18.520 --> 00:04:21.520]  Elohim,神
[00:04:21.520 --> 00:04:24.520]  這位尊貴的宇宙主宰
[00:04:24.520 --> 00:04:26.520]  是萬物的源頭
[00:04:26.520 --> 00:04:29.520]  到二章四節開始
[00:04:29.520 --> 00:04:35.520]  作者繼續稱呼創造主是神,Elohim
[00:04:35.520 --> 00:04:41.520]  也開始不斷稱呼神的名字,耶和華
[00:04:41.520 --> 00:04:44.520]  猶太人忌諱直呼神的名字
[00:04:44.520 --> 00:04:49.520]  就將耶和華,Yahweh改讀成另一個字
[00:04:49.520 --> 00:04:51.520]  我主,Adonai
[00:04:51.520 --> 00:04:56.520]  耶和華是神子民對上帝的匿稱
[00:04:56.520 --> 00:05:00.520]  專指神和以色列民納約的位上主
[00:05:00.520 --> 00:05:05.520]  強調神和祂子民親密個人的關係
[00:05:05.520 --> 00:05:08.520]  剛才的詩歌算得很好
[00:05:08.520 --> 00:05:10.520]  每首詩歌都很貼題
[00:05:10.520 --> 00:05:12.520]  耶和華,神
[00:05:12.520 --> 00:05:14.520]  剛才你也唱過
[00:05:14.520 --> 00:05:16.520]  耶和華,神
[00:05:16.520 --> 00:05:19.520]  在這段經文二章八到九節
[00:05:19.520 --> 00:05:23.520]  作者重覆稱呼這位創天造地
[00:05:23.520 --> 00:05:27.520]  又與人親近的耶和華,神
[00:05:27.520 --> 00:05:29.520]  好像一個圓丁
[00:05:29.520 --> 00:05:33.520]  在東方的伊甸栽種了一個原子
[00:05:33.520 --> 00:05:35.520]  伊甸園在哪裡?
[00:05:35.520 --> 00:05:38.520]  伊甸園在哪裡?
[00:05:38.520 --> 00:05:42.520]  創世紀的作者只是披露
[00:05:42.520 --> 00:05:46.520]  祂在日出的東方
[00:05:46.520 --> 00:05:49.520]  然後上帝將祂所造的人
[00:05:49.520 --> 00:05:52.520]  安置在哪裡?
[00:05:52.520 --> 00:05:55.520]  造,基本意思是塑造
[00:05:55.520 --> 00:05:57.520]  在上文二章七節
[00:05:57.520 --> 00:06:01.520]  這位創天造地又與人親近的耶和華,神
[00:06:01.520 --> 00:06:03.520]  好像一個圖像
[00:06:03.520 --> 00:06:05.520]  一初一烈
[00:06:05.520 --> 00:06:09.520]  悉心地塑造了第一個男人
[00:06:09.520 --> 00:06:12.520]  來到這一段二章八節
[00:06:12.520 --> 00:06:14.520]  上帝栽種伊甸園
[00:06:14.520 --> 00:06:18.520]  就將祂所造的人安置在那裡
[00:06:18.520 --> 00:06:20.520]  在希伯來文
[00:06:20.520 --> 00:06:23.520]  安置是放的意思
[00:06:23.520 --> 00:06:26.520]  上帝塑造第一個男人
[00:06:26.520 --> 00:06:29.520]  接著栽種第一個原子
[00:06:29.520 --> 00:06:31.520]  為什麼?
[00:06:31.520 --> 00:06:35.520]  祂隨即將悉心塑造的男人
[00:06:35.520 --> 00:06:38.520]  放進這個原子?
[00:06:38.520 --> 00:06:41.520]  這個原子叫什麼名字?
[00:06:41.520 --> 00:06:45.520]  你知不知道伊甸是什麼意思?
[00:06:45.520 --> 00:06:48.520]  是什麼意思?
[00:06:48.520 --> 00:06:53.520]  伊甸是富庶、喜悅、快樂的意思
[00:06:53.520 --> 00:06:56.520]  走至先知所記
[00:06:56.520 --> 00:07:01.520]  伊甸園是耶和華的原子
[00:07:01.520 --> 00:07:04.520]  請下一章
[00:07:04.520 --> 00:07:10.520]  裡面必有歡喜、快樂、感謝歌唱的聲音
[00:07:10.520 --> 00:07:14.520]  伊甸園就是幸福快樂的原地
[00:07:14.520 --> 00:07:17.520]  神好像一個高大的父親
[00:07:17.520 --> 00:07:19.520]  將祂所愛的孩子
[00:07:19.520 --> 00:07:23.520]  放進自己悉心預備的家園
[00:07:23.520 --> 00:07:25.520]  人被造
[00:07:25.520 --> 00:07:27.520]  直到這一刻
[00:07:27.520 --> 00:07:29.520]  人有沒有做過任何事?
[00:07:29.520 --> 00:07:32.520]  他開始耕田、耕作了嗎?
[00:07:32.520 --> 00:07:33.520]  沒有
[00:07:33.520 --> 00:07:35.520]  他什麼都沒有做
[00:07:35.520 --> 00:07:38.520]  就安享樂園
[00:07:38.520 --> 00:07:41.520]  始創樂園神給人的
[00:07:41.520 --> 00:07:46.520]  豈不是無條件、無微不至的保護和愛
[00:07:46.520 --> 00:07:50.520]  人根本沒有做任何事去交換
[00:07:50.520 --> 00:07:54.520]  好,請
[00:07:54.520 --> 00:07:57.520]  大家看到這是什麼嗎?
[00:07:57.520 --> 00:08:00.520]  BB床,你家裡有沒有?
[00:08:00.520 --> 00:08:03.520]  有沒有曾經有過?
[00:08:03.520 --> 00:08:06.520]  在座為人父母的曾幾何時
[00:08:06.520 --> 00:08:10.520]  可能你都添置過類似的床
[00:08:10.520 --> 00:08:16.520]  你當時懷著什麼心情去佈置這張床呢?
[00:08:16.520 --> 00:08:18.520]  大約二十年前
[00:08:18.520 --> 00:08:21.520]  我們夫婦知道即將中了爸爸媽媽
[00:08:21.520 --> 00:08:24.520]  懷著期待喜悅的心情
[00:08:24.520 --> 00:08:27.520]  添置家裡第一張嬰兒床
[00:08:27.520 --> 00:08:31.520]  雖然只是一張小小的二手嬰兒床
[00:08:31.520 --> 00:08:36.520]  我們都滿懷笑意、滿懷愛意去佈置
[00:08:36.520 --> 00:08:39.520]  預備迎接神給我們的小公主
[00:08:39.520 --> 00:08:41.520]  我們希望給她最好的
[00:08:41.520 --> 00:08:45.520]  希望她喜悅父母為她預備的安樂窩
[00:08:45.520 --> 00:08:48.520]  我們要憧憬將來如何栽培她
[00:08:48.520 --> 00:08:51.520]  期望她幸福快樂的成長
[00:08:51.520 --> 00:08:55.520]  盼望她他朝成為敬虔的後裔
[00:08:55.520 --> 00:08:59.520]  當然不論到我們掌權人的生命
[00:08:59.520 --> 00:09:02.520]  請姐妹思想像一下
[00:09:02.520 --> 00:09:05.520]  你走進伊甸園
[00:09:05.520 --> 00:09:08.520]  你看見一個男人
[00:09:08.520 --> 00:09:12.520]  置身在一片園林的美景嗎?
[00:09:12.520 --> 00:09:18.520]  你感受到那裡是人類第一所的家園
[00:09:18.520 --> 00:09:22.520]  就是創天造地又與人親近的耶和華神
[00:09:22.520 --> 00:09:25.520]  滿懷笑意、滿懷愛意
[00:09:25.520 --> 00:09:28.520]  悉心栽種的伊甸園嗎?
[00:09:28.520 --> 00:09:35.520]  伊甸園豈不是天父為人添置佈置的安樂窩嗎?
[00:09:35.520 --> 00:09:38.520]  一張小小的嬰兒床
[00:09:38.520 --> 00:09:41.520]  是父母給子女福樂的記號
[00:09:41.520 --> 00:09:47.520]  伊甸園何嘗不是天父給人福樂的記號?
[00:09:47.520 --> 00:09:51.520]  究竟伊甸園有多富庶呢?
[00:09:51.520 --> 00:09:55.520]  為何令人感到喜悅快樂呢?
[00:09:55.520 --> 00:09:58.520]  讓我們一起細察
[00:09:58.520 --> 00:10:00.520]  耶和華神使各樣的樹
[00:10:00.520 --> 00:10:02.520]  從土地裡長出來
[00:10:02.520 --> 00:10:06.520]  可以越人的眼目好作食物
[00:10:06.520 --> 00:10:08.520]  想像一下
[00:10:08.520 --> 00:10:12.520]  你一步一步走進伊甸園
[00:10:12.520 --> 00:10:15.520]  你看見園中所有的樹木
[00:10:15.520 --> 00:10:17.520]  都欣欣向榮
[00:10:17.520 --> 00:10:20.520]  茂密地生長
[00:10:20.520 --> 00:10:23.520]  再看真一點
[00:10:23.520 --> 00:10:28.520]  每一棵樹上都掛滿甚麼?
[00:10:28.520 --> 00:10:29.520]  啊?
[00:10:29.520 --> 00:10:30.520]  對呀!
[00:10:30.520 --> 00:10:34.520]  每一棵樹上都掛滿累累的果實
[00:10:34.520 --> 00:10:37.520]  你再定睛定睛大特寫
[00:10:37.520 --> 00:10:38.520]  看一看
[00:10:38.520 --> 00:10:41.520]  每一粒果子是怎樣的?
