
[00:00:00.000 --> 00:00:04.000]  好,這樣就有機會跟大家分享神的話
[00:00:04.000 --> 00:00:06.000]  我們一起禱告吧
[00:00:06.000 --> 00:00:09.000]  (廣東話)
[00:00:10.000 --> 00:00:12.000]  天父,感謝祢賜下恩賢
[00:00:12.000 --> 00:00:14.000]  當我們今天打開祢聖經的時候
[00:00:14.000 --> 00:00:17.000]  求祢同時間打開我們的眼睛
[00:00:17.000 --> 00:00:19.000]  讓我們看到祢的信實的愛
[00:00:19.000 --> 00:00:21.000]  祢恩賜的愛
[00:00:21.000 --> 00:00:23.000]  祢從不放棄尋找世人
[00:00:23.000 --> 00:00:25.000]  回轉於祢的愛
[00:00:25.000 --> 00:00:26.000]  父啊,求祢的靈
[00:00:26.000 --> 00:00:28.000]  現在向我們每一個人親自的說話
[00:00:28.000 --> 00:00:32.000]  特別用路德記的話來安慰、鼓勵我們
[00:00:32.000 --> 00:00:33.000]  讓我們知道神啊
[00:00:33.000 --> 00:00:35.000]  祢每時每刻都與我們同在
[00:00:35.000 --> 00:00:38.000]  祢是知道、祢保護、祢公認
[00:00:38.000 --> 00:00:40.000]  祢是我們唯一可依靠的山寨
[00:00:40.000 --> 00:00:43.000]  可投靠的持龐任下
[00:00:43.000 --> 00:00:46.000]  奉耶穌基督寶貴的名祈禱,阿們
[00:00:46.000 --> 00:00:49.000]  5、4、3、2、1
[00:00:49.000 --> 00:00:51.000]  你準備好了嗎?我來吧
[00:00:51.000 --> 00:00:52.000]  (觀眾)準備好了
[00:00:52.000 --> 00:00:54.000]  伏哩哩,或者祝伊恩
[00:00:54.000 --> 00:00:57.000]  我們書面上會叫做「祝迷藏」
[00:00:57.000 --> 00:00:59.000]  英文其實一聽就懂得玩了
[00:00:59.000 --> 00:01:01.000]  就是Hide and Seek
[00:01:01.000 --> 00:01:04.000]  是一個經典小朋友的遊戲
[00:01:04.000 --> 00:01:06.000]  無論你屬於哪一個年代
[00:01:06.000 --> 00:01:08.000]  無論你是哪一個文化
[00:01:08.000 --> 00:01:09.000]  住在哪一個國家
[00:01:09.000 --> 00:01:12.000]  在哪一個鄉村、哪一個城市居住
[00:01:12.000 --> 00:01:14.000]  你小時候一定有玩過伏哩哩
[00:01:14.000 --> 00:01:15.000]  不要有人告訴我
[00:01:15.000 --> 00:01:16.000]  舉手,你沒有玩過,是吧?
