
[00:00:00.000 --> 00:00:05.120]  我今天說到平安夜都是聖誕的信息
[00:00:05.120 --> 00:00:10.080]  不過在信息之前,我很想有段短片跟大家分享
[00:00:10.080 --> 00:00:12.080]  我們一起看看短片
[00:00:12.080 --> 00:00:19.160]  大家看完這段片,有沒有一些感動的地方,有什麼共鳴呢?
[00:00:19.160 --> 00:00:21.160]  在哪一個位置令你有共鳴呢?
[00:00:21.160 --> 00:00:27.320]  我第一次看這段片的時候,我看到都很擇心
[00:00:27.320 --> 00:00:32.840]  為什麼呢?因為我看到主角的生活很困難
[00:00:32.840 --> 00:00:37.000]  他面對很多生活不同的處境
[00:00:37.000 --> 00:00:40.720]  你會聽到學校被欺凌的生活
[00:00:40.720 --> 00:00:43.720]  父親離世的消息
[00:00:43.720 --> 00:00:48.320]  充斥著很多很難接受甚至不能理解
[00:00:48.320 --> 00:00:50.320]  在他的年紀不能理解的挑戰
[00:00:50.320 --> 00:00:55.120]  你一定會看到,主角很想尋找一條出路
[00:00:55.120 --> 00:01:00.120]  逃離了現在很困難的境況
[00:01:00.120 --> 00:01:06.120]  我們一早就說得很沉重
[00:01:06.120 --> 00:01:11.120]  真的,我們人的確很需要盼望
[00:01:11.120 --> 00:01:13.120]  很需要有方向給我們
[00:01:13.120 --> 00:01:17.120]  因為有方向才會令我們有動力
[00:01:17.120 --> 00:01:22.120]  有方向讓我們繼續邁進我們的目標
[00:01:22.120 --> 00:01:30.120]  但就像主角,如果你的盼望,你的目標可能是你的成績
[00:01:30.120 --> 00:01:38.120]  但如果你的盼望建立在這些事上,這些短暫的事上
[00:01:38.120 --> 00:01:43.120]  你的盼望可能也會變得很脆弱
[00:01:43.120 --> 00:01:48.120]  當你的盼望失去了,你的目標不能達成
[00:01:48.120 --> 00:01:53.120]  你就要尋找下一個盼望,不斷滿足這個需求
[00:01:53.120 --> 00:02:04.120]  但你想想,如果一旦你所有的計劃,所有的方向,目標,盼望都不能達成的話
[00:02:04.120 --> 00:02:06.120]  你會怎樣呢?
[00:02:06.120 --> 00:02:13.120]  有些人可能會再想下一個,但有些人可能沒辦法繼續走下去
[00:02:13.120 --> 00:02:17.120]  今天是報道會的訊息
[00:02:17.120 --> 00:02:19.120]  主題是Seek for Hope
