
[00:00:00.000 --> 00:00:02.000]  我們能夠回來
[00:00:02.000 --> 00:00:05.000]  其實我們較早前也不知道能不能回來
[00:00:05.000 --> 00:00:07.000]  所以非常感恩
[00:00:07.000 --> 00:00:10.000]  在這裡難得見到大家
[00:00:10.000 --> 00:00:12.000]  想問大家一個問題
[00:00:12.000 --> 00:00:16.000]  你有沒有做過VIP?
[00:00:16.000 --> 00:00:20.000]  即是一些優先客戶有沒有做過?
[00:00:20.000 --> 00:00:22.000]  曾經做過任何地方
[00:00:22.000 --> 00:00:24.000]  做過VIP的請你舉手
[00:00:24.000 --> 00:00:25.000]  有沒有試過?
[00:00:25.000 --> 00:00:27.000]  即是他說他會優先接待你的
[00:00:27.000 --> 00:00:29.000]  你會得到一些優越一點的服務
[00:00:29.000 --> 00:00:32.000]  有一點但不是很多
[00:00:32.000 --> 00:00:36.000]  我自己試過一次
[00:00:36.000 --> 00:00:37.000]  其實很多年前
[00:00:37.000 --> 00:00:42.000]  當時還需要到銀行櫃檯使用服務
[00:00:42.000 --> 00:00:45.000]  去銀行通常都需要排隊
[00:00:45.000 --> 00:00:47.000]  那次我排隊的時候
[00:00:47.000 --> 00:00:50.000]  當時的職員跟我說
[00:00:50.000 --> 00:00:53.000]  我們銀行很感謝你
[00:00:53.000 --> 00:00:55.000]  多年來使用我們銀行的服務
[00:00:55.000 --> 00:00:59.000]  於是我已經自動榮升做了VIP
[00:00:59.000 --> 00:01:01.000]  給我一張VIP卡
[00:01:01.000 --> 00:01:03.000]  下一次你再來的時候
[00:01:03.000 --> 00:01:05.000]  只要你出示這個VIP卡
[00:01:05.000 --> 00:01:08.000]  你就會得到VIP的服務
[00:01:08.000 --> 00:01:10.000]  我聽到也有一點高興
[00:01:10.000 --> 00:01:12.000]  因為希望下次可以排隊
[00:01:12.000 --> 00:01:14.000]  就不用排那麼久
[00:01:14.000 --> 00:01:16.000]  下一次我去到
[00:01:16.000 --> 00:01:19.000]  立即出示自己的VIP卡
[00:01:19.000 --> 00:01:21.000]  於是職員就說
[00:01:21.000 --> 00:01:24.000]  請你轉去那邊排另一條隊
[00:01:24.000 --> 00:01:26.000]  叫做VIP隊
[00:01:26.000 --> 00:01:30.000]  那一條隊都有十幾二十個人
[00:01:30.000 --> 00:01:32.000]  但我只可以去排隊
[00:01:32.000 --> 00:01:36.000]  各位電影姐妹、各位朋友
[00:01:36.000 --> 00:01:41.000]  原來我是眾多優先客戶中的其中一位
[00:01:41.000 --> 00:01:46.000]  所以我並不能夠因為我這個優先客戶的身份
[00:01:46.000 --> 00:01:49.000]  而得到真正優先的服務
[00:01:49.000 --> 00:01:51.000]  各位我們都值得反思
[00:01:51.000 --> 00:01:54.000]  這個情境像不像我們的日常生活
[00:01:54.000 --> 00:01:58.000]  其實我們生活中要兼顧很多事、很多人
[00:01:58.000 --> 00:02:00.000]  你生活中有很多VIP
[00:02:00.000 --> 00:02:06.000]  包括你的工作、你的家庭、進修、你的配偶
[00:02:06.000 --> 00:02:08.000]  父母、子女
[00:02:08.000 --> 00:02:10.000]  個個都是VIP
[00:02:10.000 --> 00:02:14.000]  很難說誰才是第一、最重要
[00:02:14.000 --> 00:02:16.000]  誰才是第一優先
[00:02:16.000 --> 00:02:18.000]  如果我一定要你回答
[00:02:18.000 --> 00:02:20.000]  你說吧,誰是最優先
[00:02:20.000 --> 00:02:22.000]  誰是最重要的話
[00:02:22.000 --> 00:02:27.000]  就好像我勉強在座的各位男士、各位先生
[00:02:27.000 --> 00:02:28.000]  我問你們
