
[00:00:00.000 --> 00:00:03.000]  幫我問問你旁邊的那個,問問他
[00:00:03.000 --> 00:00:05.000]  知不知道明天是什麼日子?
[00:00:05.000 --> 00:00:09.000]  星期日,沒錯
[00:00:09.000 --> 00:00:12.000]  明天是母親節
[00:00:12.000 --> 00:00:18.000]  今年有很大的領袖編了這篇講道喜的時段
[00:00:18.000 --> 00:00:21.000]  所以很想去講這篇訊息
[00:00:21.000 --> 00:00:24.000]  特別是關於母親節和母親的關係
[00:00:24.000 --> 00:00:28.000]  可以小聲一點的,知不知道?
[00:00:28.000 --> 00:00:31.000]  所以某程度上,我不知道對你生命
[00:00:31.000 --> 00:00:35.000]  特別是在崇拜的裡面,你有什麼期待
[00:00:35.000 --> 00:00:38.000]  我準備這篇講道的時候,內心裡也很掙扎
[00:00:38.000 --> 00:00:39.000]  為什麼呢?
[00:00:39.000 --> 00:00:42.000]  掙扎是用這個詞,母親節不是應該開心的嗎?
[00:00:42.000 --> 00:00:44.000]  當我準備這篇講道的時候,我發現
[00:00:44.000 --> 00:00:46.000]  其實我自己和我自己母親都有很多
[00:00:46.000 --> 00:00:49.000]  在成長上很多糾結的關係
[00:00:49.000 --> 00:00:51.000]  如果你聽我講道講得多的話
[00:00:51.000 --> 00:00:53.000]  或者你聽我講的背景,你就知道
[00:00:53.000 --> 00:00:55.000]  我的成長不容易
[00:00:55.000 --> 00:00:59.000]  今晚不是一篇很複雜,解釋經文的講道
[00:00:59.000 --> 00:01:02.000]  所以我今天特別在開始的時候
[00:01:02.000 --> 00:01:04.000]  引導大家一起進入一個過程
[00:01:04.000 --> 00:01:07.000]  很想你一邊思考,當聽這篇講道的時候
[00:01:07.000 --> 00:01:10.000]  說他和你的母親,不過可能中間有些姐妹
[00:01:10.000 --> 00:01:13.000]  可能媽媽已經不在了,也不要緊
[00:01:13.000 --> 00:01:15.000]  可能過去有你和她的經歷
[00:01:15.000 --> 00:01:17.000]  甚至在成長的路上,我更加認識
[00:01:17.000 --> 00:01:19.000]  我正在牧養你,我也知道
[00:01:19.000 --> 00:01:22.000]  可能媽媽是誰,你也不知道,也不要緊
[00:01:22.000 --> 00:01:24.000]  我相信在你心中遇到一些人
[00:01:24.000 --> 00:01:27.000]  一些愛惜你的人,或者你的家人
[00:01:27.000 --> 00:01:29.000]  甚至你的爸爸,也可能是一個
[00:01:29.000 --> 00:01:32.000]  在你心中很重要,你要去愛惜的人
[00:01:32.000 --> 00:01:35.000]  雖然我借助明天是母親節
[00:01:35.000 --> 00:01:38.000]  但我想和大家進入一個和親人之間的關係
[00:01:38.000 --> 00:01:42.000]  這個課題在教育學中不是常常在講道中會講的東西
[00:01:42.000 --> 00:01:44.000]  也會講,不過不是常常講
[00:01:44.000 --> 00:01:47.000]  我們很多時候在教育學中都會和你講同神的關係
[00:01:47.000 --> 00:01:51.000]  你的生命要突破,要成長,要更新
[00:01:51.000 --> 00:01:53.000]  希望和神的關係要親密
[00:01:53.000 --> 00:01:54.000]  我經常都會講的
[00:01:54.000 --> 00:01:56.000]  不過今天和大家想進入一個課題
[00:01:56.000 --> 00:01:59.000]  特別藉著母親節,我想挑戰一下你
[00:01:59.000 --> 00:02:02.000]  或者這樣說,想讓你思考多一點
[00:02:02.000 --> 00:02:06.000]  你和你母親,和你媽媽之間的關係是怎樣
[00:02:06.000 --> 00:02:07.000]  可能你說,也很好
[00:02:07.000 --> 00:02:09.000]  盼望今天這段經文再幫你去認識
[00:02:09.000 --> 00:02:12.000]  或者再讓你可以有更多的動力
[00:02:12.000 --> 00:02:14.000]  去想想在你人生到這個階段
[00:02:14.000 --> 00:02:17.000]  因為這個我們叫標稱崇拜
[00:02:17.000 --> 00:02:19.000]  是一個叫初職崇拜
[00:02:19.000 --> 00:02:22.000]  中間我相信大部份的電影節目都像我一樣年輕
[00:02:22.000 --> 00:02:25.000]  在過程中,經歷不同的階段
