
[00:00:00.000 --> 00:00:07.000]  今天要講這篇日道和我要大敬拜是剛好
[00:00:07.000 --> 00:00:09.000]  不是特意的
[00:00:09.000 --> 00:00:13.000]  不過我站在這裡
[00:00:13.000 --> 00:00:16.000]  有點感慨
[00:00:16.000 --> 00:00:18.000]  有點感嘆
[00:00:18.000 --> 00:00:20.000]  又有點感動
[00:00:20.000 --> 00:00:26.000]  數下手指我都上了音樂課十幾年了
[00:00:26.000 --> 00:00:34.000]  不過我猜你們中間有人比我更久
[00:00:34.000 --> 00:00:36.000]  有多少人是十年以下的
[00:00:36.000 --> 00:00:40.000]  上了十年以下的音樂課
[00:00:40.000 --> 00:00:41.000]  包括新朋友
[00:00:41.000 --> 00:00:43.000]  新朋友都是十年以下的
[00:00:43.000 --> 00:00:47.000]  不是很多
[00:00:47.000 --> 00:00:49.000]  二十年或以上的
[00:00:49.000 --> 00:00:50.000]  上了二十年或以上的
[00:00:50.000 --> 00:00:52.000]  很多
[00:00:52.000 --> 00:00:56.000]  非常好
[00:00:56.000 --> 00:01:01.000]  如果你問我為什麼會回來恩福堂
[00:01:01.000 --> 00:01:04.000]  我和大部份人的答案都是一樣
[00:01:04.000 --> 00:01:07.000]  你聽聽是不是你回來恩福堂的原因
[00:01:07.000 --> 00:01:08.000]  這裡夠大夠多人
[00:01:08.000 --> 00:01:09.000]  沒人理我
[00:01:09.000 --> 00:01:10.000]  自出自入
[00:01:10.000 --> 00:01:12.000]  不需要交流
[00:01:12.000 --> 00:01:15.000]  我就是來這裡躲
[00:01:15.000 --> 00:01:17.000]  我記得那時候有些單邊的位置
[00:01:17.000 --> 00:01:19.000]  我常常叫自閉位
[00:01:19.000 --> 00:01:21.000]  我就喜歡坐在那裡
[00:01:21.000 --> 00:01:23.000]  現在沒有了不知道為什麼
[00:01:23.000 --> 00:01:26.000]  這裡的詩歌很感動
[00:01:26.000 --> 00:01:28.000]  每次來都會有很多眼淚
[00:01:28.000 --> 00:01:30.000]  很幫助到我去聆聽神的話
[00:01:30.000 --> 00:01:34.000]  這裡的聖經的講道演繹得很好
[00:01:34.000 --> 00:01:37.000]  有神學有釋經又有應用
[00:01:37.000 --> 00:01:40.000]  所以我就留在恩福堂
[00:01:40.000 --> 00:01:41.000]  我記得十幾年前
[00:01:41.000 --> 00:01:43.000]  當我初初來的時候
[00:01:43.000 --> 00:01:44.000]  其實第一年來的時候
[00:01:44.000 --> 00:01:47.000]  神就在這裡呼召我
[00:01:47.000 --> 00:01:49.000]  當時我為什麼會來恩福堂
[00:01:49.000 --> 00:01:51.000]  就是想逃避神逃避人
[00:01:51.000 --> 00:01:52.000]  想躲起來自閉
[00:01:52.000 --> 00:01:54.000]  但神很奇妙
[00:01:54.000 --> 00:01:56.000]  就在你自閉的時候
[00:01:56.000 --> 00:01:57.000]  就捉住你呼召你
[00:01:57.000 --> 00:01:59.000]  要你去回應他
[00:01:59.000 --> 00:02:01.000]  所以我就在那個位置哭
[00:02:01.000 --> 00:02:05.000]  回應他的呼召
[00:02:05.000 --> 00:02:07.000]  你問問恩福的傳道人
[00:02:07.000 --> 00:02:09.000]  很多都在崇拜的時候
[00:02:09.000 --> 00:02:11.000]  神就去感動他
[00:02:11.000 --> 00:02:14.000]  然後他就放下工作去讀神學
[00:02:14.000 --> 00:02:18.000]  我想這裡大部份傳道人都是這樣
[00:02:18.000 --> 00:02:20.000]  你有沒有想過這個呼召
[00:02:20.000 --> 00:02:23.000]  今天會來到你那裡
