
[00:00:00.000 --> 00:00:02.000]  親愛的弟兄姊妹平安
[00:00:02.000 --> 00:00:03.000]  平安
[00:00:03.000 --> 00:00:07.000]  我將德國斯圖加特的弟兄姊妹的文安帶到你們當中
[00:00:07.000 --> 00:00:09.000]  感謝神帶領我們
[00:00:09.000 --> 00:00:11.000]  在去了德國十八年之後
[00:00:11.000 --> 00:00:13.000]  今天又回到當中
[00:00:13.000 --> 00:00:15.000]  來跟大家分享神的說話
[00:00:15.000 --> 00:00:17.000]  今天我跟大家分享的題目是
[00:00:17.000 --> 00:00:19.000]  踏出街尾的腳踪
[00:00:19.000 --> 00:00:23.000]  顧名思義就是和猜拳有關
[00:00:23.000 --> 00:00:25.000]  為什麼我們去了德國十八年
[00:00:25.000 --> 00:00:28.000]  有什麼動力令我們可以去到這麼久呢
[00:00:28.000 --> 00:00:30.000]  其實就是一句說話
[00:00:30.000 --> 00:00:34.000]  就是主耶穌臨升天之前最重要的一句說話
[00:00:34.000 --> 00:00:37.000]  在《史萊恩傳》第一章第八節
[00:00:37.000 --> 00:00:39.000]  我讀一次
[00:00:39.000 --> 00:00:42.000]  「但聖靈降臨在你們身上,你們就必得就能力,
[00:00:42.000 --> 00:00:47.000]  並要在耶路撒冷猶太傳遞,獲撒瑪利亞,直到地極,作我的見證。」
[00:00:47.000 --> 00:00:50.000]  大家都可以想一想
[00:00:50.000 --> 00:00:53.000]  這一句說話是說給誰人聽呢
[00:00:53.000 --> 00:00:57.000]  肯定是當時坐在他們面前的一班門徒聽
[00:00:57.000 --> 00:01:00.000]  基督教自從那一次之後
[00:01:00.000 --> 00:01:03.000]  一班門徒聽到主耶穌的吩咐
[00:01:03.000 --> 00:01:06.000]  聖靈的能力降臨在他們身上
[00:01:06.000 --> 00:01:09.000]  我們在《史萊恩傳》可以看到
[00:01:09.000 --> 00:01:11.000]  宣教事公就開始
[00:01:11.000 --> 00:01:14.000]  彼得在一次的講道裡三千人信主
[00:01:14.000 --> 00:01:17.000]  很快的,以保羅戲劇性的方式信了主
[00:01:17.000 --> 00:01:20.000]  就開始了歐洲宣教事公
[00:01:20.000 --> 00:01:24.000]  所以簡單來說,教會歷史就是一部宣教的歷史
[00:01:24.000 --> 00:01:27.000]  我們身為中國人,如何能夠認識主呢?
[00:01:27.000 --> 00:01:31.000]  如果沒有人帶福音給我們,我們不可能認識主
[00:01:31.000 --> 00:01:33.000]  如果大家熟悉中國的教會歷史
[00:01:33.000 --> 00:01:36.000]  都知道第一位的宣教士是誰呢?
[00:01:36.000 --> 00:01:39.000]  馬勵遜,Robert Morris
[00:01:39.000 --> 00:01:43.000]  他在1806年從英國去到澳門
[00:01:43.000 --> 00:01:45.000]  他的墳墓現在還在澳門
[00:01:45.000 --> 00:01:49.000]  五十年之後,神有另外差一位重要的宣教士
[00:01:49.000 --> 00:01:52.000]  也是來自英國的戴德修牧師
[00:01:52.000 --> 00:01:55.000]  他一家五代都是服侍華人
[00:01:55.000 --> 00:02:00.000]  所以我們簡單來說,其實每一代的基督徒
[00:02:00.000 --> 00:02:02.000]  聽到耶穌最後的託付
[00:02:02.000 --> 00:02:05.000]  「直到地極,要作我的見證」
[00:02:05.000 --> 00:02:08.000]  這個使命就不斷地延伸下去
[00:02:08.000 --> 00:02:10.000]  直到今天在我們手上
[00:02:10.000 --> 00:02:12.000]  究竟我們有沒有接棒呢?
[00:02:12.000 --> 00:02:16.000]  根據美國最近的人口統計局
[00:02:16.000 --> 00:02:21.000]  2024年的全球人口已經高達了80億
[00:02:21.000 --> 00:02:23.000]  那麼基督徒有多少人呢?
[00:02:23.000 --> 00:02:27.000]  很多人都在研究這個數目,有25億
[00:02:27.000 --> 00:02:30.000]  而在這25億當中
[00:02:30.000 --> 00:02:35.000]  只有12%是真正跟隨主的基督徒
[00:02:35.000 --> 00:02:40.000]  這是來自美南浸信會所屬的生命之道研究中心
[00:02:40.000 --> 00:02:41.000]  給我們的數據
[00:02:41.000 --> 00:02:45.000]  就是說全世界只有三分之一的基督徒
[00:02:45.000 --> 00:02:48.000]  但是另外有55億的人
[00:02:48.000 --> 00:02:50.000]  超過三分之二的人口
[00:02:50.000 --> 00:02:52.000]  今天仍然在救恩的門外
[00:02:52.000 --> 00:02:54.000]  頂尖會議
[00:02:54.000 --> 00:02:57.000]  你覺得震驚嗎?
[00:02:57.000 --> 00:03:02.000]  而且當中大概有17,423個群體
