
[00:00:00.000 --> 00:00:02.880]  好 弟兄姊妹早安
[00:00:02.880 --> 00:00:05.800]  很久沒見了 兩個月沒見大家
[00:00:05.800 --> 00:00:08.720]  大家過得如何?
[00:00:08.720 --> 00:00:12.720]  好像有些「How are you long time no see」的朋友
[00:00:12.720 --> 00:00:16.560]  這樣有機會 今個星期就回來
[00:00:16.560 --> 00:00:18.560]  可以趕到
[00:00:18.560 --> 00:00:22.360]  剛才Isabella導師給了我滿滿的情緒價值
[00:00:22.360 --> 00:00:23.840]  她說「你瘦了」
[00:00:23.840 --> 00:00:26.720]  因為我最近都一直做運動
[00:00:26.720 --> 00:00:31.520]  身體都一般般 放假的時候檢查一下身體
[00:00:31.520 --> 00:00:35.720]  所以都是一個Review自己的過程
[00:00:35.720 --> 00:00:39.240]  今天很開心可以跟大家分享訊息
[00:00:39.240 --> 00:00:41.080]  不如我們趕到之前
[00:00:41.080 --> 00:00:43.240]  我們先有一起去祈禱的時間
[00:00:43.240 --> 00:00:45.840]  我們一起去禱告
[00:00:45.840 --> 00:00:50.560]  主人願你帶領我們 打開我們的心
[00:00:50.560 --> 00:00:52.520]  可能我們今天早上回來的時候
[00:00:52.520 --> 00:00:53.640]  我們有不同的狀態
[00:00:53.640 --> 00:00:55.440]  可能我們很匆忙 很忙碌
[00:00:55.440 --> 00:00:57.440]  可能我們很睏
[00:00:57.440 --> 00:00:59.200]  但願你此刻都打開我們的心
[00:00:59.200 --> 00:01:01.360]  願我們都能夠聆聽你的話語
[00:01:01.360 --> 00:01:03.920]  願你的話語引誘到我們 提醒我們
[00:01:03.920 --> 00:01:07.120]  感謝你 祈禱交託 奉主明求 阿門
[00:01:07.120 --> 00:01:09.080]  好 我不知道大家記不記得
[00:01:09.080 --> 00:01:12.920]  今年青絲部的主題是什麼?
[00:01:12.920 --> 00:01:15.720]  慘了 半年了 忘記了
[00:01:15.720 --> 00:01:16.800]  今年的主題是
[00:01:16.800 --> 00:01:19.120]  Back to basics Seeking the truth
[00:01:19.120 --> 00:01:21.920]  大家記得有印象的話
[00:01:21.920 --> 00:01:26.920]  其實你會看到由九月開始到剛剛二月
[00:01:26.920 --> 00:01:30.880]  其實青少部無論在我們講道上
[00:01:30.880 --> 00:01:33.080]  其實都想跟大家分享的是
[00:01:33.080 --> 00:01:35.160]  每一個月的月題都想說
[00:01:35.160 --> 00:01:38.480]  究竟神的話語對我們生命有什麼重要性
[00:01:38.480 --> 00:01:40.200]  有什麼影響
[00:01:40.200 --> 00:01:43.440]  但由今個月開始到八月
[00:01:43.440 --> 00:01:46.920]  我們每個月的月題會有少許不同的轉變
[00:01:46.920 --> 00:01:48.480]  剛剛好六個月
[00:01:48.480 --> 00:01:53.760]  如果大家記得我們青少部有六個不同的元素
[00:01:53.760 --> 00:01:57.040]  關係 牧羊 成長 服侍 傳福音 敬拜
[00:01:57.040 --> 00:01:59.040]  我們由今個月開始到八月
[00:01:59.040 --> 00:02:04.160]  我們每個月都會按照每一個青少部的元素
[00:02:04.160 --> 00:02:09.520]  去講究竟聖經是怎樣理解這些東西的
[00:02:09.520 --> 00:02:13.720]  今個月我們先從關係開始
[00:02:13.720 --> 00:02:18.560]  今天跟大家分享的題目叫做「什麼人 做什麼事」
[00:02:18.560 --> 00:02:22.200]  不知道大家跟別人聊天或相處的時候
[00:02:22.200 --> 00:02:25.040]  有沒有用過或聽過這個字
[00:02:25.040 --> 00:02:27.040]  或者聽過這句子
[00:02:27.040 --> 00:02:31.320]  可能看看旁邊的人可能會說「你經常說的」
[00:02:31.320 --> 00:02:36.040]  我發現通常會說這句子的時候
[00:02:36.040 --> 00:02:39.480]  通常都是在串人或被人串的時候
[00:02:39.480 --> 00:02:42.080]  舉個例子 當一個人去想壞事
