
[00:00:00.000 --> 00:00:02.960]  12月是一個聖誕月
[00:00:02.960 --> 00:00:08.040]  很多不少公司都會為了慰勞一些員工
[00:00:08.040 --> 00:00:10.040]  舉辦一些聖誕大餐
[00:00:10.040 --> 00:00:11.840]  會有抽獎
[00:00:11.840 --> 00:00:15.680]  會有不同的獎勵送給員工
[00:00:15.680 --> 00:00:17.240]  我不知道你們有沒有參與過
[00:00:17.240 --> 00:00:21.680]  很多不同的員工其實非常期待
[00:00:21.680 --> 00:00:23.920]  這些聖誕派對
[00:00:23.920 --> 00:00:28.560]  不過最近在網上有些人分享
[00:00:28.560 --> 00:00:34.280]  他曾經參加過有史以來最寒酸的公司聖誕派對
[00:00:34.280 --> 00:00:35.440]  是怎樣的呢?
[00:00:35.440 --> 00:00:36.960]  那網民說
[00:00:36.960 --> 00:00:39.760]  當他聽到公司喊咪
[00:00:39.760 --> 00:00:40.560]  就說
[00:00:40.560 --> 00:00:42.520]  叫大家開始了
[00:00:42.520 --> 00:00:44.360]  我們聖誕派對開始了
[00:00:44.360 --> 00:00:46.480]  大家準備來會議室了
[00:00:46.480 --> 00:00:49.600]  然後大家就帶著很期待
[00:00:49.600 --> 00:00:50.400]  很興奮
[00:00:50.400 --> 00:00:51.600]  很雀躍的心情
[00:00:51.600 --> 00:00:54.520]  就走到會議室裏面
[00:00:54.520 --> 00:00:56.680]  在會議室裏面
[00:00:56.680 --> 00:00:58.480]  他們看到一張
[00:00:58.480 --> 00:01:01.880]  類似一張學生的書桌
[00:01:01.880 --> 00:01:07.560]  然後上面放了一盤壽司
[00:01:07.560 --> 00:01:10.840]  然後旁邊有一些很醜的
[00:01:10.840 --> 00:01:11.680]  都是裝飾
[00:01:11.680 --> 00:01:12.600]  但是他說很醜
[00:01:12.600 --> 00:01:14.600]  網民形容是很醜的裝飾
[00:01:14.600 --> 00:01:17.400]  然後在旁邊的一邊廂就看到
[00:01:17.400 --> 00:01:19.560]  擺了二十個杯麵
[00:01:19.560 --> 00:01:21.560]  搭了一個金字塔
[00:01:21.560 --> 00:01:25.280]  然後旁邊還有一個夏威夷的花圈
[00:01:25.280 --> 00:01:28.880]  網民說簡直是不知所謂
[00:01:28.880 --> 00:01:33.080]  網民形容這個杯麵是恐怖之塔
[00:01:33.080 --> 00:01:37.520]  他說他估計這個聖誕派對
[00:01:37.520 --> 00:01:41.680]  大概只是為每位員工花費了三元美金
[00:01:41.680 --> 00:01:43.400]  即是港幣大約二十多元
[00:01:43.400 --> 00:01:46.160]  他說後來很快就離職
[00:01:46.160 --> 00:01:48.960]  離職的原因有部分是因為
[00:01:48.960 --> 00:01:51.520]  這個這麼醜的聖誕派對
[00:01:51.520 --> 00:01:55.080]  第二個原因就是因為他們對公司很失望
[00:01:56.080 --> 00:01:58.240]  我不知道在人生裡面
